,Date,Open,High,Low,Close,Volume
0,2021-11-06,4.356,4.459,4.39,4.407,267033.05
1,2021-11-05,4.373,4.613,4.51,4.393,1243748.6
2,2021-11-04,4.328,4.633,4.432,4.506,1934829.58
3,2021-11-03,4.327,4.632,4.63,4.427,1406487.75
4,2021-11-02,4.401,4.766,4.572,4.631,1860004.76
5,2021-11-01,4.236,4.682,4.582,4.569,1975920.29
6,2021-10-31,4.301,4.7,4.691,4.575,2786855.91
7,2021-10-30,4.574,5.133,5.056,4.691,2073948.01
8,2021-10-29,4.917,5.577,5.126,5.055,3123780.01
9,2021-10-28,4.735,5.79,5.761,5.134,7960073.63
10,2021-10-27,3.915,9.0,3.947,5.74,22124916.94
11,2021-10-26,3.87,4.196,4.052,3.95,1454279.43
12,2021-10-25,3.765,4.162,3.809,4.048,1671598.33
13,2021-10-24,3.686,4.069,4.018,3.804,1591359.49
14,2021-10-23,3.827,4.077,4.022,4.018,1224399.41
15,2021-10-22,3.938,4.338,4.14,4.019,2350613.24
16,2021-10-21,4.052,4.556,4.17,4.139,4178986.9
17,2021-10-20,3.663,4.244,3.727,4.164,3944595.5
18,2021-10-19,3.419,3.77,3.448,3.729,2469653.98
19,2021-10-18,3.3,3.649,3.483,3.448,2872958.32
20,2021-10-17,3.154,3.577,3.209,3.479,3848298.17
21,2021-10-16,3.185,3.334,3.241,3.205,1075651.27
22,2021-10-15,3.041,3.38,3.358,3.242,1947992.51
23,2021-10-14,2.955,3.505,2.967,3.358,4078453.6
24,2021-10-13,2.825,3.004,2.894,2.963,1407922.4
25,2021-10-12,2.702,2.933,2.902,2.895,1679324.16
26,2021-10-11,2.811,3.059,2.951,2.903,1061140.06
27,2021-10-10,2.938,3.198,3.198,2.955,928806.6
28,2021-10-09,3.128,3.243,3.163,3.197,680490.14
29,2021-10-08,3.088,3.289,3.136,3.158,1105386.01
30,2021-10-07,3.021,3.253,3.117,3.137,1888231.97
31,2021-10-06,2.972,3.366,3.289,3.115,1947923.85
32,2021-10-05,3.137,3.323,3.177,3.277,2186065.47
33,2021-10-04,2.901,3.221,3.078,3.175,2478929.44
34,2021-10-03,2.958,3.25,3.05,3.081,2795388.9
35,2021-10-02,2.815,3.168,2.918,3.053,3264087.51
36,2021-10-01,2.542,2.961,2.554,2.92,3955513.56
37,2021-09-30,2.476,2.662,2.492,2.554,1659266.73
38,2021-09-29,2.364,2.589,2.371,2.498,1447433.16
39,2021-09-28,2.366,2.617,2.522,2.371,1195432.78
40,2021-09-27,2.514,2.91,2.682,2.52,2360850.1
41,2021-09-26,2.217,2.795,2.489,2.681,2711813.25
42,2021-09-25,2.441,2.599,2.553,2.491,891981.18
43,2021-09-24,2.366,2.844,2.784,2.552,1944975.92
44,2021-09-23,2.56,2.85,2.632,2.78,1691199.63
