,Date,Open,High,Low,Close,Volume
0,2021-12-20,167.42,186.39,183.38,181.01,59061.183
1,2021-12-19,182.5,193.32,193.14,183.44,50641.387
2,2021-12-18,182.67,204.746,187.55,193.22,145747.606
3,2021-12-17,161.98,188.92,174.36,187.39,61879.175
4,2021-12-16,172.31,181.0,172.85,174.25,52935.06
5,2021-12-15,159.0,175.82,169.67,172.77,51260.69
6,2021-12-14,158.5,170.53,162.43,169.48,56038.52
7,2021-12-13,157.5,180.77,179.76,162.39,70492.633
8,2021-12-12,175.23,182.4,181.31,179.79,30095.791
9,2021-12-11,162.92,181.25,166.98,181.25,51155.698
10,2021-12-10,166.56,181.49,176.76,166.98,52769.055
11,2021-12-09,176.552,203.939,203.596,176.76,57574.844
12,2021-12-08,179.71,203.606,187.042,203.606,82413.002
13,2021-12-07,180.867,197.407,184.758,187.099,60965.953
14,2021-12-06,168.454,192.17,192.023,184.691,97072.986
15,2021-12-05,186.952,206.33,203.162,192.023,59131.173
16,2021-12-04,166.566,226.153,225.468,203.141,97540.908
17,2021-12-03,217.746,246.321,244.763,225.516,42462.261
18,2021-12-02,240.852,250.809,250.809,244.707,30925.426
19,2021-12-01,249.102,269.106,257.149,250.821,39835.123
20,2021-11-30,244.808,264.35,249.871,257.078,66302.974
21,2021-11-29,233.274,251.695,238.739,249.871,52525.464
22,2021-11-28,218.566,239.775,233.014,238.995,51930.63
23,2021-11-27,230.157,243.314,232.932,233.227,41862.53
24,2021-11-26,225.6,264.053,263.496,232.815,76729.656
25,2021-11-25,252.27,264.276,254.199,263.31,50616.865
26,2021-11-24,251.17,270.171,269.857,254.254,49264.634
27,2021-11-23,261.281,277.678,263.652,269.835,44271.808
28,2021-11-22,256.551,268.893,266.904,263.615,39856.963
29,2021-11-21,264.233,274.594,274.594,266.858,36286.342
30,2021-11-20,267.545,281.149,279.616,274.579,22826.314
31,2021-11-19,257.707,280.898,262.734,279.468,23721.545
32,2021-11-18,255.743,288.662,284.471,262.761,41487.437
33,2021-11-17,267.473,287.839,278.783,284.648,39934.616
34,2021-11-16,265.0,301.632,301.632,278.377,71061.186
35,2021-11-15,299.4,317.0,315.802,301.678,35775.001
36,2021-11-14,309.522,317.472,312.505,315.2,36639.072
37,2021-11-13,303.024,314.176,308.698,312.505,43870.623
38,2021-11-12,296.256,314.113,311.976,308.569,41807.758
39,2021-11-11,307.161,319.25,312.793,312.099,46467.798
40,2021-11-10,296.465,346.188,336.754,312.615,76136.619
41,2021-11-09,326.295,349.795,332.372,336.634,74565.18
42,2021-11-08,318.848,335.158,320.409,332.307,35645.007
43,2021-11-07,316.54,323.951,318.621,320.235,20168.223
44,2021-11-06,307.686,327.687,326.619,318.5,35673.614
45,2021-11-05,324.137,346.646,333.236,326.484,49282.852
46,2021-11-04,313.126,335.946,325.337,333.196,48275.755
47,2021-11-03,310.359,326.182,325.226,325.39,74071.889
48,2021-11-02,317.84,328.637,324.206,325.229,28495.553
49,2021-11-01,302.544,324.596,314.482,324.288,39315.92
50,2021-10-31,301.0,323.15,319.176,314.557,45205.79
51,2021-10-30,312.384,328.769,327.968,319.245,30519.902
52,2021-10-29,324.805,347.866,339.356,328.055,60565.296
53,2021-10-28,317.008,350.527,324.784,339.125,89780.648
54,2021-10-27,323.01,458.0,329.248,324.546,271807.374
55,2021-10-26,312.19,346.395,312.92,329.236,84398.985
56,2021-10-25,306.451,316.662,307.94,312.872,21169.938
57,2021-10-24,300.117,325.229,324.191,307.803,25094.055
58,2021-10-23,307.3,324.165,309.919,324.046,19437.975
59,2021-10-22,305.549,326.989,314.967,310.002,31009.968
60,2021-10-21,310.436,338.012,316.786,314.875,66987.182
61,2021-10-20,296.5,317.598,303.594,316.699,34345.428
62,2021-10-19,292.646,304.353,293.968,303.628,27642.523
63,2021-10-18,289.045,308.107,304.689,293.859,38495.128
64,2021-10-17,292.453,320.388,304.864,304.646,38628.28
65,2021-10-16,299.366,316.383,301.385,304.885,28158.474
66,2021-10-15,292.514,305.165,303.557,301.537,39907.954
67,2021-10-14,293.5,310.752,297.791,303.69,37366.766
68,2021-10-13,282.386,302.969,283.862,297.753,44502.676
69,2021-10-12,271.083,290.508,290.508,283.861,32177.852
70,2021-10-11,283.537,302.354,287.802,290.574,27240.928
71,2021-10-10,286.986,308.115,306.919,287.953,21002.635
72,2021-10-09,304.285,313.283,307.691,307.302,22375.957
73,2021-10-08,303.484,324.5,305.98,307.908,32370.715
74,2021-10-07,299.242,313.879,311.619,305.665,33607.621
75,2021-10-06,284.753,317.944,307.991,311.389,45665.806
76,2021-10-05,296.464,310.129,301.146,307.825,32916.568
77,2021-10-04,290.869,312.909,310.683,300.945,46234.563
78,2021-10-03,308.721,323.429,313.99,310.682,29073.126
79,2021-10-02,297.002,323.736,302.581,314.22,35222.407
80,2021-10-01,272.0,304.307,276.282,302.636,45234.96
81,2021-09-30,263.718,281.41,265.154,276.556,44301.771
82,2021-09-29,259.267,277.37,260.862,264.919,31274.448
83,2021-09-28,259.922,278.113,273.563,261.011,45866.106
84,2021-09-27,273.005,309.666,293.323,273.027,68117.38
85,2021-09-26,252.378,300.509,274.394,294.089,86469.459
86,2021-09-25,268.097,284.188,280.871,274.413,37711.794
87,2021-09-24,262.087,311.625,309.219,280.8,68324.316
88,2021-09-23,294.516,309.754,301.904,309.145,37647.238
89,2021-09-22,266.139,303.976,271.635,302.104,68987.68
90,2021-09-21,260.0,306.771,291.732,271.572,68982.322
91,2021-09-20,287.7,340.98,340.341,291.832,94012.519
92,2021-09-19,334.928,358.332,355.2,340.127,33034.821
93,2021-09-18,347.187,368.953,354.088,355.266,44185.347
94,2021-09-17,350.335,389.743,384.077,353.647,66905.967
95,2021-09-16,371.0,414.832,414.753,384.077,90809.238
96,2021-09-15,376.726,417.092,384.664,414.753,86560.004
97,2021-09-14,327.643,390.268,331.2,384.107,118005.339
98,2021-09-13,303.418,337.236,333.008,331.046,44319.755
99,2021-09-12,321.818,348.502,328.749,333.267,34716.727
100,2021-09-11,310.824,340.03,312.009,328.852,33632.095
101,2021-09-10,304.336,340.106,330.114,312.019,71062.951
102,2021-09-09,325.21,350.816,330.755,329.929,70146.886
103,2021-09-08,312.183,353.626,347.351,330.521,83519.532
104,2021-09-07,310.0,409.525,409.188,346.648,102725.462
105,2021-09-06,395.764,425.0,416.951,408.63,43413.101
106,2021-09-05,395.0,425.258,398.398,417.048,50578.338
107,2021-09-04,390.464,406.78,394.968,398.398,29904.49
108,2021-09-03,388.193,407.953,399.626,395.277,44072.543
109,2021-09-02,399.0,415.0,413.526,399.741,51089.86
110,2021-09-01,382.03,414.128,391.81,413.374,84020.168
111,2021-08-31,350.622,397.145,358.011,391.836,84319.407
112,2021-08-30,346.306,377.232,364.238,357.91,57595.439
113,2021-08-29,355.829,378.041,367.5,364.207,37553.036
114,2021-08-28,361.961,376.0,373.035,367.466,18332.436
115,2021-08-27,344.354,375.471,350.842,373.031,36400.792
116,2021-08-26,341.11,389.281,384.312,350.995,63290.909
