,Date,Open,High,Low,Close,Volume
0,2021-11-06,0.082699,0.087,0.083136,0.083806,75677067.3
1,2021-11-05,0.0822,0.097707,0.096582,0.083113,471125747.7
2,2021-11-04,0.085336,0.12,0.100253,0.096677,1300334790.8
3,2021-11-03,0.073886,0.1099,0.075501,0.100617,1212615002.8
4,2021-11-02,0.070808,0.0849,0.075607,0.07555,673096388.9
5,2021-11-01,0.0693,0.084097,0.070984,0.075798,1074389253.5
6,2021-10-31,0.056111,0.0889,0.05852,0.070814,1453360182.3
7,2021-10-30,0.057097,0.065124,0.064618,0.058581,412348845.8
8,2021-10-29,0.059018,0.067391,0.059615,0.064713,438056930.3
9,2021-10-28,0.0471,0.068,0.05021,0.05954,985896526.6
10,2021-10-27,0.047067,0.05904,0.058195,0.050296,601743615.7
11,2021-10-26,0.05751,0.060076,0.059774,0.05817,284354359.8
12,2021-10-25,0.058552,0.060812,0.058794,0.0598,157603033.7
13,2021-10-24,0.057888,0.0625,0.061241,0.058794,198468079.2
14,2021-10-23,0.060607,0.062019,0.061166,0.061229,115799336.8
15,2021-10-22,0.06,0.062445,0.061488,0.061135,123065382.3
16,2021-10-21,0.060686,0.064951,0.06274,0.061515,193212382.6
17,2021-10-20,0.061425,0.064,0.061827,0.062634,195022994.2
18,2021-10-19,0.06105,0.066034,0.062757,0.061826,168144000.6
19,2021-10-18,0.061629,0.065154,0.064217,0.062778,158509194.9
20,2021-10-17,0.063,0.067613,0.06546,0.064166,169756421.9
21,2021-10-16,0.063218,0.072,0.066547,0.065468,355028559.8
22,2021-10-15,0.060301,0.069514,0.060969,0.066556,544682708.0
23,2021-10-14,0.060234,0.062352,0.060959,0.061028,167403838.8
24,2021-10-13,0.059761,0.062527,0.061259,0.060954,166305315.0
25,2021-10-12,0.059752,0.062981,0.061859,0.061278,249972746.8
26,2021-10-11,0.06005,0.06492,0.060939,0.061862,337906423.2
27,2021-10-10,0.0606,0.07034,0.066999,0.060942,495006284.5
28,2021-10-09,0.058401,0.073777,0.060173,0.067,720018625.5
29,2021-10-08,0.058467,0.062242,0.058898,0.059936,228714075.2
30,2021-10-07,0.057705,0.06269,0.062466,0.05875,394483336.2
31,2021-10-06,0.0611,0.0662,0.06512,0.062466,281894733.1
32,2021-10-05,0.0635,0.068,0.0654,0.065177,252211372.5
33,2021-10-04,0.064328,0.070482,0.070095,0.065441,230075809.2
34,2021-10-03,0.0685,0.07199,0.070863,0.070128,112770309.7
35,2021-10-02,0.070135,0.0752,0.073134,0.070756,173127899.6
36,2021-10-01,0.062837,0.076992,0.062837,0.073133,296415046.0
37,2021-09-30,0.060783,0.065,0.06129,0.062879,150156636.9
38,2021-09-29,0.058663,0.069,0.059814,0.061249,230539164.9
39,2021-09-28,0.057836,0.062187,0.061004,0.05987,173162324.5
40,2021-09-27,0.060913,0.065267,0.062251,0.061004,151685830.7
41,2021-09-26,0.057521,0.067813,0.067762,0.062267,229680637.6
42,2021-09-25,0.062641,0.06805,0.066567,0.067704,227328461.5
43,2021-09-24,0.0595,0.074017,0.073931,0.066662,248582286.9
44,2021-09-23,0.071111,0.0756,0.073538,0.073905,178758616.6
45,2021-09-22,0.068556,0.075,0.069174,0.073564,198830385.2
46,2021-09-21,0.068,0.075862,0.071225,0.069215,250827934.2
47,2021-09-20,0.068,0.085036,0.084714,0.071258,335221261.7
48,2021-09-19,0.079754,0.08888,0.081,0.084803,388374227.2
