,Date,Open,High,Low,Close,Volume
0,2021-12-20,1.2014,1.2609,1.2442,1.2381,75993908.27
1,2021-12-19,1.2405,1.3358,1.2431,1.2443,76578326.23
2,2021-12-18,1.2003,1.2671,1.2176,1.243,50292409.98
3,2021-12-17,1.1829,1.2589,1.2396,1.2178,80785625.82
4,2021-12-16,1.2354,1.3313,1.3118,1.2395,65906533.08
5,2021-12-15,1.2045,1.3325,1.2671,1.3114,92447442.77
6,2021-12-14,1.1993,1.2853,1.2247,1.2675,81576010.92
7,2021-12-13,1.2,1.3582,1.347,1.2252,98160986.97
8,2021-12-12,1.3202,1.4154,1.3545,1.3471,59670663.62
9,2021-12-11,1.1926,1.362,1.2112,1.3544,94184256.58
10,2021-12-10,1.2063,1.3345,1.2894,1.2115,118869778.24
11,2021-12-09,1.2877,1.4096,1.3977,1.2894,103893055.0
12,2021-12-08,1.3401,1.4251,1.3798,1.3977,95355728.05
13,2021-12-07,1.3659,1.4808,1.4209,1.3798,128023696.06
14,2021-12-06,1.257,1.4446,1.381,1.4209,166328398.34
15,2021-12-05,1.2858,1.4372,1.4209,1.3805,152874606.79
16,2021-12-04,1.3,1.5593,1.5566,1.421,151436955.04
17,2021-12-03,1.5146,1.7301,1.721,1.5573,106630453.02
18,2021-12-02,1.5193,1.7608,1.5479,1.7209,154688938.48
19,2021-12-01,1.533,1.6241,1.5552,1.548,77606872.57
20,2021-11-30,1.546,1.63,1.603,1.5552,88998950.94
21,2021-11-29,1.5589,1.6376,1.5952,1.603,66260267.14
22,2021-11-28,1.419,1.601,1.5447,1.5953,110055133.01
23,2021-11-27,1.532,1.5866,1.5333,1.5447,54101869.15
24,2021-11-26,1.5,1.6862,1.6769,1.5345,164281646.59
25,2021-11-25,1.6206,1.7504,1.6663,1.6762,94896693.4
26,2021-11-24,1.5863,1.7509,1.7505,1.666,171367527.47
27,2021-11-23,1.74,1.8169,1.7782,1.7505,74430169.2
28,2021-11-22,1.7587,1.8397,1.8361,1.7779,74955946.02
29,2021-11-21,1.8343,1.9254,1.9238,1.8355,43583290.09
30,2021-11-20,1.8621,1.9577,1.8651,1.9236,53675752.88
31,2021-11-19,1.74,1.8967,1.7877,1.865,86323118.52
32,2021-11-18,1.7011,1.9091,1.8777,1.7867,132663231.09
33,2021-11-17,1.7967,1.8937,1.8759,1.8777,104995452.24
34,2021-11-16,1.7626,2.0186,2.0184,1.8759,188143420.29
35,2021-11-15,2.0125,2.0947,2.0397,2.0183,51415542.73
36,2021-11-14,2.011,2.07,2.0506,2.0392,42175639.5
37,2021-11-13,2.0217,2.08,2.0454,2.0508,42830765.84
38,2021-11-12,1.9921,2.0996,2.0796,2.0454,120230585.1
39,2021-11-11,2.0555,2.1532,2.0996,2.0792,98683919.21
40,2021-11-10,1.9363,2.3299,2.2692,2.0996,202577941.42
41,2021-11-09,2.1063,2.38,2.1271,2.2687,253523654.06
42,2021-11-08,2.0105,2.1426,2.0226,2.1271,105638476.89
43,2021-11-07,1.9762,2.0373,2.0062,2.0228,43877563.81
44,2021-11-06,1.9445,2.0417,1.9833,2.0062,57134826.32
45,2021-11-05,1.9605,2.0195,1.9827,1.9833,62067034.93
46,2021-11-04,1.938,2.11,2.0644,1.9826,95516481.17
47,2021-11-03,1.9511,2.1462,1.9721,2.0644,167786500.87
48,2021-11-02,1.9346,1.9969,1.9492,1.972,76676086.06
49,2021-11-01,1.913,2.0193,1.9665,1.9493,74162702.01
50,2021-10-31,1.9191,2.03,1.956,1.9668,83790893.76
51,2021-10-30,1.923,2.0181,2.0152,1.9552,74207935.05
52,2021-10-29,1.9798,2.0479,1.9874,2.015,100992108.54
53,2021-10-28,1.9066,2.0601,1.912,1.9874,156835181.94
54,2021-10-27,1.848,2.1551,2.1379,1.9105,220711400.28
55,2021-10-26,2.1213,2.2024,2.1449,2.1372,79282722.11
56,2021-10-25,2.1136,2.1777,2.1197,2.145,58100532.53
57,2021-10-24,2.0936,2.1676,2.1661,2.1198,56799100.77
58,2021-10-23,2.1321,2.1736,2.156,2.1661,36578560.6
