,Date,Open,High,Low,Close,Volume
0,2021-11-06,2.73,2.83,2.82,2.77,124024.36
1,2021-11-05,2.74,2.88,2.8,2.82,642869.52
2,2021-11-04,2.72,3.05,2.96,2.79,960596.71
3,2021-11-03,2.86,3.07,3.0,2.95,1290638.44
4,2021-11-02,2.91,3.16,2.99,3.01,1195990.21
5,2021-11-01,2.88,3.21,3.07,2.98,1173053.13
6,2021-10-31,2.92,3.57,3.28,3.09,1310790.65
7,2021-10-30,3.18,3.58,3.41,3.28,2424148.77
8,2021-10-29,2.65,3.77,2.67,3.41,3897368.32
9,2021-10-28,2.48,2.74,2.58,2.66,1600147.36
10,2021-10-27,2.55,3.17,3.1,2.57,1446049.96
11,2021-10-26,3.01,3.21,3.07,3.11,613278.65
12,2021-10-25,2.95,3.22,2.98,3.07,944241.29
13,2021-10-24,2.95,3.25,3.13,2.98,734856.78
14,2021-10-23,3.11,3.37,3.28,3.13,645440.99
15,2021-10-22,3.17,3.45,3.36,3.27,805884.69
16,2021-10-21,3.32,3.79,3.57,3.36,669077.44
17,2021-10-20,3.46,3.69,3.62,3.57,437988.65
18,2021-10-19,3.55,3.72,3.65,3.62,704844.95
19,2021-10-18,3.58,4.06,3.84,3.65,904321.87
20,2021-10-17,3.64,4.13,3.72,3.83,1611090.36
21,2021-10-16,3.49,3.81,3.57,3.72,971083.95
22,2021-10-15,3.48,3.79,3.66,3.57,1786765.44
23,2021-10-14,3.45,3.95,3.47,3.65,1672027.18
24,2021-10-13,3.27,3.69,3.55,3.47,2216618.65
25,2021-10-12,3.4,3.8,3.79,3.54,1091550.96
26,2021-10-11,3.39,4.12,3.45,3.81,2192601.47
27,2021-10-10,3.4,3.86,3.7,3.45,889695.93
28,2021-10-09,3.59,4.15,3.67,3.7,2057353.4
29,2021-10-08,3.55,4.07,3.82,3.67,2328660.68
30,2021-10-07,3.69,4.38,4.36,3.81,3140455.63
31,2021-10-06,4.0,5.22,4.74,4.38,5348006.93
32,2021-10-05,2.87,5.16,2.96,4.74,10499795.93
33,2021-10-04,2.83,3.22,3.15,2.95,891464.88
34,2021-10-03,3.06,3.38,3.31,3.15,702170.07
35,2021-10-02,3.05,3.49,3.14,3.31,1191569.88
36,2021-10-01,2.62,3.18,2.66,3.12,1049875.51
37,2021-09-30,2.61,2.84,2.7,2.66,554354.76
38,2021-09-29,2.59,2.97,2.72,2.69,701969.43
39,2021-09-28,2.68,3.18,2.91,2.72,958719.83
40,2021-09-27,2.51,3.1,2.74,2.91,1090842.03
41,2021-09-26,2.39,3.13,3.13,2.74,2287844.08
42,2021-09-25,2.8,3.28,2.98,3.12,1368350.73
43,2021-09-24,2.63,3.49,3.15,2.97,2984423.18
44,2021-09-23,3.04,3.41,3.33,3.14,1387075.15
45,2021-09-22,3.01,3.5,3.24,3.33,3547891.9
46,2021-09-21,2.86,5.11,5.11,3.23,5924959.27
