,Date,Open,High,Low,Close,Volume
0,2021-12-20,1.41,1.57,1.54,1.51,248881.2
1,2021-12-19,1.52,1.6,1.56,1.55,264642.93
2,2021-12-18,1.55,1.7,1.63,1.56,209226.35
3,2021-12-17,1.54,1.77,1.54,1.62,1011598.88
4,2021-12-16,1.53,1.61,1.57,1.55,384491.48
5,2021-12-15,1.37,1.6,1.48,1.57,485469.16
6,2021-12-14,1.37,1.55,1.4,1.49,765150.36
7,2021-12-13,1.36,1.66,1.65,1.4,971764.98
8,2021-12-12,1.57,1.72,1.63,1.64,517486.0
9,2021-12-11,1.45,1.74,1.48,1.63,1194137.44
10,2021-12-10,1.41,1.59,1.49,1.47,903697.23
11,2021-12-09,1.48,1.79,1.67,1.48,647925.26
12,2021-12-08,1.57,1.75,1.65,1.66,651158.49
13,2021-12-07,1.56,1.93,1.6,1.65,1238625.42
14,2021-12-06,1.41,1.64,1.64,1.61,1749631.89
15,2021-12-05,1.53,1.86,1.79,1.64,1413344.54
16,2021-12-04,1.38,2.2,2.18,1.79,1542034.17
17,2021-12-03,2.1,2.46,2.35,2.18,723316.2
18,2021-12-02,2.26,2.45,2.41,2.35,976666.46
19,2021-12-01,2.28,2.6,2.29,2.43,1434876.15
20,2021-11-30,2.26,2.49,2.39,2.29,934942.52
21,2021-11-29,2.26,2.56,2.34,2.39,1097738.29
22,2021-11-28,2.08,2.36,2.25,2.34,1381777.48
23,2021-11-27,2.23,2.43,2.34,2.26,1044555.17
24,2021-11-26,2.15,2.81,2.78,2.33,1401616.98
25,2021-11-25,2.62,3.1,2.65,2.77,1383063.45
26,2021-11-24,2.57,2.9,2.6,2.64,1252732.42
27,2021-11-23,2.43,2.69,2.49,2.6,633785.96
28,2021-11-22,2.41,2.78,2.61,2.49,856298.65
29,2021-11-21,2.59,3.2,2.91,2.6,2567088.45
30,2021-11-20,2.28,3.24,2.33,2.9,3281112.42
31,2021-11-19,2.06,2.5,2.19,2.32,1406977.32
32,2021-11-18,2.12,2.63,2.38,2.18,1497955.73
33,2021-11-17,2.2,2.42,2.29,2.37,861736.72
34,2021-11-16,2.2,2.69,2.69,2.3,1068144.27
35,2021-11-15,2.66,2.82,2.74,2.7,448098.6
36,2021-11-14,2.65,2.83,2.79,2.74,628956.85
37,2021-11-13,2.75,2.96,2.93,2.79,823571.29
38,2021-11-12,2.65,3.05,2.67,2.94,1855697.76
39,2021-11-11,2.6,2.73,2.63,2.68,524588.21
40,2021-11-10,2.52,2.87,2.82,2.62,743556.89
41,2021-11-09,2.72,2.9,2.81,2.83,741576.36
42,2021-11-08,2.76,2.88,2.88,2.81,486425.62
43,2021-11-07,2.83,2.98,2.85,2.88,639562.35
44,2021-11-06,2.71,3.15,2.82,2.85,1111613.81
45,2021-11-05,2.74,2.88,2.8,2.82,642869.52
46,2021-11-04,2.72,3.05,2.96,2.79,960596.71
47,2021-11-03,2.86,3.07,3.0,2.95,1290638.44
48,2021-11-02,2.91,3.16,2.99,3.01,1195990.21
49,2021-11-01,2.88,3.21,3.07,2.98,1173053.13
50,2021-10-31,2.92,3.57,3.28,3.09,1310790.65
51,2021-10-30,3.18,3.58,3.41,3.28,2424148.77
52,2021-10-29,2.65,3.77,2.67,3.41,3897368.32
53,2021-10-28,2.48,2.74,2.58,2.66,1600147.36
54,2021-10-27,2.55,3.17,3.1,2.57,1446049.96
55,2021-10-26,3.01,3.21,3.07,3.11,613278.65
56,2021-10-25,2.95,3.22,2.98,3.07,944241.29
57,2021-10-24,2.95,3.25,3.13,2.98,734856.78
58,2021-10-23,3.11,3.37,3.28,3.13,645440.99
59,2021-10-22,3.17,3.45,3.36,3.27,805884.69
60,2021-10-21,3.32,3.79,3.57,3.36,669077.44
61,2021-10-20,3.46,3.69,3.62,3.57,437988.65
62,2021-10-19,3.55,3.72,3.65,3.62,704844.95
63,2021-10-18,3.58,4.06,3.84,3.65,904321.87
64,2021-10-17,3.64,4.13,3.72,3.83,1611090.36
65,2021-10-16,3.49,3.81,3.57,3.72,971083.95
66,2021-10-15,3.48,3.79,3.66,3.57,1786765.44
67,2021-10-14,3.45,3.95,3.47,3.65,1672027.18
68,2021-10-13,3.27,3.69,3.55,3.47,2216618.65
69,2021-10-12,3.4,3.8,3.79,3.54,1091550.96
70,2021-10-11,3.39,4.12,3.45,3.81,2192601.47
71,2021-10-10,3.4,3.86,3.7,3.45,889695.93
72,2021-10-09,3.59,4.15,3.67,3.7,2057353.4
73,2021-10-08,3.55,4.07,3.82,3.67,2328660.68
74,2021-10-07,3.69,4.38,4.36,3.81,3140455.63
75,2021-10-06,4.0,5.22,4.74,4.38,5348006.93
76,2021-10-05,2.87,5.16,2.96,4.74,10499795.93
77,2021-10-04,2.83,3.22,3.15,2.95,891464.88
78,2021-10-03,3.06,3.38,3.31,3.15,702170.07
79,2021-10-02,3.05,3.49,3.14,3.31,1191569.88
80,2021-10-01,2.62,3.18,2.66,3.12,1049875.51
81,2021-09-30,2.61,2.84,2.7,2.66,554354.76
82,2021-09-29,2.59,2.97,2.72,2.69,701969.43
83,2021-09-28,2.68,3.18,2.91,2.72,958719.83
84,2021-09-27,2.51,3.1,2.74,2.91,1090842.03
85,2021-09-26,2.39,3.13,3.13,2.74,2287844.08
86,2021-09-25,2.8,3.28,2.98,3.12,1368350.73
87,2021-09-24,2.63,3.49,3.15,2.97,2984423.18
88,2021-09-23,3.04,3.41,3.33,3.14,1387075.15
89,2021-09-22,3.01,3.5,3.24,3.33,3547891.9
90,2021-09-21,2.86,5.11,5.11,3.23,5924959.27
