,Date,Open,High,Low,Close,Volume
0,2021-12-20,175.96,189.57,187.6,184.9,3036.5171
1,2021-12-19,184.02,196.78,192.77,187.7,2368.8561
2,2021-12-18,184.97,198.22,191.75,193.01,3760.8125
3,2021-12-17,188.81,206.51,203.43,191.62,2386.3462
4,2021-12-16,203.41,213.75,207.96,203.41,1276.7775
5,2021-12-15,190.06,213.92,200.58,208.07,3594.1509
6,2021-12-14,192.8,203.63,198.65,200.85,4813.6639
7,2021-12-13,195.43,227.46,227.39,198.65,2920.3047
8,2021-12-12,215.68,232.29,224.6,227.39,2467.4493
9,2021-12-11,210.0,226.47,214.69,224.6,2724.3653
10,2021-12-10,213.34,237.85,232.32,214.0,13123.2951
11,2021-12-09,222.49,291.96,284.03,232.47,24717.3116
12,2021-12-08,272.93,289.0,282.78,284.14,3466.7756
13,2021-12-07,277.51,292.46,285.52,282.57,3141.316
14,2021-12-06,269.49,292.08,290.82,285.52,4118.515
15,2021-12-05,285.35,306.5,293.79,290.27,6252.7509
16,2021-12-04,271.9,309.78,308.85,294.23,5620.8542
17,2021-12-03,300.04,346.9,329.9,308.95,5693.5603
18,2021-12-02,327.33,357.64,353.8,330.43,8874.4443
19,2021-12-01,348.24,391.61,384.9,353.8,16544.8319
20,2021-11-30,373.72,493.99,382.51,384.9,43255.252
21,2021-11-29,361.14,404.92,393.72,382.51,19564.6422
22,2021-11-28,292.73,403.73,308.95,393.06,27088.293
23,2021-11-27,305.0,329.0,311.02,308.89,12196.3991
24,2021-11-26,311.02,387.67,386.15,312.0,8723.7962
25,2021-11-25,351.01,387.2,352.53,386.15,8919.1409
26,2021-11-24,350.57,373.66,372.8,352.53,4722.6803
27,2021-11-23,350.38,385.33,354.17,374.47,4512.8473
28,2021-11-22,349.94,380.42,378.71,354.52,6434.0311
29,2021-11-21,377.44,399.5,390.34,378.71,9870.7119
30,2021-11-20,377.0,490.0,379.16,391.07,17733.6239
31,2021-11-19,347.5,383.07,356.05,378.97,7154.4744
32,2021-11-18,352.56,429.51,422.07,356.04,16069.7281
33,2021-11-17,416.23,480.0,429.48,423.7,21378.7143
34,2021-11-16,427.94,544.5,453.0,427.98,4058.3703
