,Date,Open,High,Low,Close,Volume
0,2021-12-20,1.2572,1.3578,1.3564,1.2978,16278179
1,2021-12-19,1.3533,1.4352,1.3793,1.3564,10254860
2,2021-12-18,1.3329,1.3998,1.3517,1.3793,10518146
3,2021-12-17,1.3191,1.4053,1.3873,1.3516,10673871
4,2021-12-16,1.383,1.4678,1.4267,1.3875,11491916
5,2021-12-15,1.305,1.4552,1.3813,1.4271,19985558
6,2021-12-14,1.3094,1.3943,1.3209,1.3815,25875303
7,2021-12-13,1.3168,1.5588,1.5408,1.3214,33273127
8,2021-12-12,1.5101,1.5671,1.5295,1.5405,9523294
9,2021-12-11,1.4308,1.5778,1.4596,1.5279,15658670
10,2021-12-10,1.4575,1.601,1.5486,1.4607,18949171
11,2021-12-09,1.5453,1.7153,1.703,1.5488,21043982
12,2021-12-08,1.5987,1.7039,1.6865,1.7039,16501795
13,2021-12-07,1.6657,1.8121,1.7637,1.687,21184776
14,2021-12-06,1.6155,1.8664,1.7667,1.7632,49938227
15,2021-12-05,1.5875,1.7677,1.6529,1.7671,39427494
16,2021-12-04,1.4,1.7471,1.7467,1.6539,59018668
17,2021-12-03,1.7,1.9432,1.8892,1.7476,30891118
18,2021-12-02,1.8509,2.0429,1.9637,1.8896,35328877
19,2021-12-01,1.8045,2.0292,1.815,1.9644,64705607
20,2021-11-30,1.7319,1.88,1.7746,1.8142,33042515
21,2021-11-29,1.6934,1.8337,1.7147,1.7747,27610509
22,2021-11-28,1.5719,1.7165,1.6759,1.7144,20608554
23,2021-11-27,1.6019,1.7255,1.6062,1.6768,20583341
24,2021-11-26,1.5873,1.8247,1.8233,1.6075,56821802
25,2021-11-25,1.7246,1.8451,1.7421,1.8228,24321857
26,2021-11-24,1.7202,1.872,1.8364,1.7421,25012549
27,2021-11-23,1.7,1.85,1.7395,1.8358,25263456
28,2021-11-22,1.7167,1.8397,1.8302,1.7401,25910605
29,2021-11-21,1.7845,1.8943,1.84,1.8298,19575110
30,2021-11-20,1.7611,1.9076,1.8808,1.8404,22025585
31,2021-11-19,1.7539,1.9134,1.8501,1.8803,31830818
32,2021-11-18,1.648,2.82,1.66,1.8496,188129737
33,2021-11-17,1.5962,1.7613,1.7241,1.6598,48800292
34,2021-11-16,1.5637,1.8918,1.8916,1.7245,75366988
35,2021-11-15,1.8576,2.0101,1.985,1.891,29923697
