,Date,Open,High,Low,Close,Volume
0,2021-11-06,0.05917,0.0625,0.0592,0.06047,166675711
1,2021-11-05,0.0575,0.07157,0.06366,0.05924,1365219551
2,2021-11-04,0.058,0.08,0.07282,0.06366,3663921903
3,2021-11-03,0.05118,0.088,0.05395,0.07286,3727956083
4,2021-11-02,0.0485,0.0554,0.04909,0.05395,638712779
5,2021-11-01,0.04731,0.05195,0.0485,0.04909,746366814
6,2021-10-31,0.04468,0.061,0.04517,0.04846,2407353586
7,2021-10-30,0.044,0.04745,0.04603,0.04518,391125069
8,2021-10-29,0.04454,0.0475,0.04488,0.04605,358035601
9,2021-10-28,0.04132,0.047,0.04158,0.04491,635620690
10,2021-10-27,0.041,0.04671,0.04631,0.04161,619126814
11,2021-10-26,0.046,0.04794,0.04738,0.0463,404247208
12,2021-10-25,0.04667,0.04809,0.04734,0.04738,238051694
13,2021-10-24,0.04664,0.04915,0.04864,0.0473,305538373
14,2021-10-23,0.0467,0.052,0.04866,0.04864,243019726
15,2021-10-22,0.04751,0.05024,0.04813,0.04866,204151025
16,2021-10-21,0.0477,0.05139,0.04904,0.04813,258954797
17,2021-10-20,0.04675,0.0498,0.04722,0.04911,232399469
18,2021-10-19,0.04681,0.04892,0.04746,0.04723,211591102
19,2021-10-18,0.04727,0.05039,0.04845,0.04751,263913658
20,2021-10-17,0.04738,0.0498,0.04975,0.04845,273519169
21,2021-10-16,0.0487,0.054,0.05176,0.04976,830632575
22,2021-10-15,0.04475,0.05239,0.04583,0.05176,508740881
23,2021-10-14,0.04522,0.0482,0.04586,0.04582,236539236
24,2021-10-13,0.04486,0.04714,0.04557,0.04585,237053255
25,2021-10-12,0.04425,0.04836,0.04818,0.04556,297923062
26,2021-10-11,0.04556,0.04901,0.04713,0.04818,261900249
27,2021-10-10,0.04703,0.05046,0.04915,0.04719,259734760
28,2021-10-09,0.04654,0.05234,0.04741,0.04915,427927089
29,2021-10-08,0.04507,0.04844,0.04771,0.0474,285479840
30,2021-10-07,0.04646,0.05198,0.04887,0.04771,478460595
31,2021-10-06,0.04833,0.05307,0.0528,0.04892,465267426
32,2021-10-05,0.0508,0.06,0.05328,0.0528,812367114
33,2021-10-04,0.0492,0.05353,0.04941,0.05322,455945161
