,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.09386,0.10151,0.09996,0.09933,59470135
1,2021-12-19,0.0999,0.1036,0.10224,0.09998,24649243
2,2021-12-18,0.10003,0.1045,0.10165,0.10217,45744006
3,2021-12-17,0.09793,0.10657,0.10004,0.10155,86644611
4,2021-12-16,0.09931,0.10787,0.10117,0.10003,62195634
5,2021-12-15,0.09263,0.10361,0.09874,0.10121,94073435
6,2021-12-14,0.09434,0.09988,0.0963,0.09886,64497483
7,2021-12-13,0.0945,0.11025,0.10898,0.09637,130116480
8,2021-12-12,0.1035,0.11389,0.10624,0.10907,57884313
9,2021-12-11,0.10043,0.10878,0.103,0.10619,55857140
10,2021-12-10,0.10259,0.113,0.10771,0.10325,79156963
11,2021-12-09,0.10673,0.11904,0.11635,0.10772,103967890
12,2021-12-08,0.10662,0.1236,0.1118,0.11634,158746257
13,2021-12-07,0.10964,0.12113,0.11094,0.11195,146421257
14,2021-12-06,0.09558,0.1119,0.10775,0.11116,226242949
15,2021-12-05,0.10432,0.11808,0.11311,0.10775,171366003
16,2021-12-04,0.1,0.13309,0.13279,0.11308,355780024
17,2021-12-03,0.12807,0.14806,0.14779,0.13292,145150003
18,2021-12-02,0.13838,0.14981,0.14671,0.14784,103098950
19,2021-12-01,0.14255,0.15399,0.14816,0.14664,132638954
20,2021-11-30,0.1453,0.1648,0.1599,0.148,168935051
21,2021-11-29,0.15495,0.16908,0.1615,0.1599,145194674
22,2021-11-28,0.14614,0.1824,0.17099,0.1615,294028832
23,2021-11-27,0.16445,0.21409,0.17356,0.17106,1142747224
24,2021-11-26,0.12348,0.19931,0.1247,0.17356,1323951516
25,2021-11-25,0.1185,0.12579,0.12053,0.12465,115596572
26,2021-11-24,0.11699,0.12601,0.12594,0.12054,100191719
27,2021-11-23,0.12224,0.12844,0.1262,0.12592,86252360
28,2021-11-22,0.12368,0.13418,0.12797,0.12627,96090393
29,2021-11-21,0.12676,0.13679,0.13156,0.12789,90860905
30,2021-11-20,0.12384,0.13496,0.12854,0.13156,77347898
31,2021-11-19,0.11473,0.13163,0.12308,0.12849,128195505
32,2021-11-18,0.1221,0.14312,0.13153,0.12305,258533142
33,2021-11-17,0.12573,0.13553,0.12627,0.13162,191512546
34,2021-11-16,0.11757,0.13515,0.13507,0.12625,194472568
35,2021-11-15,0.13371,0.155,0.13691,0.13506,457114262
36,2021-11-14,0.12026,0.1595,0.12405,0.13696,456112223
37,2021-11-13,0.12311,0.13322,0.12395,0.124,186050339
38,2021-11-12,0.11716,0.12997,0.12006,0.12393,171791142
39,2021-11-11,0.11534,0.12249,0.11748,0.12008,113638650
40,2021-11-10,0.10502,0.12936,0.12909,0.11747,231986278
41,2021-11-09,0.12457,0.134,0.12877,0.12903,174194844
42,2021-11-08,0.12383,0.13131,0.12741,0.12877,143931260
43,2021-11-07,0.1265,0.13651,0.12921,0.12741,123714909
44,2021-11-06,0.12024,0.13228,0.12724,0.12917,152289356
45,2021-11-05,0.12402,0.1375,0.12408,0.12732,281447045
46,2021-11-04,0.11897,0.13496,0.12799,0.12412,225167660
47,2021-11-03,0.12251,0.13989,0.13979,0.12792,271507444
48,2021-11-02,0.12052,0.16334,0.12053,0.13979,1008713134
49,2021-11-01,0.10657,0.13241,0.12001,0.12061,543653103
50,2021-10-31,0.09585,0.18,0.09999,0.12003,1648037482
51,2021-10-30,0.09044,0.11755,0.09494,0.09991,328309036
52,2021-10-29,0.08783,0.09539,0.08821,0.09494,131732233
53,2021-10-28,0.08097,0.09488,0.0815,0.08821,191090344
54,2021-10-27,0.0805,0.09289,0.09187,0.08146,234357465
55,2021-10-26,0.09074,0.09495,0.09337,0.09187,83083389
56,2021-10-25,0.09074,0.09434,0.09145,0.09335,73092017
57,2021-10-24,0.08854,0.09356,0.09335,0.09147,81290707
58,2021-10-23,0.09193,0.09435,0.09349,0.09336,45735545
59,2021-10-22,0.09148,0.09662,0.09382,0.09356,57881026
60,2021-10-21,0.092,0.10157,0.09792,0.09385,109170691
61,2021-10-20,0.09435,0.09968,0.09512,0.09792,128437156
62,2021-10-19,0.0938,0.10385,0.10297,0.09512,164300158
63,2021-10-18,0.08753,0.12469,0.08799,0.10302,510923575
64,2021-10-17,0.08571,0.09195,0.09029,0.08799,61908002
65,2021-10-16,0.08929,0.09339,0.09015,0.09038,80210123
66,2021-10-15,0.0848,0.09209,0.09122,0.09012,131924914
67,2021-10-14,0.0873,0.09433,0.08782,0.09136,71523887
68,2021-10-13,0.08352,0.0879,0.08518,0.08782,45189203
69,2021-10-12,0.0815,0.0887,0.0887,0.08526,61413352
70,2021-10-11,0.08605,0.09232,0.09056,0.08869,58786982
71,2021-10-10,0.08989,0.09419,0.09271,0.09057,53043002
72,2021-10-09,0.09159,0.09622,0.09348,0.09267,70780726
73,2021-10-08,0.08884,0.09688,0.09001,0.09358,165422348
74,2021-10-07,0.08502,0.09017,0.08861,0.08998,119738670
75,2021-10-06,0.08506,0.09362,0.09263,0.08855,151603707
76,2021-10-05,0.0818,0.09336,0.08282,0.09262,148122821
77,2021-10-04,0.08024,0.08643,0.08643,0.08274,67470727
78,2021-10-03,0.08373,0.08816,0.08501,0.08643,65600695
79,2021-10-02,0.08293,0.08813,0.085,0.08498,52586508
80,2021-10-01,0.07879,0.08528,0.07939,0.08494,64049469
81,2021-09-30,0.07417,0.08204,0.07457,0.07929,63153602
82,2021-09-29,0.07292,0.07867,0.074,0.07464,44110129
83,2021-09-28,0.07332,0.07893,0.07538,0.07403,49291815
84,2021-09-27,0.07529,0.08132,0.0788,0.07539,33009937
85,2021-09-26,0.07342,0.08095,0.08086,0.07884,39592120
86,2021-09-25,0.07901,0.08355,0.0813,0.08086,43603278
87,2021-09-24,0.07523,0.08795,0.08764,0.08131,72314225
88,2021-09-23,0.08234,0.08876,0.08619,0.0877,68674674
89,2021-09-22,0.07482,0.08879,0.07705,0.08613,66792801
90,2021-09-21,0.07467,0.08518,0.08074,0.07704,107394002
91,2021-09-20,0.07793,0.09387,0.09377,0.08088,126011914
92,2021-09-19,0.09269,0.09812,0.09648,0.09372,43727937
93,2021-09-18,0.09429,0.09886,0.09606,0.09652,35412844
94,2021-09-17,0.09431,0.09953,0.0982,0.09603,67671818
95,2021-09-16,0.09574,0.102,0.10132,0.09811,73711303
96,2021-09-15,0.09728,0.10311,0.09842,0.10131,62977696
97,2021-09-14,0.09405,0.09913,0.09541,0.09841,41767327
98,2021-09-13,0.089,0.10098,0.10025,0.09541,61345723
99,2021-09-12,0.09583,0.1021,0.09828,0.10016,44793118
100,2021-09-11,0.09332,0.10234,0.09542,0.09839,58220722
101,2021-09-10,0.0931,0.10587,0.10215,0.09554,106222877
102,2021-09-09,0.09764,0.10457,0.10035,0.10215,100032550
103,2021-09-08,0.08745,0.1031,0.09953,0.10032,201093342
104,2021-09-07,0.08028,0.12655,0.12434,0.09943,247956422
105,2021-09-06,0.11549,0.13,0.12246,0.12434,142836578
106,2021-09-05,0.11294,0.1325,0.11496,0.12248,256386328
107,2021-09-04,0.10775,0.12,0.10831,0.11496,203469628
108,2021-09-03,0.10332,0.11044,0.10564,0.1083,126022757
109,2021-09-02,0.10405,0.108,0.10629,0.10571,100731230
110,2021-09-01,0.09995,0.10675,0.1018,0.10631,75589024
