,Date,Open,High,Low,Close,Volume
0,2021-12-20,4.17,4.91,4.19,4.79,451257.11
1,2021-12-19,4.17,4.74,4.25,4.2,540563.77
2,2021-12-18,4.08,4.45,4.29,4.25,273421.92
3,2021-12-17,3.98,4.75,4.46,4.31,956084.93
4,2021-12-16,3.97,4.9,4.1,4.47,537079.82
5,2021-12-15,3.67,4.28,3.76,4.11,277159.31
6,2021-12-14,3.61,4.17,3.94,3.76,504412.63
7,2021-12-13,3.71,4.33,4.28,3.91,280384.73
8,2021-12-12,4.13,4.58,4.57,4.28,211013.59
9,2021-12-11,4.21,4.94,4.53,4.57,370653.6
10,2021-12-10,4.26,7.37,5.11,4.55,1520208.98
11,2021-12-09,4.48,5.34,5.09,5.1,231801.02
