,Date,Open,High,Low,Close,Volume
0,2021-11-06,0.1833,0.1948,0.1896,0.1886,13744289.5
1,2021-11-05,0.1772,0.2091,0.1906,0.1897,86191299.6
2,2021-11-04,0.1871,0.2469,0.2105,0.1904,152584053.3
3,2021-11-03,0.1818,0.275,0.19,0.2104,366202045.8
4,2021-11-02,0.1422,0.2449,0.1447,0.19,472448317.0
5,2021-11-01,0.132,0.157,0.138,0.1447,120764137.7
6,2021-10-31,0.1344,0.1582,0.14,0.1379,174749020.0
7,2021-10-30,0.1325,0.1748,0.136,0.1398,251782954.2
8,2021-10-29,0.1198,0.1502,0.1218,0.1359,110399217.6
9,2021-10-28,0.1151,0.128,0.12,0.1218,47095495.1
10,2021-10-27,0.1162,0.1483,0.1456,0.1204,38154574.3
11,2021-10-26,0.1446,0.1523,0.1471,0.1456,46837491.2
12,2021-10-25,0.1388,0.1519,0.14,0.1475,27711732.4
13,2021-10-24,0.1369,0.1513,0.1473,0.1396,27476996.1
14,2021-10-23,0.1445,0.1535,0.1525,0.1476,22912977.2
15,2021-10-22,0.1442,0.157,0.1493,0.1527,36528000.9
16,2021-10-21,0.1459,0.1698,0.165,0.1493,81388009.1
17,2021-10-20,0.1582,0.1739,0.1721,0.1642,92121053.9
18,2021-10-19,0.165,0.24,0.24,0.1722,107959053.0
