,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.0883,0.0987,0.0946,0.095,15882507.0
1,2021-12-19,0.0945,0.1005,0.0984,0.0947,5777364.9
2,2021-12-18,0.0969,0.1015,0.0987,0.0985,6677339.8
3,2021-12-17,0.0951,0.1142,0.1089,0.0987,34007226.6
4,2021-12-16,0.0941,0.1184,0.0946,0.109,47635969.9
5,2021-12-15,0.0872,0.0963,0.0913,0.0946,12149368.6
6,2021-12-14,0.0873,0.093,0.0901,0.0911,9576316.0
7,2021-12-13,0.0886,0.1042,0.1034,0.0901,10794996.2
8,2021-12-12,0.1002,0.105,0.1034,0.1035,9625699.7
9,2021-12-11,0.0971,0.1041,0.0991,0.1032,10800746.5
10,2021-12-10,0.0988,0.1087,0.1044,0.0993,11607578.2
11,2021-12-09,0.1039,0.1182,0.1157,0.1044,20254264.3
12,2021-12-08,0.1073,0.1193,0.1121,0.1156,12823448.9
13,2021-12-07,0.1107,0.1212,0.1136,0.1122,51290556.0
14,2021-12-06,0.0998,0.1199,0.1112,0.1136,69655348.1
15,2021-12-05,0.1055,0.1219,0.1193,0.1111,38398746.8
16,2021-12-04,0.0942,0.1368,0.1363,0.119,51940495.7
17,2021-12-03,0.1301,0.1511,0.1472,0.1366,21881479.1
18,2021-12-02,0.1437,0.1594,0.159,0.147,41776899.5
19,2021-12-01,0.1438,0.1597,0.1444,0.1591,32129751.6
20,2021-11-30,0.1431,0.153,0.1507,0.1444,20440148.0
21,2021-11-29,0.1444,0.1537,0.1483,0.1505,24193219.7
22,2021-11-28,0.1363,0.1485,0.1471,0.1483,33903859.3
23,2021-11-27,0.1417,0.1586,0.1433,0.1471,38146873.8
24,2021-11-26,0.1334,0.159,0.1589,0.1433,38832173.1
25,2021-11-25,0.1506,0.1698,0.1516,0.1589,63767853.0
26,2021-11-24,0.1472,0.1599,0.1586,0.1517,20809364.6
27,2021-11-23,0.1573,0.1717,0.1639,0.1584,21951009.7
28,2021-11-22,0.1618,0.1769,0.1719,0.1639,48090356.7
29,2021-11-21,0.1607,0.1957,0.1665,0.1715,83290607.0
30,2021-11-20,0.159,0.1695,0.1648,0.1665,35298229.7
31,2021-11-19,0.1467,0.1678,0.1502,0.1648,44126524.7
32,2021-11-18,0.1485,0.1725,0.17,0.15,33359271.1
33,2021-11-17,0.1677,0.1767,0.1741,0.17,34145239.4
34,2021-11-16,0.1664,0.193,0.193,0.1743,51585937.9
35,2021-11-15,0.192,0.2034,0.2025,0.1932,27306054.6
36,2021-11-14,0.1961,0.2045,0.2029,0.2019,23847610.9
37,2021-11-13,0.2011,0.2267,0.2116,0.2029,73733495.4
38,2021-11-12,0.1919,0.2335,0.1959,0.2116,131615153.5
39,2021-11-11,0.1781,0.2113,0.1815,0.1962,59588254.5
40,2021-11-10,0.1721,0.2107,0.1898,0.1817,67984167.0
41,2021-11-09,0.1874,0.2014,0.1893,0.1897,40570613.0
42,2021-11-08,0.1868,0.195,0.1948,0.1893,34079313.1
43,2021-11-07,0.1923,0.2129,0.1959,0.1946,54280475.4
44,2021-11-06,0.1796,0.2158,0.1896,0.1959,85912083.6
45,2021-11-05,0.1772,0.2091,0.1906,0.1897,86191299.6
46,2021-11-04,0.1871,0.2469,0.2105,0.1904,152584053.3
47,2021-11-03,0.1818,0.275,0.19,0.2104,366202045.8
48,2021-11-02,0.1422,0.2449,0.1447,0.19,472448317.0
49,2021-11-01,0.132,0.157,0.138,0.1447,120764137.7
50,2021-10-31,0.1344,0.1582,0.14,0.1379,174749020.0
51,2021-10-30,0.1325,0.1748,0.136,0.1398,251782954.2
52,2021-10-29,0.1198,0.1502,0.1218,0.1359,110399217.6
53,2021-10-28,0.1151,0.128,0.12,0.1218,47095495.1
54,2021-10-27,0.1162,0.1483,0.1456,0.1204,38154574.3
55,2021-10-26,0.1446,0.1523,0.1471,0.1456,46837491.2
56,2021-10-25,0.1388,0.1519,0.14,0.1475,27711732.4
57,2021-10-24,0.1369,0.1513,0.1473,0.1396,27476996.1
58,2021-10-23,0.1445,0.1535,0.1525,0.1476,22912977.2
59,2021-10-22,0.1442,0.157,0.1493,0.1527,36528000.9
60,2021-10-21,0.1459,0.1698,0.165,0.1493,81388009.1
61,2021-10-20,0.1582,0.1739,0.1721,0.1642,92121053.9
62,2021-10-19,0.165,0.24,0.24,0.1722,107959053.0
