,Date,Open,High,Low,Close,Volume
0,2021-11-06,0.16349,0.185,0.16722,0.18297,27983587
1,2021-11-05,0.14773,0.1892,0.15611,0.16721,112273955
2,2021-11-04,0.15602,0.1829,0.17421,0.15673,132250766
3,2021-11-03,0.161,0.21874,0.17881,0.17421,235284903
4,2021-11-02,0.15679,0.239,0.16282,0.17981,389237602
5,2021-11-01,0.13,0.17615,0.14779,0.16324,208887810
6,2021-10-31,0.135,0.21,0.17912,0.14694,393278947
7,2021-10-30,0.11478,0.26,0.12306,0.17911,1090993464
8,2021-10-29,0.0843,0.13411,0.09148,0.12306,488671259
9,2021-10-28,0.07941,0.0999,0.08165,0.09243,232270038
10,2021-10-27,0.07316,0.10181,0.09899,0.08207,278253911
11,2021-10-26,0.0841,0.11,0.0861,0.09899,402080943
12,2021-10-25,0.07713,0.0895,0.07801,0.0861,162673349
13,2021-10-24,0.074,0.0892,0.08905,0.07824,188184404
14,2021-10-23,0.08234,0.09929,0.09496,0.08905,231191727
15,2021-10-22,0.0935,0.12449,0.1232,0.09497,348756854
16,2021-10-21,0.09,0.1442,0.12,0.12435,395106021
