,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.08418,0.09478,0.09233,0.08901,33077014
1,2021-12-19,0.08804,0.0995,0.09077,0.09206,31460328
2,2021-12-18,0.08427,0.09203,0.09078,0.09075,19904637
3,2021-12-17,0.08542,0.09455,0.09295,0.09044,17974348
4,2021-12-16,0.0918,0.09784,0.09266,0.09294,29747794
5,2021-12-15,0.08695,0.095,0.08988,0.09253,22898891
6,2021-12-14,0.08607,0.09174,0.08858,0.0904,22346777
7,2021-12-13,0.08768,0.10128,0.10071,0.08886,23828747
8,2021-12-12,0.09779,0.10544,0.10426,0.10098,22213677
9,2021-12-11,0.09551,0.11633,0.11078,0.10426,72297186
10,2021-12-10,0.0838,0.135,0.0887,0.11078,249125973
11,2021-12-09,0.08539,0.10248,0.10009,0.08893,44698216
12,2021-12-08,0.0954,0.10859,0.10108,0.10036,41577135
13,2021-12-07,0.09114,0.11348,0.11046,0.10099,88827835
14,2021-12-06,0.08801,0.1125,0.10543,0.11046,68138046
15,2021-12-05,0.1019,0.11745,0.11332,0.10568,30705390
16,2021-12-04,0.09734,0.13266,0.13101,0.11334,77145288
17,2021-12-03,0.1275,0.1408,0.1344,0.13101,42316658
18,2021-12-02,0.13167,0.14678,0.13992,0.13397,47246895
19,2021-12-01,0.138,0.15171,0.14251,0.13993,61773922
20,2021-11-30,0.13565,0.14841,0.14087,0.14267,45267631
21,2021-11-29,0.13777,0.15,0.14924,0.14117,50090015
22,2021-11-28,0.13502,0.15735,0.15433,0.14858,78940002
23,2021-11-27,0.13657,0.179,0.1385,0.15402,151559789
24,2021-11-26,0.124,0.16381,0.16259,0.13815,151840820
25,2021-11-25,0.12584,0.184,0.13005,0.16228,178265923
26,2021-11-24,0.12763,0.146,0.13882,0.13022,55187869
27,2021-11-23,0.12639,0.1489,0.13279,0.13875,112791782
28,2021-11-22,0.1234,0.13658,0.13547,0.13279,76987605
29,2021-11-21,0.13164,0.1458,0.13862,0.13531,50643172
30,2021-11-20,0.128,0.1485,0.13053,0.1383,55698487
31,2021-11-19,0.11745,0.13974,0.12354,0.13053,70859733
32,2021-11-18,0.122,0.1513,0.13708,0.12358,126355351
33,2021-11-17,0.12251,0.14971,0.13843,0.13707,104599932
34,2021-11-16,0.13676,0.15294,0.15272,0.13843,61122655
35,2021-11-15,0.15005,0.16909,0.16479,0.1523,51221872
36,2021-11-14,0.15619,0.176,0.15666,0.16445,57326303
37,2021-11-13,0.152,0.17196,0.1586,0.15667,70125985
38,2021-11-12,0.14673,0.16396,0.16258,0.1586,60933405
39,2021-11-11,0.152,0.1746,0.1592,0.16276,74204472
40,2021-11-10,0.14255,0.174,0.16346,0.15936,136035019
41,2021-11-09,0.15894,0.17667,0.16728,0.16438,84640183
42,2021-11-08,0.16559,0.18938,0.18411,0.1673,80744072
43,2021-11-07,0.16817,0.19898,0.1713,0.1846,135848110
44,2021-11-06,0.16251,0.1891,0.16722,0.1713,79720102
45,2021-11-05,0.14773,0.1892,0.15611,0.16721,112273955
46,2021-11-04,0.15602,0.1829,0.17421,0.15673,132250766
47,2021-11-03,0.161,0.21874,0.17881,0.17421,235284903
48,2021-11-02,0.15679,0.239,0.16282,0.17981,389237602
49,2021-11-01,0.13,0.17615,0.14779,0.16324,208887810
50,2021-10-31,0.135,0.21,0.17912,0.14694,393278947
51,2021-10-30,0.11478,0.26,0.12306,0.17911,1090993464
52,2021-10-29,0.0843,0.13411,0.09148,0.12306,488671259
53,2021-10-28,0.07941,0.0999,0.08165,0.09243,232270038
54,2021-10-27,0.07316,0.10181,0.09899,0.08207,278253911
55,2021-10-26,0.0841,0.11,0.0861,0.09899,402080943
56,2021-10-25,0.07713,0.0895,0.07801,0.0861,162673349
57,2021-10-24,0.074,0.0892,0.08905,0.07824,188184404
58,2021-10-23,0.08234,0.09929,0.09496,0.08905,231191727
59,2021-10-22,0.0935,0.12449,0.1232,0.09497,348756854
60,2021-10-21,0.09,0.1442,0.12,0.12435,395106021
