,Date,Open,High,Low,Close,Volume
0,2021-11-06,36.393,36.88,36.779,36.758,178981.0
1,2021-11-05,36.377,38.99,37.536,36.771,1187457.7
2,2021-11-04,36.145,39.245,38.531,37.529,1543832.6
3,2021-11-03,35.54,38.61,37.094,38.537,3049426.6
4,2021-11-02,36.31,38.429,37.313,37.083,1641415.1
5,2021-11-01,34.683,38.191,37.281,37.314,2059368.6
6,2021-10-31,35.26,37.748,37.287,37.226,1575569.3
7,2021-10-30,36.202,39.58,39.58,37.315,1225789.6
8,2021-10-29,38.0,41.028,38.048,39.58,2161673.4
9,2021-10-28,36.15,40.702,36.784,38.02,2690952.9
10,2021-10-27,35.7,43.55,43.284,36.776,3733704.1
11,2021-10-26,35.043,43.432,35.303,43.342,5659149.6
12,2021-10-25,34.147,35.552,34.261,35.289,1181392.6
13,2021-10-24,33.48,36.027,35.695,34.252,1301748.8
14,2021-10-23,33.772,37.17,34.068,35.691,1615074.4
15,2021-10-22,33.628,36.16,34.289,34.07,2390544.0
16,2021-10-21,33.813,36.785,35.916,34.291,2535644.2
17,2021-10-20,33.514,36.896,35.036,35.92,1756396.3
18,2021-10-19,31.452,35.409,31.86,35.035,2874795.4
19,2021-10-18,31.055,32.654,32.44,31.876,1208919.9
20,2021-10-17,31.171,34.269,33.124,32.433,1047422.0
21,2021-10-16,32.883,34.645,33.057,33.121,1287191.9
22,2021-10-15,32.204,34.177,33.813,33.049,1727159.0
23,2021-10-14,33.467,35.7,34.614,33.828,1600895.9
24,2021-10-13,31.667,34.978,33.458,34.613,2115824.6
25,2021-10-12,29.926,34.422,32.013,33.477,2319817.4
26,2021-10-11,31.001,34.394,32.399,32.02,1348231.5
27,2021-10-10,32.115,35.187,35.173,32.43,1226243.3
28,2021-10-09,34.6,36.15,35.032,35.163,1170039.9
29,2021-10-08,34.755,36.93,36.688,35.004,1406086.7
30,2021-10-07,33.79,37.985,35.148,36.687,2394923.0
31,2021-10-06,33.0,36.879,36.78,35.142,2531333.3
32,2021-10-05,35.394,38.344,36.775,36.75,1958415.6
33,2021-10-04,36.0,38.801,38.769,36.785,3056178.2
34,2021-10-03,37.832,40.787,38.631,38.767,1545025.5
35,2021-10-02,37.183,41.645,37.869,38.617,1840268.6
36,2021-10-01,34.735,38.599,36.217,37.854,2824005.1
37,2021-09-30,33.468,36.29,33.853,36.223,2932480.8
38,2021-09-29,32.565,36.634,33.695,33.848,2599461.5
39,2021-09-28,33.367,37.906,37.206,33.687,2632505.5
40,2021-09-27,36.636,40.758,39.834,37.218,2254655.7
41,2021-09-26,35.484,41.7,39.49,39.812,3312168.5
42,2021-09-25,38.792,43.154,42.552,39.488,2277597.9
43,2021-09-24,35.88,44.499,41.523,42.569,5834743.0
44,2021-09-23,38.817,43.437,39.722,41.544,5161167.8
45,2021-09-22,29.359,40.239,30.455,39.725,6506542.1
46,2021-09-21,28.83,37.16,33.877,30.455,6947724.6
47,2021-09-20,33.231,44.8,44.295,33.887,8593917.4
48,2021-09-19,37.7,44.691,40.765,44.306,4090564.0
49,2021-09-18,32.692,41.471,33.466,40.802,4123325.9
50,2021-09-17,32.507,38.0,37.096,33.458,3281961.1
51,2021-09-16,31.227,37.387,34.121,37.112,3514051.2
52,2021-09-15,32.662,35.409,34.216,34.125,2241165.7
53,2021-09-14,32.809,37.9,35.761,34.237,4126012.7
54,2021-09-13,30.305,38.931,34.906,35.767,6666630.2
55,2021-09-12,26.0,35.245,27.341,34.894,4845945.2
56,2021-09-11,26.718,30.9,29.402,27.337,3042972.9
57,2021-09-10,24.584,30.5,26.814,29.421,6813426.4
58,2021-09-09,20.431,28.455,20.71,26.791,6873380.9
59,2021-09-08,18.5,21.914,21.125,20.7,2689446.1
60,2021-09-07,17.348,27.461,25.115,21.135,3188668.7
61,2021-09-06,23.8,27.087,25.731,25.113,2179189.1
62,2021-09-05,23.796,26.277,24.428,25.741,1879154.9
63,2021-09-04,23.77,25.459,24.102,24.434,1505453.2
64,2021-09-03,23.153,24.948,24.154,24.098,2404158.4
65,2021-09-02,23.501,25.79,25.435,24.156,1720152.5
66,2021-09-01,22.105,25.99,22.919,25.431,3620049.5
67,2021-08-31,21.58,26.248,22.155,22.924,5360688.4
68,2021-08-30,19.5,24.0,21.218,22.15,2915573.6
69,2021-08-29,20.344,22.424,21.33,21.2,2041559.1
70,2021-08-28,19.509,21.45,20.434,21.332,1357406.0
71,2021-08-27,17.256,20.597,17.928,20.427,1631418.0
72,2021-08-26,17.699,20.326,20.054,17.936,1388255.2
73,2021-08-25,18.62,20.884,19.546,20.057,1752655.4
74,2021-08-24,19.208,22.03,21.823,19.542,2080969.5
75,2021-08-23,21.258,23.119,21.878,21.834,1455766.7
76,2021-08-22,20.987,24.749,22.176,21.881,2274899.4
77,2021-08-21,18.537,23.958,18.946,22.168,3325055.7
78,2021-08-20,18.376,19.992,18.702,18.938,2018971.8
79,2021-08-19,17.759,20.459,17.948,18.699,4390854.6
80,2021-08-18,14.935,18.616,15.999,17.948,2248845.2
81,2021-08-17,15.069,17.499,15.783,15.993,2115384.3
