,Date,Open,High,Low,Close,Volume
0,2021-11-06,37.6,38.41,37.64,37.71,15682.28
1,2021-11-05,37.0,39.8,39.55,37.64,113149.879
2,2021-11-04,38.0,43.79,39.95,39.55,273352.205
3,2021-11-03,36.7,44.49,37.63,39.95,575401.463
4,2021-11-02,35.66,40.35,36.05,37.63,414734.869
5,2021-11-01,35.06,37.61,36.17,36.05,212967.161
6,2021-10-31,34.47,37.03,36.56,36.17,337182.648
7,2021-10-30,35.99,39.97,38.3,36.56,506608.476
8,2021-10-29,34.61,47.0,34.61,38.37,934357.321
9,2021-10-28,32.65,37.58,33.07,34.61,397136.469
10,2021-10-27,32.12,39.97,39.44,33.07,499747.314
11,2021-10-26,38.56,43.94,42.83,39.44,519727.438
12,2021-10-25,36.71,47.5,37.4,42.83,774694.686
13,2021-10-24,35.01,40.5,40.25,37.4,448909.307
14,2021-10-23,36.5,45.41,42.81,40.38,791177.125
15,2021-10-22,42.71,64.0,54.01,42.72,1675708.49
16,2021-10-21,34.75,69.66,36.36,54.01,2802195.717
17,2021-10-20,31.65,37.77,33.64,36.36,192201.243
18,2021-10-19,33.69,41.01,41.01,33.69,85419.508
