,Date,Open,High,Low,Close,Volume
0,2021-12-20,22.77,24.7,24.7,23.75,31549.936
1,2021-12-19,24.05,25.66,25.34,24.78,23452.253
2,2021-12-18,23.84,25.82,24.31,25.33,25800.685
3,2021-12-17,23.04,26.69,25.01,24.3,62459.781
4,2021-12-16,23.56,29.84,23.56,24.98,110795.77
5,2021-12-15,21.63,24.38,23.94,23.59,54894.912
6,2021-12-14,22.55,25.18,24.13,23.94,62594.268
7,2021-12-13,23.75,27.03,27.02,24.2,61079.476
8,2021-12-12,26.35,27.68,26.94,26.99,55396.267
9,2021-12-11,25.43,27.8,25.86,26.94,61407.066
10,2021-12-10,25.64,29.41,27.84,25.86,116256.415
11,2021-12-09,26.75,29.04,27.55,27.8,142963.268
12,2021-12-08,26.6,28.66,27.6,27.58,96418.088
13,2021-12-07,26.38,31.0,26.68,27.6,140848.628
14,2021-12-06,24.35,27.83,27.22,26.69,115421.377
15,2021-12-05,26.18,30.77,27.67,27.22,178299.03
16,2021-12-04,23.19,38.7,32.64,27.6,606430.265
17,2021-12-03,29.36,41.33,29.9,32.65,1014048.754
18,2021-12-02,27.88,31.94,28.94,29.9,169360.562
19,2021-12-01,28.34,30.41,29.34,28.94,92863.212
20,2021-11-30,29.08,30.57,30.47,29.34,124143.577
21,2021-11-29,29.76,31.14,30.59,30.49,117038.111
22,2021-11-28,28.97,32.78,31.11,30.61,124728.715
23,2021-11-27,28.69,33.57,28.77,31.13,118749.421
24,2021-11-26,26.79,33.0,30.96,28.78,133263.982
25,2021-11-25,30.03,32.3,30.21,30.96,126597.884
26,2021-11-24,29.41,31.98,31.92,30.28,76436.695
27,2021-11-23,30.49,32.3,30.94,31.97,59979.148
28,2021-11-22,30.84,33.23,33.19,30.94,91463.569
29,2021-11-21,31.97,37.99,32.54,33.19,170665.685
30,2021-11-20,31.32,33.72,32.04,32.57,112099.818
31,2021-11-19,28.92,33.94,29.67,32.08,188849.925
32,2021-11-18,28.82,33.04,32.42,29.67,164854.406
33,2021-11-17,31.56,34.57,33.39,32.48,219029.075
34,2021-11-16,32.01,36.76,36.76,33.39,185530.543
35,2021-11-15,36.41,38.78,38.44,36.8,126109.256
36,2021-11-14,37.82,40.68,40.32,38.44,109771.425
37,2021-11-13,38.58,40.65,38.67,40.36,85264.499
38,2021-11-12,37.8,40.97,40.9,38.67,108143.86
39,2021-11-11,38.17,43.0,38.39,40.9,229314.983
40,2021-11-10,37.12,43.6,39.3,38.39,402374.473
41,2021-11-09,38.18,43.91,39.14,39.3,360067.645
42,2021-11-08,38.32,41.17,40.44,39.14,174113.433
43,2021-11-07,38.68,44.0,38.72,40.44,366509.087
44,2021-11-06,36.17,39.0,37.64,38.73,139559.963
45,2021-11-05,37.0,39.8,39.55,37.64,113149.879
46,2021-11-04,38.0,43.79,39.95,39.55,273352.205
47,2021-11-03,36.7,44.49,37.63,39.95,575401.463
48,2021-11-02,35.66,40.35,36.05,37.63,414734.869
49,2021-11-01,35.06,37.61,36.17,36.05,212967.161
50,2021-10-31,34.47,37.03,36.56,36.17,337182.648
51,2021-10-30,35.99,39.97,38.3,36.56,506608.476
52,2021-10-29,34.61,47.0,34.61,38.37,934357.321
53,2021-10-28,32.65,37.58,33.07,34.61,397136.469
54,2021-10-27,32.12,39.97,39.44,33.07,499747.314
55,2021-10-26,38.56,43.94,42.83,39.44,519727.438
56,2021-10-25,36.71,47.5,37.4,42.83,774694.686
57,2021-10-24,35.01,40.5,40.25,37.4,448909.307
58,2021-10-23,36.5,45.41,42.81,40.38,791177.125
59,2021-10-22,42.71,64.0,54.01,42.72,1675708.49
60,2021-10-21,34.75,69.66,36.36,54.01,2802195.717
61,2021-10-20,31.65,37.77,33.64,36.36,192201.243
62,2021-10-19,33.69,41.01,41.01,33.69,85419.508
