,Date,Open,High,Low,Close,Volume
0,2021-11-06,73.5,75.5,74.28,75.01,71744.811
1,2021-11-05,72.29,82.0,79.53,74.26,548959.016
2,2021-11-04,74.25,83.0,76.48,79.6,1008682.876
3,2021-11-03,67.51,78.0,67.9,76.48,1092217.093
4,2021-11-02,64.26,70.4,65.16,67.89,559622.449
5,2021-11-01,62.31,66.88,64.69,65.09,315883.196
6,2021-10-31,60.25,64.68,62.51,64.66,324908.071
7,2021-10-30,61.1,65.02,64.9,62.51,250734.443
8,2021-10-29,63.55,66.51,64.47,64.81,318891.012
9,2021-10-28,61.96,65.12,62.03,64.47,431694.165
10,2021-10-27,59.7,69.98,68.91,62.02,677507.037
11,2021-10-26,67.81,75.0,69.79,68.91,617244.764
12,2021-10-25,64.6,69.87,64.75,69.8,362275.007
13,2021-10-24,62.03,67.58,65.4,64.71,289542.534
14,2021-10-23,64.57,69.4,65.59,65.41,350477.154
15,2021-10-22,61.43,69.0,61.5,65.59,777943.738
16,2021-10-21,58.7,64.37,59.63,61.5,367558.081
17,2021-10-20,56.72,61.59,56.89,59.63,312144.727
18,2021-10-19,55.05,58.2,55.52,56.84,222300.092
19,2021-10-18,54.16,56.48,56.15,55.53,160189.945
20,2021-10-17,53.36,58.54,57.61,56.12,199436.633
21,2021-10-16,55.79,62.14,56.39,57.57,329132.744
22,2021-10-15,54.51,57.14,56.25,56.37,319025.926
23,2021-10-14,54.93,58.49,55.08,56.28,354768.957
24,2021-10-13,53.45,57.18,54.3,55.07,397331.242
25,2021-10-12,51.2,55.25,55.24,54.3,307230.16
26,2021-10-11,53.74,60.33,56.87,55.34,333445.966
27,2021-10-10,56.35,60.88,60.6,56.88,218793.966
28,2021-10-09,59.79,62.13,60.45,60.62,174754.229
29,2021-10-08,59.95,64.98,61.57,60.45,430711.398
30,2021-10-07,57.34,62.25,60.11,61.43,413807.108
31,2021-10-06,58.26,65.83,64.7,60.11,420822.306
32,2021-10-05,62.53,66.71,65.35,64.69,387209.272
33,2021-10-04,64.0,69.55,69.53,65.37,372626.671
34,2021-10-03,67.74,72.74,69.21,69.54,381978.007
35,2021-10-02,65.89,82.0,67.74,69.14,644927.008
36,2021-10-01,63.29,70.06,66.74,67.79,521295.848
37,2021-09-30,64.68,68.05,68.05,66.73,385245.057
