,Date,Open,High,Low,Close,Volume
0,2021-12-20,101.0,116.23,107.57,113.55,1725168.985
1,2021-12-19,106.82,116.68,115.97,107.6,882763.752
2,2021-12-18,105.56,117.41,110.75,115.94,1445872.197
3,2021-12-17,98.2,116.41,98.32,110.79,2101761.065
4,2021-12-16,98.0,110.0,101.3,98.29,1981310.676
5,2021-12-15,86.1,105.78,87.26,101.3,2873599.662
6,2021-12-14,76.5,87.47,79.11,87.26,1383955.274
7,2021-12-13,75.63,90.15,88.07,79.14,1579933.309
8,2021-12-12,83.02,88.99,86.57,88.08,620015.372
9,2021-12-11,78.85,87.32,80.65,86.55,941693.376
10,2021-12-10,80.37,91.73,85.46,80.78,1199534.823
11,2021-12-09,83.3,94.65,93.35,85.47,1385835.149
12,2021-12-08,86.5,93.35,89.6,93.31,914716.757
13,2021-12-07,88.02,96.78,93.04,89.65,1260980.186
14,2021-12-06,77.0,95.0,86.46,93.1,2134201.923
15,2021-12-05,82.52,95.58,93.07,86.52,1663392.17
16,2021-12-04,81.0,108.87,108.41,93.08,2343080.731
17,2021-12-03,100.0,113.25,107.89,108.51,1635274.709
18,2021-12-02,107.01,119.89,119.76,107.83,1208905.173
19,2021-12-01,117.36,127.59,121.28,119.76,1380124.091
20,2021-11-30,114.16,124.98,120.8,121.22,1491668.89
21,2021-11-29,109.34,120.99,110.62,120.84,946790.069
22,2021-11-28,101.0,113.99,113.68,110.63,1022263.056
23,2021-11-27,103.28,119.0,104.38,113.75,1000568.396
24,2021-11-26,101.33,119.95,119.33,104.48,1551397.146
25,2021-11-25,114.38,130.26,115.34,119.3,1550197.863
26,2021-11-24,112.55,124.84,123.86,115.26,1699955.998
27,2021-11-23,122.02,136.83,135.21,123.86,1614996.986
28,2021-11-22,126.25,145.25,128.76,135.29,2420024.0
29,2021-11-21,123.16,147.5,126.08,128.67,2456718.273
30,2021-11-20,112.3,130.55,112.3,126.03,1814158.224
31,2021-11-19,96.01,112.65,100.68,112.31,1190073.624
32,2021-11-18,92.01,111.0,108.0,100.7,1684294.306
33,2021-11-17,91.62,110.49,97.69,107.97,1721823.578
34,2021-11-16,83.85,102.71,93.92,97.72,1614274.365
35,2021-11-15,92.0,101.94,95.78,93.9,1060862.595
36,2021-11-14,91.75,100.0,97.74,95.85,840606.791
37,2021-11-13,84.87,98.65,84.98,97.78,842770.453
38,2021-11-12,81.26,90.5,88.59,84.97,653206.296
39,2021-11-11,84.45,89.97,85.92,88.61,617309.53
40,2021-11-10,78.0,94.5,88.93,85.8,1013256.467
41,2021-11-09,87.14,94.85,91.42,88.9,721657.473
42,2021-11-08,83.5,99.0,87.89,91.52,1383174.139
43,2021-11-07,78.01,90.0,78.6,87.91,1114306.606
44,2021-11-06,72.38,78.6,74.28,78.6,421532.459
45,2021-11-05,72.29,82.0,79.53,74.26,548959.016
46,2021-11-04,74.25,83.0,76.48,79.6,1008682.876
47,2021-11-03,67.51,78.0,67.9,76.48,1092217.093
48,2021-11-02,64.26,70.4,65.16,67.89,559622.449
49,2021-11-01,62.31,66.88,64.69,65.09,315883.196
50,2021-10-31,60.25,64.68,62.51,64.66,324908.071
51,2021-10-30,61.1,65.02,64.9,62.51,250734.443
52,2021-10-29,63.55,66.51,64.47,64.81,318891.012
53,2021-10-28,61.96,65.12,62.03,64.47,431694.165
54,2021-10-27,59.7,69.98,68.91,62.02,677507.037
55,2021-10-26,67.81,75.0,69.79,68.91,617244.764
56,2021-10-25,64.6,69.87,64.75,69.8,362275.007
57,2021-10-24,62.03,67.58,65.4,64.71,289542.534
58,2021-10-23,64.57,69.4,65.59,65.41,350477.154
59,2021-10-22,61.43,69.0,61.5,65.59,777943.738
60,2021-10-21,58.7,64.37,59.63,61.5,367558.081
61,2021-10-20,56.72,61.59,56.89,59.63,312144.727
62,2021-10-19,55.05,58.2,55.52,56.84,222300.092
63,2021-10-18,54.16,56.48,56.15,55.53,160189.945
64,2021-10-17,53.36,58.54,57.61,56.12,199436.633
65,2021-10-16,55.79,62.14,56.39,57.57,329132.744
66,2021-10-15,54.51,57.14,56.25,56.37,319025.926
67,2021-10-14,54.93,58.49,55.08,56.28,354768.957
68,2021-10-13,53.45,57.18,54.3,55.07,397331.242
69,2021-10-12,51.2,55.25,55.24,54.3,307230.16
70,2021-10-11,53.74,60.33,56.87,55.34,333445.966
71,2021-10-10,56.35,60.88,60.6,56.88,218793.966
72,2021-10-09,59.79,62.13,60.45,60.62,174754.229
73,2021-10-08,59.95,64.98,61.57,60.45,430711.398
74,2021-10-07,57.34,62.25,60.11,61.43,413807.108
75,2021-10-06,58.26,65.83,64.7,60.11,420822.306
76,2021-10-05,62.53,66.71,65.35,64.69,387209.272
77,2021-10-04,64.0,69.55,69.53,65.37,372626.671
78,2021-10-03,67.74,72.74,69.21,69.54,381978.007
79,2021-10-02,65.89,82.0,67.74,69.14,644927.008
80,2021-10-01,63.29,70.06,66.74,67.79,521295.848
81,2021-09-30,64.68,68.05,68.05,66.73,385245.057
