,Date,Open,High,Low,Close,Volume
0,2021-11-06,148.63,152.87,151.9,150.6,36063.429
1,2021-11-05,141.78,154.52,144.98,151.92,236707.606
2,2021-11-04,141.62,164.02,141.62,145.0,470184.673
3,2021-11-03,134.63,142.82,140.49,141.5,130248.99
4,2021-11-02,135.68,144.0,136.97,140.49,202467.344
5,2021-11-01,131.33,139.31,138.25,137.04,189573.525
6,2021-10-31,132.44,150.31,146.82,138.22,289384.498
7,2021-10-30,139.71,157.07,143.15,146.96,466121.367
8,2021-10-29,125.73,164.22,126.6,143.15,765314.844
9,2021-10-28,121.3,129.65,121.61,126.56,168571.39
10,2021-10-27,120.23,132.45,128.95,121.49,198052.948
11,2021-10-26,126.56,138.17,131.79,128.89,180578.34
12,2021-10-25,121.89,141.53,122.43,131.82,247978.384
13,2021-10-24,119.66,127.31,125.59,122.4,311308.659
14,2021-10-23,123.26,133.72,130.2,125.57,171361.536
15,2021-10-22,117.7,133.42,119.7,130.19,477369.79
16,2021-10-21,115.44,134.06,127.84,119.7,222956.783
17,2021-10-20,120.52,130.12,122.2,127.75,109336.914
18,2021-10-19,120.13,123.52,122.37,122.26,62010.085
19,2021-10-18,119.05,125.36,124.66,122.35,94216.153
20,2021-10-17,121.55,129.53,125.05,124.65,112792.64
21,2021-10-16,121.62,129.97,125.64,125.07,93619.371
22,2021-10-15,124.41,145.77,136.32,125.62,368760.818
23,2021-10-14,120.44,143.93,121.73,136.47,396697.459
24,2021-10-13,117.41,124.9,122.04,121.7,136497.308
25,2021-10-12,113.82,126.94,116.55,122.12,341403.832
26,2021-10-11,111.91,122.01,116.14,116.51,194832.054
27,2021-10-10,114.98,126.63,126.58,116.1,140024.065
28,2021-10-09,123.71,132.58,126.39,126.62,225617.422
29,2021-10-08,119.66,139.0,124.49,126.39,301226.32
30,2021-10-07,120.0,131.24,126.31,124.26,252237.159
31,2021-10-06,119.97,140.92,128.74,126.32,614700.195
32,2021-10-05,127.35,145.78,134.67,128.69,490262.555
33,2021-10-04,131.69,155.4,137.58,134.92,838935.142
34,2021-10-03,103.41,139.25,107.96,137.71,515879.141
35,2021-10-02,106.07,120.8,110.4,107.96,578372.775
36,2021-10-01,74.08,118.23,74.69,110.5,703795.612
37,2021-09-30,68.76,78.93,69.3,74.63,180927.448
38,2021-09-29,67.77,75.27,69.09,69.24,194181.603
39,2021-09-28,63.01,72.81,63.78,69.08,141019.675
40,2021-09-27,62.81,67.2,63.65,63.84,74346.936
41,2021-09-26,58.24,65.49,65.25,63.76,42502.154
42,2021-09-25,64.48,69.07,68.29,65.26,36357.303
43,2021-09-24,63.41,71.29,67.52,68.23,186405.046
44,2021-09-23,61.06,69.23,61.54,67.37,139810.058
45,2021-09-22,49.4,63.95,50.66,61.8,260257.035
46,2021-09-21,48.12,56.9,55.14,50.65,74028.538
47,2021-09-20,52.16,63.8,63.75,55.12,97607.195
48,2021-09-19,63.01,66.51,66.17,63.77,31020.32
49,2021-09-18,64.75,67.74,65.91,66.16,31033.991
50,2021-09-17,64.41,68.16,67.27,65.9,49437.963
51,2021-09-16,65.68,71.02,68.7,67.29,66557.389
52,2021-09-15,65.46,69.79,66.75,68.7,57676.841
53,2021-09-14,64.14,67.63,64.82,66.75,136223.515
54,2021-09-13,61.37,71.49,69.87,64.94,99697.649
55,2021-09-12,66.1,74.99,68.72,69.81,162010.177
56,2021-09-11,64.87,72.09,65.51,68.86,82501.244
57,2021-09-10,62.56,71.28,68.97,65.45,76795.131
58,2021-09-09,66.74,72.26,68.08,69.04,99098.598
59,2021-09-08,60.11,70.92,64.43,68.07,317873.617
60,2021-09-07,55.0,80.52,79.19,64.34,281343.472
61,2021-09-06,73.0,85.22,82.25,79.2,186064.879
62,2021-09-05,79.93,88.96,82.45,82.25,207099.901
63,2021-09-04,72.44,94.84,73.99,82.52,480768.293
64,2021-09-03,71.52,76.53,72.77,73.9,116673.466
65,2021-09-02,71.5,74.8,73.69,72.64,65259.301
66,2021-09-01,69.5,74.66,72.12,73.97,79557.193
67,2021-08-31,71.25,75.83,72.75,71.99,79415.569
68,2021-08-30,72.42,78.46,78.39,72.9,80491.038
69,2021-08-29,71.43,79.1,74.84,78.48,61316.277
70,2021-08-28,72.49,79.89,73.74,74.89,109716.717
71,2021-08-27,68.13,73.74,69.67,73.64,95043.178
72,2021-08-26,67.1,73.93,72.55,69.61,139646.987
73,2021-08-25,68.53,75.28,70.05,72.56,168216.62
74,2021-08-24,67.19,77.56,77.41,69.87,179980.96
75,2021-08-23,75.03,78.95,77.09,77.44,85283.135
76,2021-08-22,73.08,79.55,76.93,77.24,107162.124
77,2021-08-21,73.93,83.54,73.93,76.9,232548.588
78,2021-08-20,71.4,74.43,71.81,73.9,104495.565
79,2021-08-19,67.26,73.09,69.52,71.73,131893.132
80,2021-08-18,65.66,74.89,71.84,69.31,215923.228
81,2021-08-17,65.22,82.67,66.33,71.91,350630.393
82,2021-08-16,65.78,71.09,67.99,66.26,91908.444
83,2021-08-15,63.25,68.0,67.78,68.0,69932.796
84,2021-08-14,65.17,70.83,70.75,67.83,94201.051
85,2021-08-13,65.78,73.95,66.08,70.61,304735.38
86,2021-08-12,64.55,73.73,73.73,66.08,50393.748
