,Date,Open,High,Low,Close,Volume
0,2021-12-20,89.58,96.09,95.26,92.85,51331.346
1,2021-12-19,94.46,98.61,96.21,95.29,30991.858
2,2021-12-18,92.71,97.49,94.53,96.3,34943.593
3,2021-12-17,91.55,99.25,97.86,94.55,49657.06
4,2021-12-16,97.33,103.97,101.66,97.98,46854.083
5,2021-12-15,92.0,103.28,96.13,101.6,77087.216
6,2021-12-14,92.06,97.47,93.01,96.25,64956.217
7,2021-12-13,90.88,104.93,104.15,93.01,79247.228
8,2021-12-12,100.52,105.94,103.33,104.14,27740.656
9,2021-12-11,95.48,103.93,97.38,103.2,44952.32
10,2021-12-10,97.15,106.73,103.71,97.58,60434.256
11,2021-12-09,102.82,115.36,113.46,103.8,83832.07
12,2021-12-08,105.02,121.97,105.72,113.46,139239.082
13,2021-12-07,104.34,110.49,105.97,105.79,103101.965
14,2021-12-06,95.17,107.79,107.59,105.97,185045.065
15,2021-12-05,104.47,121.56,118.13,107.55,142143.776
16,2021-12-04,100.94,128.08,127.48,118.0,209429.977
17,2021-12-03,125.0,142.75,135.38,127.46,158359.199
18,2021-12-02,131.48,136.12,134.93,135.26,54723.849
19,2021-12-01,133.39,143.28,137.16,134.87,87683.898
20,2021-11-30,131.73,139.48,134.63,137.05,82976.598
21,2021-11-29,132.84,137.8,133.23,134.61,77317.052
22,2021-11-28,123.21,134.92,127.62,133.15,82014.713
23,2021-11-27,124.57,129.8,125.61,127.84,71672.018
24,2021-11-26,122.51,140.33,138.89,125.58,309837.621
25,2021-11-25,136.73,144.79,140.23,138.79,132154.037
26,2021-11-24,132.65,145.23,136.48,140.24,320390.369
27,2021-11-23,126.71,138.95,128.17,136.49,101964.721
28,2021-11-22,126.03,132.81,130.21,128.12,90112.062
29,2021-11-21,128.34,142.03,132.71,130.12,130000.597
30,2021-11-20,126.29,133.28,131.79,132.67,92141.492
31,2021-11-19,122.29,133.64,123.84,131.81,113441.315
32,2021-11-18,120.36,136.99,135.35,123.93,146226.338
33,2021-11-17,130.44,139.57,133.37,135.37,106272.693
34,2021-11-16,121.89,142.58,142.48,133.51,173137.73
35,2021-11-15,141.11,146.49,142.42,142.49,54605.549
36,2021-11-14,140.05,146.13,142.87,142.38,53940.144
37,2021-11-13,142.01,147.72,143.48,142.86,54512.225
38,2021-11-12,138.62,148.53,146.23,143.39,85027.809
39,2021-11-11,139.37,149.29,142.07,146.3,78998.536
40,2021-11-10,133.31,153.8,150.16,142.1,160690.225
41,2021-11-09,147.06,154.61,153.45,150.11,105238.296
42,2021-11-08,150.61,160.82,160.39,153.38,324473.536
43,2021-11-07,154.04,164.47,157.35,160.45,150190.967
44,2021-11-06,148.63,165.93,151.9,157.33,306671.088
45,2021-11-05,141.78,154.52,144.98,151.92,236707.606
46,2021-11-04,141.62,164.02,141.62,145.0,470184.673
47,2021-11-03,134.63,142.82,140.49,141.5,130248.99
48,2021-11-02,135.68,144.0,136.97,140.49,202467.344
49,2021-11-01,131.33,139.31,138.25,137.04,189573.525
50,2021-10-31,132.44,150.31,146.82,138.22,289384.498
51,2021-10-30,139.71,157.07,143.15,146.96,466121.367
52,2021-10-29,125.73,164.22,126.6,143.15,765314.844
53,2021-10-28,121.3,129.65,121.61,126.56,168571.39
54,2021-10-27,120.23,132.45,128.95,121.49,198052.948
55,2021-10-26,126.56,138.17,131.79,128.89,180578.34
56,2021-10-25,121.89,141.53,122.43,131.82,247978.384
57,2021-10-24,119.66,127.31,125.59,122.4,311308.659
58,2021-10-23,123.26,133.72,130.2,125.57,171361.536
59,2021-10-22,117.7,133.42,119.7,130.19,477369.79
60,2021-10-21,115.44,134.06,127.84,119.7,222956.783
61,2021-10-20,120.52,130.12,122.2,127.75,109336.914
62,2021-10-19,120.13,123.52,122.37,122.26,62010.085
63,2021-10-18,119.05,125.36,124.66,122.35,94216.153
64,2021-10-17,121.55,129.53,125.05,124.65,112792.64
65,2021-10-16,121.62,129.97,125.64,125.07,93619.371
66,2021-10-15,124.41,145.77,136.32,125.62,368760.818
67,2021-10-14,120.44,143.93,121.73,136.47,396697.459
68,2021-10-13,117.41,124.9,122.04,121.7,136497.308
69,2021-10-12,113.82,126.94,116.55,122.12,341403.832
70,2021-10-11,111.91,122.01,116.14,116.51,194832.054
71,2021-10-10,114.98,126.63,126.58,116.1,140024.065
72,2021-10-09,123.71,132.58,126.39,126.62,225617.422
73,2021-10-08,119.66,139.0,124.49,126.39,301226.32
74,2021-10-07,120.0,131.24,126.31,124.26,252237.159
75,2021-10-06,119.97,140.92,128.74,126.32,614700.195
76,2021-10-05,127.35,145.78,134.67,128.69,490262.555
77,2021-10-04,131.69,155.4,137.58,134.92,838935.142
78,2021-10-03,103.41,139.25,107.96,137.71,515879.141
79,2021-10-02,106.07,120.8,110.4,107.96,578372.775
80,2021-10-01,74.08,118.23,74.69,110.5,703795.612
81,2021-09-30,68.76,78.93,69.3,74.63,180927.448
82,2021-09-29,67.77,75.27,69.09,69.24,194181.603
83,2021-09-28,63.01,72.81,63.78,69.08,141019.675
84,2021-09-27,62.81,67.2,63.65,63.84,74346.936
85,2021-09-26,58.24,65.49,65.25,63.76,42502.154
86,2021-09-25,64.48,69.07,68.29,65.26,36357.303
87,2021-09-24,63.41,71.29,67.52,68.23,186405.046
88,2021-09-23,61.06,69.23,61.54,67.37,139810.058
89,2021-09-22,49.4,63.95,50.66,61.8,260257.035
90,2021-09-21,48.12,56.9,55.14,50.65,74028.538
91,2021-09-20,52.16,63.8,63.75,55.12,97607.195
92,2021-09-19,63.01,66.51,66.17,63.77,31020.32
93,2021-09-18,64.75,67.74,65.91,66.16,31033.991
94,2021-09-17,64.41,68.16,67.27,65.9,49437.963
95,2021-09-16,65.68,71.02,68.7,67.29,66557.389
96,2021-09-15,65.46,69.79,66.75,68.7,57676.841
97,2021-09-14,64.14,67.63,64.82,66.75,136223.515
98,2021-09-13,61.37,71.49,69.87,64.94,99697.649
99,2021-09-12,66.1,74.99,68.72,69.81,162010.177
100,2021-09-11,64.87,72.09,65.51,68.86,82501.244
101,2021-09-10,62.56,71.28,68.97,65.45,76795.131
102,2021-09-09,66.74,72.26,68.08,69.04,99098.598
103,2021-09-08,60.11,70.92,64.43,68.07,317873.617
104,2021-09-07,55.0,80.52,79.19,64.34,281343.472
105,2021-09-06,73.0,85.22,82.25,79.2,186064.879
106,2021-09-05,79.93,88.96,82.45,82.25,207099.901
107,2021-09-04,72.44,94.84,73.99,82.52,480768.293
108,2021-09-03,71.52,76.53,72.77,73.9,116673.466
109,2021-09-02,71.5,74.8,73.69,72.64,65259.301
110,2021-09-01,69.5,74.66,72.12,73.97,79557.193
111,2021-08-31,71.25,75.83,72.75,71.99,79415.569
112,2021-08-30,72.42,78.46,78.39,72.9,80491.038
113,2021-08-29,71.43,79.1,74.84,78.48,61316.277
114,2021-08-28,72.49,79.89,73.74,74.89,109716.717
115,2021-08-27,68.13,73.74,69.67,73.64,95043.178
116,2021-08-26,67.1,73.93,72.55,69.61,139646.987
117,2021-08-25,68.53,75.28,70.05,72.56,168216.62
118,2021-08-24,67.19,77.56,77.41,69.87,179980.96
119,2021-08-23,75.03,78.95,77.09,77.44,85283.135
120,2021-08-22,73.08,79.55,76.93,77.24,107162.124
121,2021-08-21,73.93,83.54,73.93,76.9,232548.588
122,2021-08-20,71.4,74.43,71.81,73.9,104495.565
123,2021-08-19,67.26,73.09,69.52,71.73,131893.132
124,2021-08-18,65.66,74.89,71.84,69.31,215923.228
125,2021-08-17,65.22,82.67,66.33,71.91,350630.393
126,2021-08-16,65.78,71.09,67.99,66.26,91908.444
127,2021-08-15,63.25,68.0,67.78,68.0,69932.796
128,2021-08-14,65.17,70.83,70.75,67.83,94201.051
129,2021-08-13,65.78,73.95,66.08,70.61,304735.38
130,2021-08-12,64.55,73.73,73.73,66.08,50393.748
