,Date,Open,High,Low,Close,Volume
0,2021-11-06,30.25,31.06,31.04,30.34,24842.1
1,2021-11-05,30.69,34.97,34.02,31.06,276691.189
2,2021-11-04,33.83,44.87,39.28,34.06,1291300.506
3,2021-11-03,27.46,84.99,28.56,39.28,1146747.88
4,2021-11-02,25.32,28.86,25.86,28.54,62160.252
5,2021-11-01,24.94,26.44,25.64,25.86,39127.497
6,2021-10-31,24.59,26.16,25.7,25.64,53661.039
7,2021-10-30,25.23,27.2,27.07,25.68,56802.523
8,2021-10-29,25.89,29.98,26.3,27.06,78698.119
9,2021-10-28,24.77,27.28,25.07,26.29,72222.713
10,2021-10-27,25.08,30.26,29.19,25.11,100676.821
11,2021-10-26,29.06,33.8,29.69,29.16,320430.013
12,2021-10-25,26.73,29.91,26.95,29.7,127549.835
13,2021-10-24,26.51,28.69,28.3,26.92,133848.153
14,2021-10-23,25.77,30.37,26.19,28.32,207997.628
15,2021-10-22,25.01,26.56,25.57,26.16,61054.144
16,2021-10-21,25.48,28.12,27.48,25.52,105251.625
17,2021-10-20,26.7,28.53,28.2,27.48,116146.891
18,2021-10-19,26.27,28.27,26.56,28.14,90403.555
19,2021-10-18,26.53,30.65,27.43,26.58,217128.794
20,2021-10-17,26.14,29.62,29.37,27.43,123819.436
21,2021-10-16,29.08,31.12,30.15,29.37,94089.604
22,2021-10-15,30.08,36.49,35.0,30.09,323893.999
23,2021-10-14,31.98,37.0,36.99,35.7,163937.516
