,Date,Open,High,Low,Close,Volume
0,2021-12-20,14.05,15.22,14.88,14.61,28330.767
1,2021-12-19,14.86,15.8,15.45,14.88,42993.089
2,2021-12-18,15.28,17.66,15.64,15.44,221801.914
3,2021-12-17,13.73,16.33,14.04,15.68,99831.958
4,2021-12-16,13.98,14.9,14.57,14.04,31103.275
5,2021-12-15,13.56,14.76,14.19,14.57,35411.296
6,2021-12-14,13.56,14.38,13.93,14.23,53820.966
7,2021-12-13,13.49,15.48,15.39,13.93,74360.718
8,2021-12-12,15.24,16.43,15.87,15.36,32841.62
9,2021-12-11,14.66,16.8,14.88,15.95,141602.925
10,2021-12-10,13.87,18.42,13.89,14.96,203687.3
11,2021-12-09,13.83,15.98,15.4,13.9,82518.525
12,2021-12-08,14.1,15.9,15.1,15.39,72461.157
13,2021-12-07,14.73,15.89,15.44,15.09,79538.704
14,2021-12-06,13.63,15.65,15.34,15.53,131127.165
15,2021-12-05,14.85,16.7,16.19,15.35,94109.107
16,2021-12-04,14.5,18.58,18.53,16.17,202293.115
17,2021-12-03,16.95,21.79,21.45,18.58,238447.489
18,2021-12-02,21.17,27.22,27.0,21.45,511934.635
19,2021-12-01,26.2,28.6,26.37,27.0,106228.439
20,2021-11-30,24.76,27.27,26.4,26.36,151136.763
21,2021-11-29,24.97,26.94,25.97,26.39,171050.435
22,2021-11-28,22.8,26.14,25.59,25.93,122154.732
23,2021-11-27,24.67,26.8,24.86,25.6,109771.083
24,2021-11-26,24.68,30.06,28.79,24.85,131573.872
25,2021-11-25,25.79,30.37,25.94,28.78,170363.004
26,2021-11-24,25.61,28.05,26.91,25.91,112179.622
27,2021-11-23,24.82,27.62,25.54,26.9,156716.775
28,2021-11-22,25.22,26.93,26.93,25.54,94692.536
29,2021-11-21,26.61,28.95,28.24,26.93,83291.88
30,2021-11-20,26.44,29.58,27.64,28.33,124765.531
31,2021-11-19,25.1,28.27,25.92,27.68,87209.855
32,2021-11-18,25.53,30.39,29.47,25.93,109780.531
33,2021-11-17,27.11,30.41,28.12,29.45,139624.787
34,2021-11-16,27.0,32.08,32.08,28.14,92406.232
35,2021-11-15,31.91,34.66,33.28,32.09,90235.48
36,2021-11-14,31.82,36.38,33.51,33.27,122730.714
37,2021-11-13,30.55,34.96,30.99,33.51,119910.219
38,2021-11-12,30.22,32.6,32.12,30.86,117625.286
39,2021-11-11,31.08,33.8,31.9,32.22,132956.537
40,2021-11-10,30.57,36.05,34.55,31.91,174268.635
41,2021-11-09,34.31,39.68,37.95,34.57,221949.849
42,2021-11-08,32.24,41.01,32.43,37.95,666463.698
43,2021-11-07,31.76,34.37,32.47,32.44,166289.169
44,2021-11-06,29.38,34.86,31.04,32.48,297875.163
45,2021-11-05,30.69,34.97,34.02,31.06,276691.189
46,2021-11-04,33.83,44.87,39.28,34.06,1291300.506
47,2021-11-03,27.46,84.99,28.56,39.28,1146747.88
48,2021-11-02,25.32,28.86,25.86,28.54,62160.252
49,2021-11-01,24.94,26.44,25.64,25.86,39127.497
50,2021-10-31,24.59,26.16,25.7,25.64,53661.039
51,2021-10-30,25.23,27.2,27.07,25.68,56802.523
52,2021-10-29,25.89,29.98,26.3,27.06,78698.119
53,2021-10-28,24.77,27.28,25.07,26.29,72222.713
54,2021-10-27,25.08,30.26,29.19,25.11,100676.821
55,2021-10-26,29.06,33.8,29.69,29.16,320430.013
56,2021-10-25,26.73,29.91,26.95,29.7,127549.835
57,2021-10-24,26.51,28.69,28.3,26.92,133848.153
58,2021-10-23,25.77,30.37,26.19,28.32,207997.628
59,2021-10-22,25.01,26.56,25.57,26.16,61054.144
60,2021-10-21,25.48,28.12,27.48,25.52,105251.625
61,2021-10-20,26.7,28.53,28.2,27.48,116146.891
62,2021-10-19,26.27,28.27,26.56,28.14,90403.555
63,2021-10-18,26.53,30.65,27.43,26.58,217128.794
64,2021-10-17,26.14,29.62,29.37,27.43,123819.436
65,2021-10-16,29.08,31.12,30.15,29.37,94089.604
66,2021-10-15,30.08,36.49,35.0,30.09,323893.999
67,2021-10-14,31.98,37.0,36.99,35.7,163937.516
