,Date,Open,High,Low,Close,Volume
0,2021-11-06,9.4674,9.5894,9.5457,9.5795,32065.69
1,2021-11-05,9.4788,10.2114,9.8335,9.5494,318617.3
2,2021-11-04,9.5494,10.532,10.3341,9.8369,472832.3
3,2021-11-03,9.3595,10.557,9.5733,10.3325,616181.94
4,2021-11-02,9.5158,10.0392,9.6591,9.5746,478646.67
5,2021-11-01,9.017,10.3433,9.8521,9.6428,631969.49
6,2021-10-31,8.6053,9.9405,8.6355,9.8582,1480009.75
7,2021-10-30,8.2673,8.674,8.5205,8.6282,377194.6
8,2021-10-29,8.0463,8.6449,8.1904,8.5097,786898.88
9,2021-10-28,8.1746,8.8782,8.4639,8.192,964532.68
10,2021-10-27,8.4297,9.9253,9.5858,8.4458,589663.86
11,2021-10-26,8.9575,9.9759,9.0221,9.5824,670638.35
12,2021-10-25,8.6466,9.0515,8.7055,9.009,210253.22
13,2021-10-24,8.5029,9.2656,9.0672,8.7009,236266.81
14,2021-10-23,8.7149,9.1431,8.7992,9.0754,178894.36
15,2021-10-22,8.64,9.2391,8.6698,8.7968,338725.13
16,2021-10-21,8.4622,9.1195,8.8175,8.6684,349612.59
17,2021-10-20,8.3725,9.0891,8.3968,8.8124,364594.42
18,2021-10-19,8.2705,8.6153,8.395,8.3959,170562.72
19,2021-10-18,8.1917,8.6955,8.3839,8.3994,361036.11
20,2021-10-17,8.0428,8.8916,8.6295,8.3918,329630.37
21,2021-10-16,8.168,9.139,8.3743,8.6205,637677.25
22,2021-10-15,7.7501,8.6109,8.1094,8.3827,509177.8
23,2021-10-14,7.6589,8.2799,7.7006,8.1076,282181.55
24,2021-10-13,7.3509,7.7421,7.5307,7.7019,262176.65
25,2021-10-12,7.0964,7.6761,7.6761,7.5313,295868.44
26,2021-10-11,7.4347,8.0397,7.7483,7.6704,256081.84
27,2021-10-10,7.7138,8.3805,8.35,7.75,295119.18
28,2021-10-09,8.157,8.4842,8.2722,8.3566,295863.3
29,2021-10-08,8.2009,9.061,8.4152,8.2687,379185.81
30,2021-10-07,8.0335,8.6725,8.342,8.4168,399178.74
31,2021-10-06,7.8767,8.56,8.4678,8.3425,641780.55
32,2021-10-05,8.1046,8.7589,8.1964,8.4555,701389.58
33,2021-10-04,7.8505,8.4642,8.437,8.1889,320640.27
34,2021-10-03,8.0395,8.7254,8.2078,8.437,407692.58
35,2021-10-02,7.923,8.5984,8.0702,8.2001,329317.38
36,2021-10-01,7.0855,8.088,7.175,8.0693,366871.04
37,2021-09-30,6.9086,7.2902,6.954,7.1697,228475.96
38,2021-09-29,6.738,7.2711,6.7668,6.9477,204978.88
39,2021-09-28,6.736,7.2447,7.039,6.7627,227775.05
40,2021-09-27,7.0304,7.7854,7.3882,7.0418,289419.21
41,2021-09-26,6.8341,7.5662,7.4952,7.3893,313259.94
42,2021-09-25,7.1,7.5545,7.392,7.4981,266774.17
43,2021-09-24,7.029,8.3208,8.0432,7.393,484542.31
44,2021-09-23,7.5425,8.0628,7.8006,8.0395,321091.36
45,2021-09-22,6.811,7.8414,6.9671,7.8069,475490.37
46,2021-09-21,6.7459,7.8691,7.5861,6.9725,475516.96
47,2021-09-20,7.3632,8.9341,8.9201,7.5841,744866.41
48,2021-09-19,8.7903,9.4098,9.3107,8.9169,258103.04
49,2021-09-18,8.9,9.5612,9.1072,9.3112,268526.99
50,2021-09-17,8.9334,9.9416,9.7805,9.1076,458369.95
51,2021-09-16,9.42,10.2166,9.7086,9.7815,559491.66
52,2021-09-15,9.2745,10.1392,9.2745,9.7129,706765.92
53,2021-09-14,8.6753,9.3999,8.8356,9.2831,430281.59
54,2021-09-13,8.0452,9.3432,9.2987,8.8366,445996.45
55,2021-09-12,8.3121,9.4784,8.5328,9.3011,448172.59
56,2021-09-11,8.2753,9.0812,8.4467,8.5532,277330.18
57,2021-09-10,8.2,9.4803,8.9927,8.4467,582122.77
58,2021-09-09,8.1078,9.3624,8.326,8.987,725577.3
59,2021-09-08,7.5927,8.6666,8.4788,8.3285,780379.11
