,Date,Open,High,Low,Close,Volume
0,2021-12-20,1.046,1.16,1.134,1.109,3983359.06
1,2021-12-19,1.118,1.202,1.176,1.134,2798801.97
2,2021-12-18,1.107,1.212,1.151,1.177,4305246.92
3,2021-12-17,1.059,1.196,1.131,1.151,6014949.69
4,2021-12-16,1.114,1.24,1.119,1.13,7761671.55
5,2021-12-15,0.986,1.143,1.067,1.118,6295672.26
6,2021-12-14,0.998,1.08,1.029,1.068,4731447.28
7,2021-12-13,1.015,1.205,1.202,1.03,5398371.09
8,2021-12-12,1.098,1.225,1.15,1.2,5248739.95
9,2021-12-11,1.032,1.15,1.066,1.149,4711998.11
10,2021-12-10,1.064,1.197,1.14,1.065,5032231.61
11,2021-12-09,1.134,1.316,1.304,1.139,6061998.99
12,2021-12-08,1.219,1.358,1.326,1.303,7585893.2
13,2021-12-07,1.293,1.41,1.363,1.325,11665959.71
14,2021-12-06,1.113,1.381,1.167,1.366,28634105.3
15,2021-12-05,1.048,1.237,1.126,1.167,22068379.39
16,2021-12-04,0.913,1.285,1.284,1.129,23283633.77
17,2021-12-03,1.241,1.431,1.43,1.284,8103753.59
18,2021-12-02,1.379,1.521,1.492,1.427,7236374.61
19,2021-12-01,1.447,1.643,1.458,1.492,15430604.18
20,2021-11-30,1.442,1.621,1.618,1.457,8925603.71
21,2021-11-29,1.536,1.715,1.659,1.618,9075033.02
22,2021-11-28,1.505,1.939,1.766,1.659,39180034.58
23,2021-11-27,1.336,1.827,1.337,1.766,46718773.59
24,2021-11-26,1.319,1.876,1.421,1.337,77749256.32
25,2021-11-25,1.115,1.45,1.13,1.42,46229701.66
26,2021-11-24,1.024,1.141,1.065,1.128,7290258.41
27,2021-11-23,1.001,1.069,1.039,1.066,3576410.82
28,2021-11-22,1.013,1.081,1.073,1.039,5613882.19
29,2021-11-21,1.056,1.118,1.111,1.074,4092735.93
30,2021-11-20,1.062,1.16,1.126,1.111,8244473.43
31,2021-11-19,0.965,1.145,0.978,1.126,12967816.99
32,2021-11-18,0.953,1.082,1.065,0.979,9171137.22
33,2021-11-17,1.047,1.139,1.062,1.067,7911956.76
34,2021-11-16,0.969,1.151,1.143,1.062,14801795.2
35,2021-11-15,1.129,1.234,1.149,1.144,12685997.88
36,2021-11-14,1.119,1.183,1.143,1.149,5523262.93
37,2021-11-13,1.132,1.232,1.168,1.143,11317260.57
38,2021-11-12,1.081,1.232,1.118,1.168,19083993.02
39,2021-11-11,1.058,1.163,1.082,1.118,7911168.6
40,2021-11-10,1.016,1.186,1.17,1.084,20970968.71
41,2021-11-09,1.161,1.398,1.282,1.169,55835116.9
42,2021-11-08,0.966,1.299,1.0,1.282,56871779.55
43,2021-11-07,0.982,1.032,1.011,0.998,4890273.83
44,2021-11-06,0.954,1.019,0.97,1.011,11155394.43
45,2021-11-05,0.951,1.037,0.976,0.969,10670915.36
46,2021-11-04,0.929,1.034,0.968,0.976,14119606.93
47,2021-11-03,0.937,1.042,1.034,0.968,14030510.73
48,2021-11-02,1.009,1.127,1.023,1.033,18510613.18
49,2021-11-01,0.959,1.099,0.994,1.023,24572287.49
50,2021-10-31,0.891,1.45,1.244,0.994,66713655.21
51,2021-10-30,0.786,1.55,0.854,1.244,112826210.95
52,2021-10-29,0.692,0.923,0.695,0.854,38036760.6
53,2021-10-28,0.632,0.704,0.64,0.693,5404348.15
54,2021-10-27,0.637,0.731,0.713,0.638,6242640.08
55,2021-10-26,0.7,0.742,0.704,0.713,5083444.18
56,2021-10-25,0.684,0.704,0.688,0.702,2851358.5
57,2021-10-24,0.677,0.719,0.711,0.689,2386261.12
58,2021-10-23,0.691,0.717,0.698,0.713,1535293.47
59,2021-10-22,0.689,0.716,0.69,0.698,1774188.54
60,2021-10-21,0.687,0.729,0.712,0.691,3947388.46
61,2021-10-20,0.672,0.713,0.68,0.711,2989162.73
62,2021-10-19,0.672,0.699,0.681,0.681,2286435.8
63,2021-10-18,0.671,0.696,0.692,0.681,2482061.03
64,2021-10-17,0.673,0.719,0.718,0.691,2001607.78
65,2021-10-16,0.69,0.743,0.693,0.717,4182660.22
66,2021-10-15,0.67,0.709,0.703,0.692,4385580.86
67,2021-10-14,0.694,0.725,0.707,0.703,2106005.47
68,2021-10-13,0.683,0.71,0.695,0.707,2092576.07
69,2021-10-12,0.664,0.703,0.702,0.696,2295207.57
70,2021-10-11,0.689,0.738,0.718,0.703,2894170.68
71,2021-10-10,0.711,0.764,0.763,0.719,1547308.78
72,2021-10-09,0.734,0.772,0.748,0.762,1830211.21
73,2021-10-08,0.733,0.783,0.733,0.749,3325176.49
74,2021-10-07,0.713,0.739,0.735,0.733,2515431.6
75,2021-10-06,0.693,0.747,0.742,0.735,3217164.49
76,2021-10-05,0.701,0.744,0.708,0.742,2550207.36
77,2021-10-04,0.68,0.731,0.731,0.707,3314834.48
78,2021-10-03,0.693,0.739,0.709,0.73,1969171.95
79,2021-10-02,0.669,0.731,0.681,0.707,3091523.78
80,2021-10-01,0.621,0.682,0.633,0.681,2666693.25
81,2021-09-30,0.591,0.643,0.594,0.632,3342920.25
82,2021-09-29,0.578,0.608,0.581,0.595,1969455.51
83,2021-09-28,0.579,0.617,0.608,0.581,2589721.6
84,2021-09-27,0.606,0.654,0.639,0.607,1542393.61
85,2021-09-26,0.596,0.657,0.643,0.639,1877104.47
86,2021-09-25,0.629,0.66,0.654,0.644,1529746.5
87,2021-09-24,0.613,0.706,0.702,0.654,2792726.55
88,2021-09-23,0.674,0.719,0.685,0.704,2398324.3
89,2021-09-22,0.595,0.687,0.607,0.684,2555804.52
90,2021-09-21,0.598,0.675,0.652,0.607,3639776.44
91,2021-09-20,0.631,0.741,0.739,0.651,5270959.07
92,2021-09-19,0.725,0.756,0.755,0.739,1276956.65
93,2021-09-18,0.741,0.774,0.751,0.755,1737749.34
94,2021-09-17,0.739,0.781,0.774,0.752,2183450.5
