,Date,Open,High,Low,Close,Volume
0,2021-12-20,3.05,3.53,3.52,3.2,2142032.52
1,2021-12-19,3.51,3.82,3.67,3.53,1172228.04
2,2021-12-18,3.52,3.99,3.58,3.66,1768334.16
3,2021-12-17,3.55,3.95,3.91,3.59,1718706.58
4,2021-12-16,3.82,4.18,4.11,3.91,1700390.6
5,2021-12-15,3.73,4.27,4.14,4.1,2198893.76
6,2021-12-14,3.79,4.62,4.39,4.14,2570668.39
7,2021-12-13,4.27,5.3,5.27,4.41,2638477.57
8,2021-12-12,5.12,5.6,5.56,5.29,1168575.66
9,2021-12-11,5.11,5.97,5.14,5.54,1846643.28
10,2021-12-10,5.11,6.75,6.08,5.12,4185787.84
11,2021-12-09,5.55,8.17,5.6,6.08,10020142.27
12,2021-12-08,5.58,6.43,6.21,5.62,2159665.39
13,2021-12-07,6.05,7.25,6.55,6.23,3056763.92
14,2021-12-06,6.0,7.03,6.65,6.57,3353084.87
15,2021-12-05,6.33,8.38,7.14,6.64,4462576.96
16,2021-12-04,5.65,8.77,7.85,7.12,9091411.69
17,2021-12-03,6.69,10.15,9.18,7.85,10901681.82
18,2021-12-02,8.8,23.8,13.69,9.16,21910982.51
19,2021-12-01,10.25,22.0,11.95,13.69,2010714.95
