,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.2139,0.2326,0.2325,0.2211,4355584.3
1,2021-12-19,0.2322,0.244,0.2386,0.2327,7337089.1
2,2021-12-18,0.2242,0.2448,0.2305,0.2387,6017667.2
3,2021-12-17,0.2199,0.2402,0.2325,0.23,4207893.4
4,2021-12-16,0.232,0.2497,0.2377,0.2324,7257166.9
5,2021-12-15,0.2156,0.2418,0.234,0.2379,6779449.1
6,2021-12-14,0.2227,0.2458,0.2256,0.234,12044862.8
7,2021-12-13,0.221,0.2624,0.2615,0.2255,8478724.5
8,2021-12-12,0.2577,0.2732,0.2728,0.261,6087433.9
9,2021-12-11,0.2683,0.3,0.2858,0.2728,26178573.3
10,2021-12-10,0.2623,0.3544,0.291,0.2862,29314327.6
11,2021-12-09,0.288,0.3299,0.3299,0.2899,8987275.0
