,Date,Open,High,Low,Close,Volume
0,2021-12-20,3.11,3.27,3.21,3.21,348708.723528
1,2021-12-19,3.21,3.34,3.27,3.22,163243.429097
2,2021-12-18,3.13,3.31,3.19,3.26,295639.730965
3,2021-12-17,3.09,3.29,3.25,3.2,189771.358767
4,2021-12-16,3.24,3.4,3.33,3.25,168045.951789
5,2021-12-15,3.06,3.35,3.22,3.32,275760.769209
6,2021-12-14,3.09,3.24,3.15,3.23,334348.414738
7,2021-12-13,3.09,3.46,3.46,3.15,418816.869295
8,2021-12-12,3.31,3.47,3.42,3.46,99973.687193
9,2021-12-11,3.18,3.41,3.24,3.41,204165.906061
10,2021-12-10,3.22,3.48,3.38,3.23,368595.005648
11,2021-12-09,3.3745,3.7011,3.6606,3.3745,552620.622397
12,2021-12-08,3.4941,3.6957,3.5577,3.6606,444930.224886
13,2021-12-07,3.4856,3.8369,3.5298,3.5564,743860.34867
14,2021-12-06,3.1989,3.5527,3.4951,3.5276,1073683.564158
15,2021-12-05,3.3105,3.57,3.524,3.4951,370648.545281
16,2021-12-04,3.02,3.8056,3.7682,3.5218,649782.256369
17,2021-12-03,3.6886,4.3158,3.9898,3.7683,721784.729778
18,2021-12-02,3.9626,4.2199,4.0879,3.9885,669739.757839
19,2021-12-01,4.0297,4.3942,4.1175,4.0909,734304.450054
20,2021-11-30,3.9752,4.25,4.0531,4.112,1612212.722408
21,2021-11-29,3.9363,4.1528,3.9699,4.0531,747379.783029
22,2021-11-28,3.6923,3.9899,3.8632,3.9671,496967.945957
23,2021-11-27,3.7955,3.967,3.8201,3.8606,271570.423753
24,2021-11-26,3.7299,4.25,4.22,3.8104,739466.023387
25,2021-11-25,3.9556,4.2904,3.9878,4.2149,852649.80984
26,2021-11-24,3.927,4.0857,4.0774,3.9883,309585.31969
27,2021-11-23,3.8839,4.1796,3.9248,4.0847,287612.153429
28,2021-11-22,3.8581,4.1092,4.1038,3.926,488679.130686
29,2021-11-21,4.0482,4.1791,4.1755,4.1022,247010.746903
30,2021-11-20,3.987,4.2745,4.067,4.1724,314785.121201
31,2021-11-19,3.813,4.1129,3.8569,4.061,249873.064797
32,2021-11-18,3.815,4.191,4.125,3.8412,570563.391448
33,2021-11-17,3.9683,4.1503,4.0848,4.1174,371735.323807
34,2021-11-16,4.0,4.4152,4.4125,4.0857,465450.391646
35,2021-11-15,4.4112,4.6475,4.5173,4.4184,214656.349731
36,2021-11-14,4.4376,4.6396,4.5987,4.516,199060.37285
37,2021-11-13,4.517,4.7,4.6179,4.6023,230966.109408
38,2021-11-12,3.9,4.7657,4.6689,4.6146,879654.468559
39,2021-11-11,4.5338,4.9552,4.6163,4.6702,1109394.115832
40,2021-11-10,4.4133,5.0,4.6768,4.6194,1010798.927273
41,2021-11-09,4.6011,5.0,4.6396,4.6771,978404.1578
42,2021-11-08,4.4645,4.6917,4.4801,4.6396,476504.933077
43,2021-11-07,4.3349,4.4899,4.3438,4.4805,414883.67987
44,2021-11-06,4.2237,4.3913,4.3626,4.3451,153241.497922
45,2021-11-05,4.2745,4.4242,4.3523,4.3623,320272.214623
46,2021-11-04,4.2421,4.4826,4.4186,4.3523,447027.820094
47,2021-11-03,4.2969,4.5757,4.4799,4.4179,589367.533704
48,2021-11-02,4.2601,4.4831,4.2807,4.4742,376918.505671
49,2021-11-01,4.1136,4.3438,4.252,4.284,252815.485455
50,2021-10-31,4.0901,4.337,4.261,4.2498,374719.259123
51,2021-10-30,4.173,4.36,4.271,4.258,345044.169311
52,2021-10-29,3.8558,4.3481,4.1777,4.271,495636.709403
53,2021-10-28,3.9504,4.2272,3.966,4.1751,437263.437251
