,Date,Open,High,Low,Close,Volume
0,2021-12-20,14.96,16.28,16.28,15.13,52839.781
1,2021-12-19,15.87,16.77,16.12,16.26,46773.449
2,2021-12-18,15.77,17.98,15.77,16.12,207748.017
3,2021-12-17,15.01,16.73,15.19,15.75,121516.376
4,2021-12-16,15.16,16.29,15.55,15.17,49503.97
5,2021-12-15,14.59,15.85,15.01,15.58,72672.375
6,2021-12-14,14.56,15.85,15.8,15.0,102660.98
7,2021-12-13,15.76,17.52,17.47,15.8,74355.88
8,2021-12-12,17.27,18.5,17.64,17.45,78151.408
9,2021-12-11,16.54,18.33,16.66,17.67,44479.194
10,2021-12-10,16.53,19.02,17.88,16.61,79084.937
11,2021-12-09,17.05,19.14,18.96,17.86,102385.079
12,2021-12-08,18.72,19.53,19.3,18.95,63384.473
13,2021-12-07,19.09,20.88,19.85,19.27,84880.182
14,2021-12-06,17.85,23.61,21.18,19.87,194496.626
15,2021-12-05,20.57,23.6,22.89,21.19,51449.569
16,2021-12-04,20.46,24.5,24.49,22.95,70640.95
17,2021-12-03,24.03,27.14,26.08,24.49,101956.908
18,2021-12-02,24.6,30.11,25.29,26.08,310529.691
19,2021-12-01,24.26,25.8,24.36,25.33,67512.114
20,2021-11-30,24.24,26.05,24.94,24.36,103283.966
21,2021-11-29,24.42,25.89,25.72,24.94,58631.031
22,2021-11-28,24.14,26.3,26.0,25.7,67684.302
23,2021-11-27,24.69,27.12,24.82,25.96,88484.816
24,2021-11-26,24.65,27.05,26.95,24.8,101670.467
25,2021-11-25,25.58,28.57,25.8,26.99,109959.042
26,2021-11-24,25.53,27.63,27.55,25.8,48401.05
27,2021-11-23,27.18,28.4,27.42,27.56,41502.753
28,2021-11-22,27.04,28.68,28.63,27.42,79920.941
29,2021-11-21,28.44,31.12,29.64,28.7,62749.047
30,2021-11-20,28.52,30.52,29.11,29.67,42152.681
31,2021-11-19,27.17,29.91,28.35,29.04,52173.635
32,2021-11-18,28.18,30.41,29.82,28.34,43826.241
33,2021-11-17,28.47,30.33,29.98,29.79,46376.456
34,2021-11-16,29.0,31.47,31.45,30.11,68204.298
35,2021-11-15,31.33,33.09,32.77,31.46,44452.835
36,2021-11-14,31.85,33.26,32.91,32.72,34424.69
37,2021-11-13,32.31,33.58,33.12,32.93,34324.645
38,2021-11-12,32.71,35.69,35.15,33.16,80611.274
39,2021-11-11,34.86,39.21,35.69,35.2,168562.98
40,2021-11-10,34.37,52.7,37.23,35.69,682641.443
41,2021-11-09,33.7,39.07,34.84,37.25,161924.581
42,2021-11-08,32.52,37.66,33.67,34.84,198680.88
43,2021-11-07,29.09,36.0,29.56,33.71,262339.856
44,2021-11-06,28.46,29.78,28.62,29.56,53627.795
45,2021-11-05,28.21,29.48,29.08,28.64,50983.355
46,2021-11-04,28.15,32.15,30.58,29.04,92880.084
47,2021-11-03,27.74,31.0,28.25,30.58,115224.526
48,2021-11-02,27.85,29.11,28.33,28.22,97776.637
49,2021-11-01,28.02,29.27,28.67,28.3,31189.57
50,2021-10-31,27.76,31.83,29.2,28.67,82727.1
51,2021-10-30,26.4,31.0,26.57,29.17,160074.337
52,2021-10-29,26.47,27.51,26.57,26.54,43543.803
53,2021-10-28,25.6,27.04,26.22,26.57,73749.103
54,2021-10-27,26.18,28.72,28.59,26.22,71216.438
55,2021-10-26,28.42,30.32,29.22,28.58,69225.111
56,2021-10-25,28.74,30.48,29.05,29.22,84611.979
57,2021-10-24,27.94,32.91,28.19,29.05,197865.93
58,2021-10-23,27.88,29.06,28.37,28.19,41976.526
59,2021-10-22,27.72,29.51,29.4,28.4,52382.45
60,2021-10-21,28.82,30.25,30.04,29.36,69766.281
61,2021-10-20,29.75,31.41,30.12,30.04,134026.034
62,2021-10-19,28.25,34.46,29.53,30.1,521930.517
63,2021-10-18,26.65,33.98,27.93,29.48,362230.779
64,2021-10-17,27.75,31.82,30.0,27.95,120219.986
65,2021-10-16,28.8,33.42,33.27,30.0,264300.821
66,2021-10-15,23.85,48.9,23.87,33.31,658494.478
67,2021-10-14,22.95,24.96,23.47,23.87,104766.421
68,2021-10-13,22.63,24.1,22.7,23.47,58407.463
69,2021-10-12,22.25,23.69,23.2,22.7,81474.15
70,2021-10-11,22.97,24.13,23.17,23.18,38943.87
