,Date,Open,High,Low,Close,Volume
0,2021-11-06,5.923,6.285,6.222,6.152,274492.13
1,2021-11-05,6.217,6.92,6.873,6.226,529944.63
2,2021-11-04,6.22,7.812,6.22,6.866,1962030.41
3,2021-11-03,6.062,6.683,6.456,6.216,525475.48
4,2021-11-02,5.852,6.507,5.852,6.456,613353.19
5,2021-11-01,5.63,6.885,5.711,5.853,1344034.32
6,2021-10-31,5.608,6.074,5.728,5.711,319351.55
7,2021-10-30,5.679,6.251,6.213,5.711,429035.36
8,2021-10-29,5.805,6.304,5.907,6.213,612292.27
9,2021-10-28,5.436,6.108,5.749,5.907,731058.05
10,2021-10-27,5.551,6.79,6.264,5.747,908975.12
11,2021-10-26,6.251,6.771,6.752,6.251,484102.37
12,2021-10-25,6.41,6.88,6.432,6.748,542014.34
13,2021-10-24,6.181,7.049,6.882,6.437,784229.12
14,2021-10-23,6.718,7.227,7.121,6.878,591585.16
15,2021-10-22,7.0,7.49,7.46,7.121,686977.39
16,2021-10-21,7.374,8.3,8.001,7.467,1243450.03
17,2021-10-20,6.96,9.627,9.262,8.005,2832244.72
18,2021-10-19,9.15,9.692,9.166,9.263,248070.22
19,2021-10-18,9.124,9.752,9.153,9.167,239693.47
20,2021-10-17,9.089,9.318,9.243,9.167,126722.11
21,2021-10-16,9.15,9.489,9.446,9.26,186595.38
22,2021-10-15,9.312,10.225,10.195,9.443,442641.03
23,2021-10-14,9.139,10.5,9.245,10.198,454260.83
24,2021-10-13,9.01,9.763,9.532,9.225,422696.88
25,2021-10-12,9.367,11.25,10.369,9.527,913066.86
26,2021-10-11,8.943,12.39,9.036,10.336,1692358.18
27,2021-10-10,8.806,9.461,8.82,9.041,342966.55
28,2021-10-09,8.511,8.963,8.571,8.82,176843.97
29,2021-10-08,8.51,9.406,8.948,8.57,140409.1
30,2021-10-07,8.834,9.485,9.298,8.963,298742.19
31,2021-10-06,9.231,10.117,9.912,9.299,182356.17
32,2021-10-05,9.301,10.268,9.325,9.924,365626.02
33,2021-10-04,9.068,9.867,9.808,9.307,321254.92
34,2021-10-03,9.701,10.114,10.094,9.808,150880.07
35,2021-10-02,10.029,10.264,10.074,10.094,115489.43
36,2021-10-01,9.63,10.386,9.667,10.061,318324.95
37,2021-09-30,9.527,9.945,9.707,9.639,133875.17
38,2021-09-29,9.471,10.4,9.503,9.701,304264.94
39,2021-09-28,9.464,9.948,9.945,9.5,159526.37
40,2021-09-27,9.908,10.736,9.993,9.946,239273.85
41,2021-09-26,9.781,11.0,10.634,9.989,373197.66
42,2021-09-25,10.15,10.64,10.21,10.64,350174.02
43,2021-09-24,9.895,11.063,11.04,10.21,387426.84
44,2021-09-23,10.7,12.119,11.733,11.051,615190.63
45,2021-09-22,10.409,12.91,10.645,11.734,940537.95
46,2021-09-21,10.31,13.502,12.94,10.602,725413.3
47,2021-09-20,12.64,15.962,15.792,12.954,755090.7
48,2021-09-19,15.6,18.57,17.938,15.83,785311.92
49,2021-09-18,17.806,21.541,21.126,17.903,457937.26
50,2021-09-17,21.03,28.39,26.8,21.12,658748.54
51,2021-09-16,26.2,49.507,32.922,26.8,2101987.99
52,2021-09-15,11.394,40.0,11.394,32.923,689991.78
