,Date,Open,High,Low,Close,Volume
0,2021-12-20,3.32,4.05,4.03,3.5,997386.44
1,2021-12-19,3.94,4.59,4.18,4.03,356578.23
2,2021-12-18,4.02,4.22,4.08,4.18,91319.85
3,2021-12-17,4.03,4.25,4.25,4.09,57368.66
4,2021-12-16,4.2,4.34,4.28,4.22,97347.12
5,2021-12-15,4.08,4.45,4.14,4.27,248658.55
6,2021-12-14,4.12,4.32,4.26,4.14,108716.28
7,2021-12-13,4.11,4.6,4.57,4.29,240098.22
8,2021-12-12,4.4,4.72,4.67,4.56,251081.04
9,2021-12-11,4.627,4.88,4.71,4.67,134673.3
10,2021-12-10,4.63,5.36,5.32,4.71,439304.58
11,2021-12-09,4.855,5.815,4.905,5.35,1133950.73
12,2021-12-08,4.464,4.913,4.657,4.905,181511.93
13,2021-12-07,4.522,4.8,4.663,4.652,150846.15
14,2021-12-06,4.566,4.833,4.647,4.67,200505.53
15,2021-12-05,4.65,5.044,5.024,4.656,247189.97
16,2021-12-04,4.397,5.4,4.819,5.011,606699.82
17,2021-12-03,4.761,5.07,5.042,4.819,261273.4
18,2021-12-02,5.012,5.429,5.113,5.047,369361.48
19,2021-12-01,5.003,5.499,5.467,5.1,444858.18
20,2021-11-30,5.2,5.918,5.461,5.466,500815.25
21,2021-11-29,5.184,6.016,5.374,5.461,1042511.19
22,2021-11-28,4.891,7.377,4.932,5.366,5832241.52
23,2021-11-27,4.773,4.971,4.907,4.932,253338.63
24,2021-11-26,4.63,5.179,5.167,4.906,347122.14
25,2021-11-25,4.716,5.192,4.738,5.167,357966.07
26,2021-11-24,4.65,5.263,4.942,4.731,391373.62
27,2021-11-23,4.829,5.134,4.992,4.927,318870.99
28,2021-11-22,4.904,5.549,5.29,4.991,901244.65
29,2021-11-21,4.371,5.395,4.615,5.29,1193065.29
30,2021-11-20,4.223,5.063,5.002,4.615,1196219.2
31,2021-11-19,4.674,5.4,4.825,5.01,669407.41
32,2021-11-18,4.796,6.605,5.093,4.818,1823612.13
33,2021-11-17,5.067,5.43,5.395,5.094,239016.16
34,2021-11-16,5.256,5.761,5.573,5.388,254189.16
35,2021-11-15,5.561,5.965,5.917,5.571,159409.47
36,2021-11-14,5.866,6.206,5.914,5.918,227440.99
37,2021-11-13,5.81,6.019,5.821,5.917,197848.28
38,2021-11-12,5.789,6.137,6.122,5.822,184387.23
39,2021-11-11,5.76,6.15,5.862,6.117,279453.54
40,2021-11-10,5.81,6.164,6.114,5.858,357230.44
41,2021-11-09,6.093,6.361,6.233,6.109,263235.36
42,2021-11-08,6.05,6.5,6.159,6.226,328479.31
43,2021-11-07,6.105,6.442,6.364,6.168,346632.39
44,2021-11-06,5.917,6.39,6.222,6.382,755753.46
45,2021-11-05,6.217,6.92,6.873,6.226,529944.63
46,2021-11-04,6.22,7.812,6.22,6.866,1962030.41
47,2021-11-03,6.062,6.683,6.456,6.216,525475.48
48,2021-11-02,5.852,6.507,5.852,6.456,613353.19
49,2021-11-01,5.63,6.885,5.711,5.853,1344034.32
50,2021-10-31,5.608,6.074,5.728,5.711,319351.55
51,2021-10-30,5.679,6.251,6.213,5.711,429035.36
52,2021-10-29,5.805,6.304,5.907,6.213,612292.27
53,2021-10-28,5.436,6.108,5.749,5.907,731058.05
54,2021-10-27,5.551,6.79,6.264,5.747,908975.12
