,Date,Open,High,Low,Close,Volume
0,2021-11-06,6.2443,6.3238,6.2884,6.2947,84002.89
1,2021-11-05,6.2521,6.4485,6.3481,6.2906,790846.86
2,2021-11-04,6.25,6.7458,6.4631,6.3468,1254221.46
3,2021-11-03,6.2267,6.6248,6.2868,6.4622,1440630.81
4,2021-11-02,6.201,6.45,6.2854,6.2845,936300.92
5,2021-11-01,6.1822,6.5387,6.2388,6.2899,1220280.76
6,2021-10-31,6.0269,6.4063,6.2862,6.2413,1243109.73
7,2021-10-30,6.2022,6.8326,6.7808,6.2867,1077459.58
8,2021-10-29,6.3898,6.8495,6.433,6.7794,1561283.43
9,2021-10-28,6.1536,6.6901,6.2254,6.4375,1722531.77
10,2021-10-27,6.0638,7.3494,7.2568,6.2249,2551453.8
11,2021-10-26,7.06,7.8883,7.2338,7.2551,3445915.13
12,2021-10-25,6.6694,7.4123,6.6923,7.2333,2323906.4
13,2021-10-24,6.4591,6.8697,6.5008,6.6904,1063131.32
14,2021-10-23,6.3961,6.7474,6.637,6.5022,666195.23
15,2021-10-22,6.4065,6.9916,6.9809,6.636,960479.84
16,2021-10-21,6.45,7.0529,6.55,6.9756,2314358.44
17,2021-10-20,6.0264,6.8427,6.086,6.5494,1749558.13
18,2021-10-19,6.0123,6.2602,6.141,6.0893,990619.8
19,2021-10-18,5.9114,6.4868,6.142,6.1429,1578262.18
20,2021-10-17,5.8188,6.6058,5.8804,6.1431,3269345.6
21,2021-10-16,5.7837,6.1113,5.8733,5.8825,1002986.79
22,2021-10-15,5.6044,5.9708,5.9155,5.8723,1771758.35
23,2021-10-14,5.621,6.2383,5.6763,5.9155,2132290.57
24,2021-10-13,5.3,5.8446,5.5681,5.6746,2203809.12
25,2021-10-12,5.1049,5.686,5.5789,5.5688,1884148.68
26,2021-10-11,5.4116,5.8545,5.6537,5.5789,1695767.88
27,2021-10-10,5.63,5.9813,5.9437,5.6567,1117058.41
28,2021-10-09,5.8062,6.3288,5.8813,5.9371,2416828.27
29,2021-10-08,5.78,6.0704,5.9034,5.877,1911624.73
30,2021-10-07,5.6031,6.0373,5.7373,5.9043,2282759.77
31,2021-10-06,5.5121,5.9955,5.9262,5.7392,2810203.5
32,2021-10-05,5.71,6.184,6.0083,5.9232,2849818.46
33,2021-10-04,5.94,6.3424,6.312,6.003,3058517.92
34,2021-10-03,6.0819,6.6438,6.291,6.3126,3139279.53
35,2021-10-02,6.0207,6.6281,6.1553,6.291,2980926.06
36,2021-10-01,5.6059,6.3204,5.6468,6.1503,3368501.26
37,2021-09-30,5.5736,5.8773,5.6879,5.6471,2776750.92
38,2021-09-29,5.5051,6.1704,5.8153,5.6863,3326517.34
39,2021-09-28,5.8002,6.2686,6.1288,5.8188,3585052.31
40,2021-09-27,6.1,7.0,6.256,6.1317,4137856.05
41,2021-09-26,5.75,6.8342,6.8293,6.2626,7625224.06
42,2021-09-25,6.75,7.7935,7.6091,6.8224,6986425.69
43,2021-09-24,6.2061,8.2696,7.132,7.6083,16536629.98
44,2021-09-23,6.2564,7.8799,6.5467,7.132,9714022.01
45,2021-09-22,5.68,6.8595,6.2345,6.5513,9327216.24
46,2021-09-21,5.4923,7.5209,5.899,6.2245,16898335.11
47,2021-09-20,5.1413,6.5464,5.9418,5.902,17526842.38
48,2021-09-19,5.1092,6.2209,5.2371,5.9421,9948954.1
49,2021-09-18,5.0118,5.5537,5.1115,5.2397,3127169.73
50,2021-09-17,4.9979,5.358,5.3577,5.1115,3044452.53
51,2021-09-16,4.9194,5.4991,5.0461,5.3576,5946427.29
52,2021-09-15,4.8471,5.4439,5.0316,5.0428,2954665.4
53,2021-09-14,4.984,5.6608,5.1921,5.0288,5504402.59
54,2021-09-13,4.2415,5.3497,4.9512,5.1921,7407483.04
55,2021-09-12,4.8574,5.3354,5.0304,4.955,2476090.39
56,2021-09-11,4.8457,5.4724,5.0361,5.0318,5789566.88
57,2021-09-10,4.7,5.71,5.0097,5.0362,11114597.61
58,2021-09-09,4.0925,5.3489,4.2424,5.0084,12173866.92
59,2021-09-08,3.8865,4.74,4.1365,4.2447,8756330.4
60,2021-09-07,3.8086,5.1797,5.1555,4.1361,10183557.92
61,2021-09-06,5.1002,5.56,5.4701,5.1555,6811075.8
62,2021-09-05,5.0625,6.69,5.123,5.4645,9619869.53
63,2021-09-04,5.1201,5.62,5.3099,5.1275,2858465.04
64,2021-09-03,5.2809,5.6969,5.6147,5.31,3614163.64
65,2021-09-02,5.5352,5.978,5.8044,5.6147,4847994.27
66,2021-09-01,5.3616,6.647,5.5312,5.8054,12227675.62
67,2021-08-31,5.383,7.4983,7.0771,5.5277,17671513.07
