,Date,Open,High,Low,Close,Volume
0,2021-11-06,0.4509,0.4753,0.4604,0.4695,16979927.3
1,2021-11-05,0.4385,0.4839,0.4385,0.4606,69467853.6
2,2021-11-04,0.415,0.4906,0.4544,0.438,71489790.6
3,2021-11-03,0.4358,0.5098,0.4978,0.4544,85902897.1
4,2021-11-02,0.4451,0.524,0.4518,0.4976,147126466.6
5,2021-11-01,0.4074,0.4983,0.4172,0.4521,158285885.3
6,2021-10-31,0.3911,0.5974,0.5256,0.4171,345618280.1
7,2021-10-30,0.3384,0.84,0.3555,0.5264,240325360.4
8,2021-10-29,0.3183,0.3627,0.323,0.3555,60245394.0
9,2021-10-28,0.2953,0.3331,0.3005,0.3231,31189017.3
10,2021-10-27,0.2769,0.3624,0.3406,0.3005,37763655.7
11,2021-10-26,0.3324,0.3668,0.3369,0.3402,29098096.8
12,2021-10-25,0.3148,0.3432,0.3169,0.3369,15585496.7
13,2021-10-24,0.3096,0.329,0.3277,0.3167,7641866.7
14,2021-10-23,0.3176,0.3301,0.3241,0.3276,8230371.1
15,2021-10-22,0.314,0.3348,0.3146,0.3241,12128683.5
16,2021-10-21,0.312,0.3353,0.3288,0.3143,14747362.6
17,2021-10-20,0.3094,0.332,0.3161,0.329,9488497.8
18,2021-10-19,0.3122,0.3251,0.321,0.3159,7774931.3
19,2021-10-18,0.31,0.3256,0.3119,0.3207,11408264.2
20,2021-10-17,0.3012,0.3324,0.3284,0.3118,12202032.3
21,2021-10-16,0.3201,0.3327,0.3204,0.3282,12769090.9
22,2021-10-15,0.3099,0.3356,0.3311,0.3204,16886491.1
23,2021-10-14,0.3225,0.3362,0.3275,0.3313,9358299.4
24,2021-10-13,0.3014,0.3312,0.3151,0.3271,19112118.6
25,2021-10-12,0.2865,0.3259,0.3077,0.3156,18551462.4
26,2021-10-11,0.3003,0.3264,0.3081,0.3077,8088439.4
27,2021-10-10,0.3067,0.332,0.3319,0.3085,7265374.8
28,2021-10-09,0.3267,0.3369,0.333,0.3319,9665109.5
29,2021-10-08,0.3262,0.3565,0.3562,0.3326,38396698.2
30,2021-10-07,0.2912,0.3799,0.3026,0.3564,61244574.7
31,2021-10-06,0.2814,0.312,0.3067,0.3026,15532107.3
32,2021-10-05,0.281,0.32,0.2835,0.3063,20470658.5
33,2021-10-04,0.2723,0.2883,0.2871,0.2834,9514658.8
34,2021-10-03,0.2774,0.2979,0.2838,0.2872,7671555.7
35,2021-10-02,0.2799,0.2955,0.2869,0.2832,12835041.4
36,2021-10-01,0.2578,0.2884,0.2621,0.2868,7825983.8
37,2021-09-30,0.2483,0.2638,0.249,0.2619,4448145.9
38,2021-09-29,0.2434,0.2627,0.244,0.2492,6086466.4
39,2021-09-28,0.2434,0.2592,0.2542,0.2442,8155924.6
40,2021-09-27,0.254,0.2718,0.2632,0.2543,5241145.3
41,2021-09-26,0.2477,0.2684,0.2664,0.2632,5787571.6
42,2021-09-25,0.2585,0.2769,0.2719,0.2665,8507017.0
43,2021-09-24,0.254,0.2982,0.2959,0.2719,10863334.3
44,2021-09-23,0.2836,0.3,0.2912,0.2956,12975343.0
45,2021-09-22,0.2489,0.2923,0.2535,0.2913,18554093.0
46,2021-09-21,0.2414,0.282,0.2711,0.2535,17348708.5
47,2021-09-20,0.2664,0.3169,0.3163,0.2709,16547473.7
48,2021-09-19,0.3111,0.3294,0.3288,0.3162,6288263.8
49,2021-09-18,0.3223,0.3344,0.3256,0.3288,7946118.6
50,2021-09-17,0.3217,0.3453,0.3375,0.3255,13214012.2
51,2021-09-16,0.3302,0.353,0.3468,0.3377,17945179.9
52,2021-09-15,0.3315,0.3492,0.3373,0.3471,7487914.5
53,2021-09-14,0.3184,0.3485,0.3218,0.3373,9028881.6
54,2021-09-13,0.3007,0.3415,0.3379,0.3218,9329492.2
55,2021-09-12,0.3212,0.345,0.3324,0.3383,6189653.7
56,2021-09-11,0.324,0.3403,0.33,0.3326,6495863.6
57,2021-09-10,0.3182,0.3668,0.3462,0.3298,15598673.1
58,2021-09-09,0.3317,0.356,0.3376,0.3468,15291805.6
59,2021-09-08,0.3051,0.3514,0.3428,0.3374,34581044.9
60,2021-09-07,0.286,0.4499,0.4468,0.343,42865894.8
61,2021-09-06,0.4038,0.4499,0.4258,0.4472,28551609.7
62,2021-09-05,0.4086,0.4399,0.4174,0.4258,14801016.8
63,2021-09-04,0.3932,0.4452,0.3962,0.4174,22828425.7
64,2021-09-03,0.3766,0.4053,0.3849,0.3959,14221368.3
65,2021-09-02,0.3773,0.3942,0.3843,0.385,12680893.8
66,2021-09-01,0.3589,0.3861,0.3656,0.3838,12509823.7
67,2021-08-31,0.3609,0.3774,0.3687,0.3661,12785790.2
68,2021-08-30,0.3652,0.4104,0.3757,0.3683,23825321.0
69,2021-08-29,0.358,0.3859,0.3692,0.3758,8306094.5
70,2021-08-28,0.3654,0.3816,0.3785,0.3691,6185012.6
71,2021-08-27,0.3434,0.3806,0.3583,0.3784,12009130.1
72,2021-08-26,0.3532,0.3977,0.388,0.3583,18823218.6
73,2021-08-25,0.3484,0.3978,0.3671,0.3878,14756644.7
74,2021-08-24,0.3555,0.4097,0.4064,0.3673,17805594.9
75,2021-08-23,0.3728,0.416,0.3777,0.407,20209416.3
76,2021-08-22,0.3645,0.4147,0.3829,0.378,19272946.4
77,2021-08-21,0.3464,0.4088,0.355,0.3829,31300977.9
78,2021-08-20,0.3403,0.3582,0.3456,0.355,7242264.6
79,2021-08-19,0.3196,0.3463,0.3309,0.3455,8829631.9
80,2021-08-18,0.3136,0.3442,0.3357,0.3308,12918961.5
81,2021-08-17,0.3293,0.3777,0.3553,0.3352,19225835.7
82,2021-08-16,0.3487,0.3873,0.371,0.3555,13148303.5
83,2021-08-15,0.3508,0.3756,0.3718,0.3708,7418797.4
84,2021-08-14,0.3591,0.384,0.3821,0.3723,9751012.2
85,2021-08-13,0.357,0.3901,0.3699,0.3821,36644517.6
86,2021-08-12,0.3108,0.371,0.3278,0.37,27274329.1
87,2021-08-11,0.3209,0.3487,0.3268,0.3285,15484622.5
88,2021-08-10,0.3052,0.36,0.3101,0.3271,44849780.4
89,2021-08-09,0.2652,0.328,0.2772,0.3101,31648159.2
90,2021-08-08,0.2651,0.3022,0.2931,0.2771,8339943.4
91,2021-08-07,0.2701,0.3017,0.2897,0.2932,12803679.6
92,2021-08-06,0.2613,0.2931,0.266,0.2897,8226993.7
93,2021-08-05,0.2551,0.2688,0.2648,0.266,3452958.7
94,2021-08-04,0.2533,0.266,0.2575,0.2646,3448323.4
95,2021-08-03,0.2533,0.2683,0.2655,0.2574,3329690.4
96,2021-08-02,0.2569,0.2723,0.2603,0.2653,6056571.4
97,2021-08-01,0.2579,0.2781,0.2656,0.2603,6771205.4
98,2021-07-31,0.2575,0.28,0.2649,0.2656,4369186.7
99,2021-07-30,0.2484,0.2681,0.2565,0.2648,7592110.8
100,2021-07-29,0.2473,0.2572,0.2514,0.2569,3159154.3
101,2021-07-28,0.2452,0.2569,0.2517,0.2517,3369726.7
102,2021-07-27,0.2397,0.2555,0.2477,0.2517,6147263.6
103,2021-07-26,0.2421,0.2725,0.2504,0.2474,17343579.8
104,2021-07-25,0.2396,0.2536,0.2486,0.2509,5686433.1
105,2021-07-24,0.236,0.262,0.2396,0.2485,11928637.9
106,2021-07-23,0.2239,0.2416,0.2321,0.2394,5827144.2
107,2021-07-22,0.2207,0.2359,0.2246,0.2319,3080574.6
108,2021-07-21,0.2007,0.2301,0.2066,0.2246,6607900.2
109,2021-07-20,0.199,0.2315,0.2285,0.2069,4484743.3
110,2021-07-19,0.2229,0.2391,0.2365,0.2287,4344117.1
111,2021-07-18,0.232,0.2481,0.2384,0.2366,3724624.9
112,2021-07-17,0.2306,0.2413,0.236,0.2392,3669116.9
113,2021-07-16,0.236,0.2673,0.259,0.2366,11410859.8
114,2021-07-15,0.243,0.285,0.2482,0.2588,28611011.1
115,2021-07-14,0.2241,0.2545,0.2406,0.2483,4139360.2
