,Date,Open,High,Low,Close,Volume
0,2021-11-06,1.35,1.39,1.36,1.36,271709.96
1,2021-11-05,1.35,1.53,1.41,1.36,3446651.74
2,2021-11-04,1.33,1.61,1.38,1.41,7062919.29
3,2021-11-03,1.25,1.45,1.36,1.38,4825925.38
4,2021-11-02,1.24,1.49,1.29,1.36,6192566.2
5,2021-11-01,1.13,1.35,1.2,1.29,6652436.29
6,2021-10-31,1.11,1.22,1.11,1.2,4212992.77
7,2021-10-30,1.1,1.17,1.15,1.11,2055576.15
8,2021-10-29,1.11,1.19,1.12,1.15,2062544.0
9,2021-10-28,1.05,1.16,1.07,1.12,3483340.9
10,2021-10-27,1.07,1.22,1.2,1.07,3882197.02
11,2021-10-26,1.18,1.27,1.19,1.19,2512848.16
12,2021-10-25,1.18,1.22,1.18,1.19,1410518.67
13,2021-10-24,1.16,1.25,1.24,1.18,1396169.86
14,2021-10-23,1.2,1.27,1.23,1.24,1326704.97
15,2021-10-22,1.2,1.25,1.21,1.23,966740.82
16,2021-10-21,1.2,1.3,1.28,1.21,2074655.54
17,2021-10-20,1.22,1.3,1.23,1.28,1617278.08
18,2021-10-19,1.21,1.3,1.29,1.23,1565646.41
19,2021-10-18,1.25,1.36,1.33,1.29,2104324.26
20,2021-10-17,1.26,1.46,1.28,1.33,5178745.31
21,2021-10-16,1.23,1.54,1.24,1.28,14262444.68
22,2021-10-15,1.15,1.25,1.21,1.24,3535999.72
23,2021-10-14,1.17,1.26,1.19,1.21,3432714.15
24,2021-10-13,1.1,1.2,1.15,1.2,2534691.02
25,2021-10-12,1.08,1.19,1.16,1.14,2328826.01
26,2021-10-11,1.15,1.22,1.18,1.16,2801704.55
27,2021-10-10,1.18,1.35,1.27,1.18,5549672.73
28,2021-10-09,1.16,1.28,1.18,1.26,4001472.68
29,2021-10-08,1.15,1.27,1.23,1.18,4413467.09
30,2021-10-07,1.02,1.37,1.06,1.24,14322710.23
31,2021-10-06,1.04,1.18,1.11,1.06,4445967.96
32,2021-10-05,1.07,1.13,1.09,1.12,2775887.99
33,2021-10-04,1.06,1.16,1.15,1.09,3732985.15
34,2021-10-03,1.11,1.16,1.13,1.15,2124103.44
35,2021-10-02,1.13,1.2,1.16,1.13,2722208.45
36,2021-10-01,1.1,1.22,1.11,1.15,5634205.8
37,2021-09-30,0.98,1.23,0.99,1.12,6639864.64
38,2021-09-29,0.95,1.06,1.01,0.99,2772310.39
39,2021-09-28,0.99,1.07,1.04,1.01,2128665.45
40,2021-09-27,1.03,1.13,1.04,1.03,2679774.63
41,2021-09-26,0.95,1.13,1.13,1.04,5436518.98
42,2021-09-25,1.08,1.18,1.15,1.12,1922211.64
43,2021-09-24,1.06,1.32,1.22,1.15,4783515.26
44,2021-09-23,1.18,1.28,1.24,1.22,2546960.29
45,2021-09-22,1.13,1.28,1.15,1.24,2631940.1
46,2021-09-21,1.13,1.25,1.19,1.15,3538280.46
47,2021-09-20,1.12,1.33,1.3,1.18,6495505.97
48,2021-09-19,1.28,1.38,1.33,1.3,1286306.24
49,2021-09-18,1.28,1.4,1.3,1.33,2538600.72
50,2021-09-17,1.26,1.37,1.37,1.31,2588040.39
51,2021-09-16,1.32,1.44,1.43,1.36,3026694.86
52,2021-09-15,1.39,1.48,1.45,1.43,2292312.72
53,2021-09-14,1.38,1.5,1.41,1.45,2646377.11
54,2021-09-13,1.32,1.59,1.53,1.41,3967848.76
55,2021-09-12,1.49,1.65,1.54,1.53,4941684.76
56,2021-09-11,1.24,1.69,1.27,1.54,7801199.07
57,2021-09-10,1.23,1.5,1.4,1.27,4228295.45
58,2021-09-09,1.26,1.49,1.28,1.39,6465843.51
59,2021-09-08,1.18,1.39,1.35,1.28,4095052.78
60,2021-09-07,1.04,1.7,1.65,1.35,6188962.83
61,2021-09-06,1.64,1.78,1.71,1.65,3127083.41
62,2021-09-05,1.68,1.78,1.71,1.7,2213256.57
63,2021-09-04,1.71,1.81,1.79,1.71,2382381.28
64,2021-09-03,1.7,1.87,1.75,1.79,4725105.71
65,2021-09-02,1.68,1.81,1.78,1.75,3242932.32
66,2021-09-01,1.7,1.9,1.76,1.78,5010561.34
67,2021-08-31,1.66,2.18,1.7,1.76,13930756.41
68,2021-08-30,1.55,1.93,1.61,1.69,11299320.04
69,2021-08-29,1.56,1.75,1.72,1.61,5183491.35
70,2021-08-28,1.55,1.75,1.62,1.73,5276605.3
71,2021-08-27,1.42,1.69,1.48,1.62,6267368.35
72,2021-08-26,1.44,1.65,1.58,1.48,4676706.35
73,2021-08-25,1.34,1.64,1.42,1.58,6746029.31
74,2021-08-24,1.39,1.56,1.54,1.42,3939072.6
75,2021-08-23,1.46,1.63,1.51,1.53,5996594.45
76,2021-08-22,1.47,1.57,1.55,1.51,3097443.94
77,2021-08-21,1.55,1.68,1.61,1.55,2894833.32
78,2021-08-20,1.58,1.71,1.66,1.61,3412400.64
79,2021-08-19,1.53,1.73,1.57,1.67,4033422.35
80,2021-08-18,1.51,1.67,1.55,1.56,5684485.02
81,2021-08-17,1.55,1.99,1.92,1.56,9755311.54
82,2021-08-16,1.54,2.05,1.54,1.92,16891385.2
83,2021-08-15,1.44,1.59,1.51,1.54,5172986.72
84,2021-08-14,1.43,1.65,1.45,1.51,6623524.78
85,2021-08-13,1.44,1.64,1.53,1.45,10085530.28
86,2021-08-12,1.22,1.98,1.24,1.53,34276097.31
