,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.72,0.78,0.77,0.75,1910992.73
1,2021-12-19,0.76,0.82,0.78,0.76,1001803.46
2,2021-12-18,0.75,0.82,0.78,0.78,1046880.51
3,2021-12-17,0.75,0.89,0.83,0.78,2009895.01
4,2021-12-16,0.78,0.99,0.78,0.83,5819093.64
5,2021-12-15,0.72,0.8,0.79,0.78,3592796.91
6,2021-12-14,0.74,0.83,0.81,0.78,2259586.5
7,2021-12-13,0.8,0.98,0.96,0.81,5489000.31
8,2021-12-12,0.74,1.15,0.75,0.97,24254038.57
9,2021-12-11,0.69,0.77,0.7,0.76,2705134.02
10,2021-12-10,0.69,0.81,0.75,0.7,3741890.66
11,2021-12-09,0.74,0.87,0.84,0.75,4504151.24
12,2021-12-08,0.79,0.87,0.82,0.84,2087711.81
13,2021-12-07,0.81,0.89,0.85,0.82,3834234.36
14,2021-12-06,0.75,0.91,0.85,0.85,8819768.67
15,2021-12-05,0.82,0.93,0.91,0.85,2135959.22
16,2021-12-04,0.75,1.07,1.06,0.91,4329925.29
17,2021-12-03,1.03,1.16,1.1,1.06,2335633.94
18,2021-12-02,1.06,1.12,1.09,1.1,1892859.38
19,2021-12-01,1.08,1.13,1.1,1.09,1879089.48
20,2021-11-30,1.09,1.16,1.14,1.1,1419958.71
21,2021-11-29,1.12,1.18,1.16,1.14,1372194.18
22,2021-11-28,1.08,1.23,1.14,1.16,2346050.13
23,2021-11-27,1.09,1.19,1.09,1.14,1384484.12
24,2021-11-26,1.04,1.24,1.21,1.09,2487579.28
25,2021-11-25,1.07,1.33,1.08,1.21,4588132.91
26,2021-11-24,1.06,1.14,1.12,1.08,1227965.23
27,2021-11-23,1.1,1.16,1.14,1.12,1506737.32
28,2021-11-22,1.1,1.21,1.2,1.13,1789013.77
29,2021-11-21,1.12,1.27,1.16,1.21,3034284.25
30,2021-11-20,1.1,1.17,1.12,1.15,1564552.5
31,2021-11-19,1.05,1.16,1.07,1.12,1572192.39
32,2021-11-18,1.05,1.2,1.17,1.07,3019001.99
33,2021-11-17,1.09,1.2,1.16,1.17,2607402.97
34,2021-11-16,1.08,1.29,1.29,1.15,2769105.14
35,2021-11-15,1.21,1.35,1.22,1.28,4282693.73
36,2021-11-14,1.17,1.27,1.21,1.22,2416065.68
37,2021-11-13,1.19,1.24,1.22,1.21,1175348.57
38,2021-11-12,1.17,1.29,1.28,1.22,2504140.2
39,2021-11-11,1.19,1.32,1.23,1.28,2808191.94
40,2021-11-10,1.22,1.38,1.34,1.23,3122701.08
41,2021-11-09,1.32,1.41,1.39,1.33,1990586.41
42,2021-11-08,1.37,1.45,1.43,1.4,2432051.02
43,2021-11-07,1.32,1.44,1.38,1.42,2037619.81
44,2021-11-06,1.28,1.39,1.36,1.38,1751589.74
45,2021-11-05,1.35,1.53,1.41,1.36,3446651.74
46,2021-11-04,1.33,1.61,1.38,1.41,7062919.29
47,2021-11-03,1.25,1.45,1.36,1.38,4825925.38
48,2021-11-02,1.24,1.49,1.29,1.36,6192566.2
49,2021-11-01,1.13,1.35,1.2,1.29,6652436.29
50,2021-10-31,1.11,1.22,1.11,1.2,4212992.77
51,2021-10-30,1.1,1.17,1.15,1.11,2055576.15
52,2021-10-29,1.11,1.19,1.12,1.15,2062544.0
53,2021-10-28,1.05,1.16,1.07,1.12,3483340.9
54,2021-10-27,1.07,1.22,1.2,1.07,3882197.02
55,2021-10-26,1.18,1.27,1.19,1.19,2512848.16
56,2021-10-25,1.18,1.22,1.18,1.19,1410518.67
57,2021-10-24,1.16,1.25,1.24,1.18,1396169.86
58,2021-10-23,1.2,1.27,1.23,1.24,1326704.97
59,2021-10-22,1.2,1.25,1.21,1.23,966740.82
60,2021-10-21,1.2,1.3,1.28,1.21,2074655.54
61,2021-10-20,1.22,1.3,1.23,1.28,1617278.08
62,2021-10-19,1.21,1.3,1.29,1.23,1565646.41
63,2021-10-18,1.25,1.36,1.33,1.29,2104324.26
64,2021-10-17,1.26,1.46,1.28,1.33,5178745.31
65,2021-10-16,1.23,1.54,1.24,1.28,14262444.68
66,2021-10-15,1.15,1.25,1.21,1.24,3535999.72
67,2021-10-14,1.17,1.26,1.19,1.21,3432714.15
68,2021-10-13,1.1,1.2,1.15,1.2,2534691.02
69,2021-10-12,1.08,1.19,1.16,1.14,2328826.01
70,2021-10-11,1.15,1.22,1.18,1.16,2801704.55
71,2021-10-10,1.18,1.35,1.27,1.18,5549672.73
72,2021-10-09,1.16,1.28,1.18,1.26,4001472.68
73,2021-10-08,1.15,1.27,1.23,1.18,4413467.09
74,2021-10-07,1.02,1.37,1.06,1.24,14322710.23
75,2021-10-06,1.04,1.18,1.11,1.06,4445967.96
76,2021-10-05,1.07,1.13,1.09,1.12,2775887.99
77,2021-10-04,1.06,1.16,1.15,1.09,3732985.15
78,2021-10-03,1.11,1.16,1.13,1.15,2124103.44
79,2021-10-02,1.13,1.2,1.16,1.13,2722208.45
80,2021-10-01,1.1,1.22,1.11,1.15,5634205.8
81,2021-09-30,0.98,1.23,0.99,1.12,6639864.64
82,2021-09-29,0.95,1.06,1.01,0.99,2772310.39
83,2021-09-28,0.99,1.07,1.04,1.01,2128665.45
84,2021-09-27,1.03,1.13,1.04,1.03,2679774.63
85,2021-09-26,0.95,1.13,1.13,1.04,5436518.98
86,2021-09-25,1.08,1.18,1.15,1.12,1922211.64
87,2021-09-24,1.06,1.32,1.22,1.15,4783515.26
88,2021-09-23,1.18,1.28,1.24,1.22,2546960.29
89,2021-09-22,1.13,1.28,1.15,1.24,2631940.1
90,2021-09-21,1.13,1.25,1.19,1.15,3538280.46
91,2021-09-20,1.12,1.33,1.3,1.18,6495505.97
92,2021-09-19,1.28,1.38,1.33,1.3,1286306.24
93,2021-09-18,1.28,1.4,1.3,1.33,2538600.72
94,2021-09-17,1.26,1.37,1.37,1.31,2588040.39
95,2021-09-16,1.32,1.44,1.43,1.36,3026694.86
96,2021-09-15,1.39,1.48,1.45,1.43,2292312.72
97,2021-09-14,1.38,1.5,1.41,1.45,2646377.11
98,2021-09-13,1.32,1.59,1.53,1.41,3967848.76
99,2021-09-12,1.49,1.65,1.54,1.53,4941684.76
100,2021-09-11,1.24,1.69,1.27,1.54,7801199.07
101,2021-09-10,1.23,1.5,1.4,1.27,4228295.45
102,2021-09-09,1.26,1.49,1.28,1.39,6465843.51
103,2021-09-08,1.18,1.39,1.35,1.28,4095052.78
104,2021-09-07,1.04,1.7,1.65,1.35,6188962.83
105,2021-09-06,1.64,1.78,1.71,1.65,3127083.41
106,2021-09-05,1.68,1.78,1.71,1.7,2213256.57
107,2021-09-04,1.71,1.81,1.79,1.71,2382381.28
108,2021-09-03,1.7,1.87,1.75,1.79,4725105.71
109,2021-09-02,1.68,1.81,1.78,1.75,3242932.32
110,2021-09-01,1.7,1.9,1.76,1.78,5010561.34
111,2021-08-31,1.66,2.18,1.7,1.76,13930756.41
112,2021-08-30,1.55,1.93,1.61,1.69,11299320.04
113,2021-08-29,1.56,1.75,1.72,1.61,5183491.35
114,2021-08-28,1.55,1.75,1.62,1.73,5276605.3
115,2021-08-27,1.42,1.69,1.48,1.62,6267368.35
116,2021-08-26,1.44,1.65,1.58,1.48,4676706.35
117,2021-08-25,1.34,1.64,1.42,1.58,6746029.31
118,2021-08-24,1.39,1.56,1.54,1.42,3939072.6
119,2021-08-23,1.46,1.63,1.51,1.53,5996594.45
120,2021-08-22,1.47,1.57,1.55,1.51,3097443.94
121,2021-08-21,1.55,1.68,1.61,1.55,2894833.32
122,2021-08-20,1.58,1.71,1.66,1.61,3412400.64
123,2021-08-19,1.53,1.73,1.57,1.67,4033422.35
124,2021-08-18,1.51,1.67,1.55,1.56,5684485.02
125,2021-08-17,1.55,1.99,1.92,1.56,9755311.54
126,2021-08-16,1.54,2.05,1.54,1.92,16891385.2
127,2021-08-15,1.44,1.59,1.51,1.54,5172986.72
128,2021-08-14,1.43,1.65,1.45,1.51,6623524.78
129,2021-08-13,1.44,1.64,1.53,1.45,10085530.28
130,2021-08-12,1.22,1.98,1.24,1.53,34276097.31
131,2021-08-11,1.17,1.39,1.23,1.23,11401894.46
132,2021-08-10,1.05,1.35,1.07,1.23,13640156.35
133,2021-08-09,1.0,1.17,1.02,1.07,9059898.96
134,2021-08-08,1.0,1.06,1.05,1.02,5406897.06
135,2021-08-07,1.02,1.1,1.05,1.05,5711107.55
136,2021-08-06,1.02,1.08,1.05,1.05,7413979.74
137,2021-08-05,1.02,1.15,1.14,1.05,7149182.64
138,2021-08-04,0.99,1.2,1.01,1.13,9864545.42
139,2021-08-03,0.94,1.11,1.08,1.01,8863664.89
140,2021-08-02,1.06,1.14,1.11,1.09,7070842.06
141,2021-08-01,1.09,1.21,1.2,1.12,5011979.66
142,2021-07-31,1.16,1.24,1.2,1.19,5668596.83
143,2021-07-30,1.15,1.29,1.28,1.21,11854981.46
144,2021-07-29,1.2,1.7,1.2,1.28,24033350.91
145,2021-07-28,1.06,1.31,1.11,1.2,6050107.37
146,2021-07-27,1.07,1.17,1.13,1.1,5379914.93
147,2021-07-26,1.13,1.28,1.21,1.13,8448450.03
148,2021-07-25,1.11,1.35,1.16,1.21,7746307.22
149,2021-07-24,1.08,1.17,1.11,1.16,4367642.47
150,2021-07-23,1.05,1.19,1.18,1.12,6352984.1
151,2021-07-22,1.12,1.24,1.23,1.18,5842886.44
152,2021-07-21,1.18,1.37,1.19,1.22,11395016.0
153,2021-07-20,0.98,1.45,1.13,1.2,18002425.97
154,2021-07-19,1.04,1.56,1.35,1.13,17057431.75
155,2021-07-18,1.25,1.72,1.67,1.35,19473504.9
156,2021-07-17,0.78,2.29,0.88,1.67,55290436.22
157,2021-07-16,0.42,1.45,1.45,0.88,32069089.46
158,2021-07-15,0.51,2.8,0.51,1.45,2495900.35
