,Date,Open,High,Low,Close,Volume
0,2021-12-20,181.66,197.61,194.87,189.06,25048.495
1,2021-12-19,194.28,210.99,204.69,194.86,19402.526
2,2021-12-18,201.84,216.28,213.06,204.65,52258.387
3,2021-12-17,177.76,214.0,187.06,212.81,42721.507
4,2021-12-16,186.28,199.63,192.06,187.18,26734.896
5,2021-12-15,174.72,197.97,186.57,191.74,26387.398
6,2021-12-14,177.08,190.84,180.97,186.61,28247.08
7,2021-12-13,175.18,200.81,198.52,180.97,38375.159
8,2021-12-12,190.04,201.89,196.41,198.62,15878.593
9,2021-12-11,180.29,197.22,182.85,196.28,19355.824
10,2021-12-10,182.1,202.99,192.6,183.08,25699.627
11,2021-12-09,192.32,223.39,220.14,192.7,39884.396
12,2021-12-08,212.38,228.83,223.85,220.08,31671.396
13,2021-12-07,219.69,230.87,223.01,223.81,19791.681
14,2021-12-06,193.14,227.05,211.89,223.53,41104.402
15,2021-12-05,205.69,226.03,221.31,211.89,32195.866
16,2021-12-04,193.03,255.09,254.16,221.2,36737.755
17,2021-12-03,247.14,275.77,270.25,254.46,22767.811
18,2021-12-02,264.41,274.78,272.06,270.19,13325.527
19,2021-12-01,267.72,286.9,278.65,272.13,15336.163
20,2021-11-30,277.09,297.34,290.02,278.7,15204.122
21,2021-11-29,280.61,291.59,287.66,290.05,22779.992
22,2021-11-28,260.33,289.2,270.45,287.55,33122.032
23,2021-11-27,261.08,276.13,262.03,270.37,24881.941
24,2021-11-26,244.0,289.85,288.64,261.8,40563.292
25,2021-11-25,274.44,291.34,277.17,288.07,25621.538
26,2021-11-24,271.19,292.25,292.1,277.33,18345.488
27,2021-11-23,275.49,293.13,287.99,292.11,18961.37
28,2021-11-22,281.79,305.17,304.5,287.64,17059.566
29,2021-11-21,303.73,315.59,315.29,304.55,8317.44
30,2021-11-20,299.34,317.78,308.45,315.26,9184.167
31,2021-11-19,289.02,310.58,293.71,308.44,17175.971
32,2021-11-18,286.25,324.98,321.73,293.94,27756.508
33,2021-11-17,305.35,325.44,312.69,321.69,23860.537
34,2021-11-16,296.24,332.85,332.65,312.79,38917.428
35,2021-11-15,329.6,355.07,346.32,332.68,19856.115
36,2021-11-14,336.81,360.0,355.09,346.56,31890.386
37,2021-11-13,326.41,355.08,326.53,355.08,41581.953
38,2021-11-12,313.76,337.44,335.04,326.28,21184.759
39,2021-11-11,320.4,344.13,326.89,335.17,27958.729
40,2021-11-10,308.2,363.95,356.42,327.12,40530.019
41,2021-11-09,355.26,371.21,359.88,356.09,21561.393
42,2021-11-08,351.94,363.23,362.84,359.87,23233.72
43,2021-11-07,351.1,368.64,355.19,362.99,17134.8
44,2021-11-06,335.3,357.7,357.4,355.18,25001.363
45,2021-11-05,353.29,377.94,366.44,357.5,24034.329
46,2021-11-04,357.13,392.0,384.31,366.3,27375.052
47,2021-11-03,350.37,400.0,361.9,384.67,67823.745
48,2021-11-02,355.37,376.88,364.6,361.25,31781.821
49,2021-11-01,325.68,369.54,346.51,364.41,58998.97
50,2021-10-31,318.02,359.31,319.18,346.33,59516.407
51,2021-10-30,311.78,329.14,328.53,319.5,19150.63
52,2021-10-29,310.97,332.44,312.18,328.39,33711.545
53,2021-10-28,301.08,319.45,302.55,312.38,30934.719
54,2021-10-27,295.11,352.66,342.4,302.45,55909.197
55,2021-10-26,321.18,360.97,322.45,341.98,52829.096
56,2021-10-25,306.25,323.2,308.33,322.32,19780.246
57,2021-10-24,301.15,316.96,311.69,308.33,22611.759
58,2021-10-23,306.0,317.84,315.44,311.78,55492.466
59,2021-10-22,311.51,328.39,315.73,315.44,23293.547
60,2021-10-21,310.69,335.41,323.17,315.96,32723.074
61,2021-10-20,303.91,329.48,306.48,323.19,33907.084
62,2021-10-19,301.0,309.94,305.05,306.43,17878.845
63,2021-10-18,299.0,313.78,310.69,305.3,21870.564
64,2021-10-17,300.62,323.4,316.76,310.89,24156.882
65,2021-10-16,313.04,330.44,316.49,316.72,25481.652
66,2021-10-15,299.78,324.86,315.14,316.49,35410.335
67,2021-10-14,304.07,321.87,304.07,315.25,21949.681
68,2021-10-13,295.08,309.36,306.39,304.07,28164.745
69,2021-10-12,287.27,309.9,302.53,306.51,28378.006
70,2021-10-11,295.0,318.84,303.42,302.53,29925.919
71,2021-10-10,302.39,331.4,330.63,303.27,25098.107
72,2021-10-09,310.0,334.55,313.63,330.62,30895.219
73,2021-10-08,310.38,335.7,317.17,313.38,50578.313
74,2021-10-07,296.73,325.69,306.24,317.05,44406.37
75,2021-10-06,287.0,314.37,309.82,306.11,57309.926
76,2021-10-05,302.45,322.38,313.03,309.4,98582.264
77,2021-10-04,308.71,327.14,326.78,313.01,52640.596
78,2021-10-03,321.27,346.15,337.13,326.68,52817.126
79,2021-10-02,318.08,351.69,326.65,337.33,42267.698
80,2021-10-01,308.91,330.0,317.78,326.61,52972.89
81,2021-09-30,286.77,319.79,307.38,318.01,112844.078
82,2021-09-29,279.7,338.18,319.4,307.38,61581.323
83,2021-09-28,319.0,342.93,337.93,319.65,12198.695
84,2021-09-27,337.82,375.0,354.73,338.15,21644.895
85,2021-09-26,310.1,357.95,331.09,354.77,27990.63
86,2021-09-25,327.58,347.22,340.88,331.17,12665.086
87,2021-09-24,316.54,376.0,373.98,340.88,33069.889
88,2021-09-23,337.28,375.42,347.84,374.06,28150.657
89,2021-09-22,305.66,348.75,312.66,347.91,21799.938
