,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.09266,0.1543,0.09822,0.13612,663688604
1,2021-12-19,0.09,0.1003,0.09518,0.09826,77075199
2,2021-12-18,0.0895,0.09946,0.09588,0.09559,63872335
3,2021-12-17,0.093,0.11235,0.10574,0.09601,89297980
4,2021-12-16,0.10211,0.1158,0.10471,0.1063,98678089
5,2021-12-15,0.09255,0.118,0.10963,0.10471,164010136
6,2021-12-14,0.1,0.12859,0.12088,0.10933,179030577
7,2021-12-13,0.11583,0.162,0.14535,0.12056,164568703
8,2021-12-12,0.1355,0.17,0.15489,0.14531,190580342
9,2021-12-11,0.12831,0.215,0.17551,0.15424,417109995
10,2021-12-10,0.112,0.2695,0.12779,0.1755,1146271482
11,2021-12-09,0.09,0.135,0.10527,0.12779,419818246
12,2021-12-08,0.075,0.1285,0.075,0.10591,131768456
