,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.4769,0.5196,0.5135,0.5003,76571417.1
1,2021-12-19,0.513,0.5411,0.526,0.5137,44808619.4
2,2021-12-18,0.511,0.5377,0.5209,0.526,43672143.9
3,2021-12-17,0.51,0.544,0.5384,0.5208,58082954.1
4,2021-12-16,0.5358,0.571,0.557,0.5381,50383767.5
5,2021-12-15,0.5126,0.575,0.5423,0.5568,79071712.3
6,2021-12-14,0.5202,0.5517,0.5307,0.5423,66153860.0
7,2021-12-13,0.523,0.6055,0.6032,0.531,85386464.6
8,2021-12-12,0.5712,0.6229,0.5787,0.6035,84495321.8
9,2021-12-11,0.538,0.5826,0.5476,0.5787,51347281.9
10,2021-12-10,0.5448,0.597,0.5649,0.5479,88179771.1
11,2021-12-09,0.5587,0.6212,0.6095,0.5649,105164835.0
12,2021-12-08,0.5852,0.625,0.6067,0.6094,103763720.8
13,2021-12-07,0.594,0.6557,0.5958,0.6065,202782888.4
14,2021-12-06,0.5101,0.6041,0.5632,0.5954,178261032.8
15,2021-12-05,0.5357,0.6152,0.6062,0.5631,122942658.0
16,2021-12-04,0.4865,0.6447,0.6393,0.6058,285843558.2
17,2021-12-03,0.5846,0.7032,0.6925,0.6393,185513040.6
18,2021-12-02,0.6777,0.7218,0.7179,0.6921,150403643.7
19,2021-12-01,0.6851,0.7789,0.6886,0.7179,241199916.3
20,2021-11-30,0.662,0.7216,0.71,0.6886,235984188.7
21,2021-11-29,0.702,0.7732,0.751,0.7102,201447136.6
22,2021-11-28,0.685,0.7823,0.777,0.7511,269678479.3
23,2021-11-27,0.6805,0.8225,0.6846,0.777,357352860.2
24,2021-11-26,0.643,0.8118,0.8108,0.685,417224691.6
25,2021-11-25,0.7386,0.915,0.8858,0.8108,579453327.9
26,2021-11-24,0.821,0.9889,0.8864,0.8858,642631262.5
27,2021-11-23,0.7115,0.93,0.727,0.8868,582346241.4
28,2021-11-22,0.6524,0.7848,0.7241,0.7271,552400138.0
29,2021-11-21,0.5632,0.85,0.5751,0.7241,737357517.6
30,2021-11-20,0.531,0.587,0.5682,0.5751,186391519.2
31,2021-11-19,0.4812,0.5728,0.4989,0.5682,259251361.8
32,2021-11-18,0.473,0.625,0.5451,0.4996,600668276.9
33,2021-11-17,0.3645,0.69,0.4121,0.545,850918212.7
34,2021-11-16,0.3891,0.461,0.4444,0.4123,165991921.2
35,2021-11-15,0.4325,0.54,0.4377,0.4438,333352515.8
36,2021-11-14,0.38,0.4447,0.3854,0.4381,142648651.8
37,2021-11-13,0.3559,0.4384,0.3588,0.3854,207466678.3
38,2021-11-12,0.33,0.36,0.3469,0.359,63988657.2
39,2021-11-11,0.3222,0.3493,0.3293,0.3472,61939987.0
40,2021-11-10,0.31,0.366,0.3502,0.3294,121170095.3
41,2021-11-09,0.34,0.3992,0.3929,0.3501,168870363.9
42,2021-11-08,0.3484,0.419,0.3509,0.3932,271470197.6
43,2021-11-07,0.3261,0.369,0.3364,0.3507,129612478.0
44,2021-11-06,0.31,0.38,0.3757,0.3364,209079420.2
45,2021-11-05,0.2803,0.42,0.2873,0.3757,612450777.5
46,2021-11-04,0.255,0.345,0.2751,0.2872,407243902.8
47,2021-11-03,0.25,0.2999,0.255,0.2752,160750966.3
