,Date,Open,High,Low,Close,Volume
0,2021-11-06,4.036,4.193,4.0741,4.1917,499222.32
1,2021-11-05,4.0227,4.2223,4.1581,4.0748,2310606.42
2,2021-11-04,3.71,4.5398,4.398,4.1582,4770431.84
3,2021-11-03,4.0344,4.6108,4.2937,4.3977,6393709.55
4,2021-11-02,4.035,4.6382,4.5118,4.2925,4265226.31
5,2021-11-01,4.1637,4.59,4.4267,4.5077,5574581.23
6,2021-10-31,4.2972,4.7459,4.7434,4.4262,6968338.16
7,2021-10-30,4.56,5.3236,4.6715,4.7422,8301547.11
8,2021-10-29,4.5602,5.0093,4.7579,4.6737,6096572.91
9,2021-10-28,4.4427,5.51,4.4478,4.7527,17525835.6
10,2021-10-27,4.0513,4.7167,4.6357,4.4468,8750041.4
11,2021-10-26,4.5162,5.7,4.8079,4.6339,16818593.68
12,2021-10-25,3.4829,4.8836,3.5015,4.8092,16717886.88
13,2021-10-24,3.456,3.948,3.6941,3.5013,8644943.0
14,2021-10-23,3.1732,3.7966,3.3392,3.6941,8518948.39
15,2021-10-22,2.857,3.3744,2.8584,3.3353,7243572.64
16,2021-10-21,2.8371,3.0605,2.9389,2.8585,4269584.34
17,2021-10-20,2.7914,2.9716,2.7928,2.9381,3697090.35
18,2021-10-19,2.6829,2.846,2.7957,2.7962,2255232.02
19,2021-10-18,2.722,2.8741,2.8699,2.7943,2013572.36
20,2021-10-17,2.725,2.9179,2.9042,2.8699,2232197.57
21,2021-10-16,2.881,3.0813,2.8972,2.9073,2507537.77
22,2021-10-15,2.8046,3.014,2.8902,2.8979,3479955.13
23,2021-10-14,2.8564,3.1541,2.9604,2.8902,4742026.98
24,2021-10-13,2.647,3.0011,2.6852,2.9601,7298042.21
25,2021-10-12,2.52,2.705,2.696,2.6875,2415969.67
26,2021-10-11,2.6348,2.812,2.696,2.6948,2409447.43
27,2021-10-10,2.6794,2.9108,2.9108,2.6976,3181525.89
28,2021-10-09,2.8667,3.0959,2.9606,2.9105,5102920.02
29,2021-10-08,2.7517,2.9647,2.8137,2.9579,3408119.57
30,2021-10-07,2.6497,2.9005,2.7383,2.8128,4348751.47
31,2021-10-06,2.6274,2.9486,2.9395,2.7378,4811114.64
32,2021-10-05,2.7572,3.0374,2.881,2.9405,7021564.21
33,2021-10-04,2.634,2.9117,2.8175,2.8814,6906239.12
34,2021-10-03,2.4816,2.962,2.5356,2.8148,7921899.41
35,2021-10-02,2.4583,2.6555,2.5343,2.5345,3339903.87
36,2021-10-01,2.285,2.56,2.3326,2.5345,4510421.22
37,2021-09-30,2.253,2.3995,2.2884,2.3346,3492951.14
38,2021-09-29,2.2123,2.4005,2.226,2.2879,2493944.98
39,2021-09-28,2.2209,2.4185,2.369,2.2278,4820003.46
40,2021-09-27,2.3601,2.7514,2.5455,2.3695,7227516.56
