,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.6044,0.6504,0.6462,0.6296,2589964.2
1,2021-12-19,0.6429,0.6733,0.661,0.6462,1442230.1
2,2021-12-18,0.6411,0.6839,0.65,0.66,2125920.6
3,2021-12-17,0.6163,0.6966,0.6543,0.6501,4539121.7
4,2021-12-16,0.6521,0.7039,0.6623,0.6545,3945777.0
5,2021-12-15,0.5895,0.6789,0.6308,0.6623,5680485.2
6,2021-12-14,0.5959,0.6443,0.6161,0.6307,4558279.7
7,2021-12-13,0.6037,0.7232,0.7173,0.6161,6378763.9
8,2021-12-12,0.6914,0.7407,0.7198,0.7173,3134739.6
9,2021-12-11,0.6708,0.7252,0.6801,0.718,3867107.1
10,2021-12-10,0.6783,0.7541,0.7191,0.6817,5162554.8
11,2021-12-09,0.7104,0.8116,0.8051,0.7172,4030551.6
12,2021-12-08,0.7303,0.8432,0.7534,0.8042,9171312.8
13,2021-12-07,0.7365,0.8106,0.7845,0.7536,8123782.3
14,2021-12-06,0.6666,0.7938,0.7824,0.7853,12506255.7
15,2021-12-05,0.738,0.8716,0.8536,0.7824,11978158.0
16,2021-12-04,0.7113,1.051,1.0477,0.8537,22554625.0
17,2021-12-03,1.0152,1.1367,1.0371,1.0458,21774873.4
18,2021-12-02,0.9804,1.0834,1.0793,1.0344,11959193.5
19,2021-12-01,0.9934,1.1617,1.0,1.08,16891908.9
20,2021-11-30,0.9881,1.0522,1.0274,0.9986,8046381.2
21,2021-11-29,0.9701,1.0588,0.9886,1.0267,9528791.7
22,2021-11-28,0.9078,1.0068,1.0047,0.9884,9504371.4
23,2021-11-27,0.9788,1.0791,0.9847,1.0054,17340754.2
24,2021-11-26,0.9035,1.0584,1.0499,0.9859,19283355.0
25,2021-11-25,0.946,1.2085,0.9488,1.0478,47686637.8
26,2021-11-24,0.9339,0.9918,0.9857,0.9475,7224669.5
27,2021-11-23,0.9208,1.0387,0.9331,0.9857,16267866.7
28,2021-11-22,0.92,0.989,0.9828,0.933,9966215.9
29,2021-11-21,0.9818,1.0997,1.0681,0.9829,10646483.7
30,2021-11-20,0.9664,1.1246,0.9701,1.0691,17040048.6
31,2021-11-19,0.9127,1.0224,0.9247,0.9707,12866571.5
32,2021-11-18,0.9071,1.1615,1.0449,0.9253,28895154.2
33,2021-11-17,0.908,1.0719,0.9699,1.0439,18209954.0
34,2021-11-16,0.8902,1.0747,1.0735,0.9699,17601306.8
35,2021-11-15,1.0517,1.1543,1.1272,1.0739,11474833.4
36,2021-11-14,1.105,1.2267,1.1537,1.1266,15188893.7
37,2021-11-13,1.1251,1.3128,1.2309,1.1537,28149317.2
38,2021-11-12,1.152,1.4384,1.4196,1.231,61124417.5
39,2021-11-11,0.9602,1.74,1.0024,1.4182,195643057.9
40,2021-11-10,0.8412,1.2,0.8591,1.0023,85783595.9
41,2021-11-09,0.8036,0.8897,0.8329,0.8586,9198874.8
42,2021-11-08,0.825,0.8626,0.8371,0.8318,5288822.7
43,2021-11-07,0.8148,0.8442,0.8234,0.8367,3624661.7
44,2021-11-06,0.7773,0.844,0.797,0.8241,6720801.8
45,2021-11-05,0.7787,0.8407,0.8329,0.7963,7396750.5
46,2021-11-04,0.8,1.09,0.816,0.8345,39056613.3
47,2021-11-03,0.76,0.82,0.7822,0.817,11712761.7
48,2021-11-02,0.7556,0.8159,0.7677,0.7819,11213664.5
49,2021-11-01,0.7383,0.8083,0.7777,0.7669,6946506.6
50,2021-10-31,0.7327,0.7998,0.7387,0.7777,10544028.8
51,2021-10-30,0.721,0.83,0.7467,0.7396,10153427.0
52,2021-10-29,0.7231,0.768,0.7289,0.747,7329039.8
53,2021-10-28,0.702,0.7452,0.7044,0.7289,9591733.5
54,2021-10-27,0.7031,0.8172,0.8041,0.704,10297071.7
55,2021-10-26,0.7924,0.8898,0.8091,0.8038,19009022.9
56,2021-10-25,0.7235,0.9876,0.7242,0.8091,36543674.5
57,2021-10-24,0.7112,0.7834,0.7652,0.7242,7859369.9
58,2021-10-23,0.7594,0.8034,0.7996,0.7643,6225200.7
59,2021-10-22,0.7917,0.85,0.8184,0.7996,12504448.5
60,2021-10-21,0.7905,0.879,0.8757,0.8174,26076968.9
61,2021-10-20,0.7472,1.07,0.749,0.8743,83632294.9
62,2021-10-19,0.7061,0.755,0.727,0.749,10265253.3
63,2021-10-18,0.6981,0.7746,0.6993,0.7277,16363067.2
64,2021-10-17,0.6827,0.847,0.6898,0.6984,21384173.7
65,2021-10-16,0.6597,0.7197,0.6706,0.6911,7360771.3
66,2021-10-15,0.6344,0.751,0.6755,0.6706,18834946.5
67,2021-10-14,0.6158,0.699,0.6231,0.6755,8998712.4
68,2021-10-13,0.5812,0.6539,0.602,0.6227,7687001.1
69,2021-10-12,0.5781,0.61,0.61,0.6023,5174152.9
70,2021-10-11,0.6053,0.6458,0.6089,0.61,4383740.8
71,2021-10-10,0.6061,0.6502,0.6239,0.6094,5210047.7
72,2021-10-09,0.6111,0.719,0.616,0.6243,7129922.6
73,2021-10-08,0.6096,0.6391,0.6316,0.6159,2841490.5
74,2021-10-07,0.6,0.663,0.6492,0.6319,5138717.7
75,2021-10-06,0.6045,0.726,0.6627,0.6496,6823485.0
76,2021-10-05,0.6508,0.69,0.6799,0.6625,3743164.5
77,2021-10-04,0.6565,0.7094,0.7084,0.6782,5324700.9
78,2021-10-03,0.6404,0.787,0.6532,0.7109,16320604.8
79,2021-10-02,0.6097,0.6803,0.6301,0.6536,5585460.7
80,2021-10-01,0.5806,0.6413,0.5839,0.6309,5084104.5
81,2021-09-30,0.5564,0.5879,0.5593,0.5838,2786111.8
82,2021-09-29,0.5377,0.6,0.5408,0.5593,5244352.5
83,2021-09-28,0.539,0.5978,0.5714,0.5406,4599565.2
84,2021-09-27,0.5668,0.6426,0.5709,0.5709,8582067.3
85,2021-09-26,0.5271,0.588,0.5868,0.5717,3339216.3
86,2021-09-25,0.5372,0.6323,0.5771,0.5868,6653282.5
87,2021-09-24,0.5273,0.6459,0.6373,0.5761,5089220.9
88,2021-09-23,0.5966,0.6619,0.6083,0.6372,10666349.3
89,2021-09-22,0.495,0.6331,0.5005,0.6091,12228125.0
90,2021-09-21,0.493,0.5852,0.5537,0.5004,8477423.3
91,2021-09-20,0.5382,0.6516,0.6512,0.5543,7818760.0
92,2021-09-19,0.6385,0.716,0.6675,0.6508,6984620.4
93,2021-09-18,0.627,0.7175,0.632,0.6675,4487027.3
94,2021-09-17,0.6253,0.6915,0.6679,0.6312,3537172.1
95,2021-09-16,0.6537,0.707,0.6888,0.664,4967993.6
96,2021-09-15,0.6432,0.77,0.6501,0.6896,11903173.4
97,2021-09-14,0.6094,0.6566,0.6195,0.6501,5784773.1
98,2021-09-13,0.5996,0.684,0.6727,0.6206,7682362.1
99,2021-09-12,0.6359,0.6873,0.6498,0.6747,5037144.7
100,2021-09-11,0.6239,0.6768,0.637,0.6513,4609573.9
101,2021-09-10,0.6179,0.7076,0.6716,0.637,6445849.3
102,2021-09-09,0.6598,0.7111,0.6622,0.6715,6031114.5
103,2021-09-08,0.6,0.7131,0.7037,0.6604,6692887.0
104,2021-09-07,0.6188,0.8855,0.8772,0.7017,12814636.1
105,2021-09-06,0.8556,0.9164,0.8795,0.8781,7335342.4
106,2021-09-05,0.821,0.96,0.8326,0.8791,18948222.1
107,2021-09-04,0.8086,0.8536,0.82,0.8329,4200474.5
108,2021-09-03,0.795,0.86,0.8089,0.8204,5931282.0
109,2021-09-02,0.8048,0.9193,0.8141,0.8089,10736387.1
110,2021-09-01,0.7529,0.83,0.7839,0.8141,6992111.5
111,2021-08-31,0.7672,0.8286,0.7696,0.7854,7039637.1
112,2021-08-30,0.7611,0.8269,0.7919,0.7684,6518547.2
113,2021-08-29,0.762,0.8794,0.7958,0.7925,8249465.0
114,2021-08-28,0.7501,0.82,0.7733,0.7967,6990796.5
115,2021-08-27,0.7099,0.7842,0.7318,0.7753,5099258.7
116,2021-08-26,0.7291,0.8307,0.81,0.7317,7766382.6
117,2021-08-25,0.7579,0.941,0.7589,0.8087,25205390.3
118,2021-08-24,0.7423,0.8368,0.7685,0.7596,13078610.0
119,2021-08-23,0.7511,0.8192,0.7664,0.7681,6901278.2
120,2021-08-22,0.7443,0.7896,0.7756,0.7649,3987276.3
121,2021-08-21,0.7734,0.828,0.7907,0.7764,4327344.4
122,2021-08-20,0.7523,0.8338,0.7579,0.7909,8055003.7
123,2021-08-19,0.719,0.7793,0.7401,0.7572,8024068.7
124,2021-08-18,0.7009,0.7745,0.7122,0.74,8191654.8
125,2021-08-17,0.7087,0.8044,0.7585,0.7117,9525572.5
126,2021-08-16,0.7411,0.8445,0.7506,0.7582,27327199.3
127,2021-08-15,0.6773,0.9478,0.7076,0.7506,45062187.9
128,2021-08-14,0.6808,0.7398,0.7245,0.7064,6266541.2
129,2021-08-13,0.6908,0.7546,0.6938,0.7232,9083795.7
130,2021-08-12,0.6628,0.7436,0.7052,0.6937,13426399.1
131,2021-08-11,0.7036,0.7768,0.7475,0.7047,18416550.0
132,2021-08-10,0.723,0.9759,0.8186,0.7468,62655219.3
133,2021-08-09,0.4601,1.2732,0.4901,0.8155,158083953.1
134,2021-08-08,0.4356,0.4936,0.473,0.4896,5072535.4
135,2021-08-07,0.4503,0.493,0.4582,0.4719,4519630.7
136,2021-08-06,0.4344,0.4735,0.4422,0.458,3762332.7
137,2021-08-05,0.426,0.449,0.443,0.4419,2435031.8
138,2021-08-04,0.4209,0.4486,0.4285,0.4423,2779473.1
139,2021-08-03,0.4228,0.4777,0.4329,0.4286,6373305.7
140,2021-08-02,0.4091,0.4413,0.4143,0.4328,1872702.0
141,2021-08-01,0.4124,0.453,0.4318,0.4135,3512950.4
142,2021-07-31,0.4057,0.452,0.422,0.4316,6395206.8
143,2021-07-30,0.388,0.4273,0.4125,0.4221,3260982.3
144,2021-07-29,0.392,0.419,0.4036,0.4117,2909649.5
145,2021-07-28,0.388,0.43,0.4055,0.4041,4252414.4
146,2021-07-27,0.3764,0.4215,0.3912,0.406,4247594.5
147,2021-07-26,0.3706,0.4864,0.3718,0.3912,11674823.8
148,2021-07-25,0.3589,0.3872,0.3712,0.3725,4396860.8
149,2021-07-24,0.3608,0.3927,0.37,0.3717,3724231.3
150,2021-07-23,0.3432,0.3807,0.3623,0.3708,3055306.7
151,2021-07-22,0.3418,0.3622,0.3476,0.3622,2509811.2
152,2021-07-21,0.3142,0.3662,0.3227,0.3478,4561441.8
153,2021-07-20,0.3132,0.3622,0.3546,0.3228,5595990.2
154,2021-07-19,0.3543,0.3933,0.3867,0.3545,3463452.9
155,2021-07-18,0.3858,0.4075,0.3908,0.3869,1883683.5
156,2021-07-17,0.3856,0.4103,0.4037,0.3908,2869120.9
157,2021-07-16,0.4025,0.4294,0.4203,0.4032,1924917.2
158,2021-07-15,0.4044,0.4534,0.439,0.4192,4688875.1
159,2021-07-14,0.4024,0.4707,0.4214,0.4388,7961463.9
160,2021-07-13,0.4148,0.4358,0.4336,0.4214,7018218.1
161,2021-07-12,0.4209,0.47,0.4575,0.4348,3829375.2
162,2021-07-11,0.4444,0.4782,0.4577,0.4568,7096827.2
163,2021-07-10,0.4123,0.51,0.4137,0.4573,15755474.7
164,2021-07-09,0.3993,0.4352,0.4054,0.4143,2377426.3
165,2021-07-08,0.4012,0.445,0.443,0.4064,4828326.3
166,2021-07-07,0.4251,0.4668,0.4336,0.4435,6618809.9
167,2021-07-06,0.4135,0.44,0.4164,0.4337,6174255.6
168,2021-07-05,0.4082,0.4392,0.4392,0.4161,5184784.0
169,2021-07-04,0.4344,0.4625,0.4429,0.4396,4689323.9
170,2021-07-03,0.4314,0.4541,0.4498,0.443,3664645.3
171,2021-07-02,0.3983,0.532,0.4155,0.4498,15836903.0
172,2021-07-01,0.4073,0.4519,0.4489,0.4165,3284549.0
173,2021-06-30,0.4238,0.478,0.4769,0.4495,5822410.9
174,2021-06-29,0.465,0.5187,0.4717,0.4777,8661154.1
175,2021-06-28,0.45,0.507,0.4923,0.471,13103767.2
176,2021-06-27,0.3895,0.589,0.414,0.4928,50712415.0
177,2021-06-26,0.3235,0.4379,0.351,0.4141,16994831.3
178,2021-06-25,0.345,0.4036,0.3881,0.3507,5705899.3
