,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.3041,0.3288,0.3246,0.3189,702654.7
1,2021-12-19,0.3228,0.3366,0.3323,0.3247,234586.1
2,2021-12-18,0.3173,0.3374,0.3247,0.3323,516003.5
3,2021-12-17,0.31,0.3447,0.3347,0.3243,940073.4
4,2021-12-16,0.334,0.3537,0.3441,0.3342,619183.5
5,2021-12-15,0.3083,0.348,0.3276,0.3436,459978.8
6,2021-12-14,0.3069,0.3299,0.3174,0.3271,713279.5
7,2021-12-13,0.3116,0.3609,0.3589,0.3175,766727.6
8,2021-12-12,0.3456,0.3627,0.3576,0.3589,395292.3
9,2021-12-11,0.331,0.3656,0.3376,0.3576,739422.2
10,2021-12-10,0.3367,0.3715,0.3597,0.3367,672060.7
11,2021-12-09,0.3579,0.4089,0.4063,0.3587,1002442.1
12,2021-12-08,0.3725,0.4174,0.3939,0.4062,870949.2
13,2021-12-07,0.3819,0.4083,0.385,0.3966,1626198.8
14,2021-12-06,0.3209,0.3953,0.3637,0.3849,3806985.2
15,2021-12-05,0.3467,0.4061,0.4039,0.3635,2415708.3
16,2021-12-04,0.326,0.4734,0.4733,0.4009,7215659.0
17,2021-12-03,0.4662,0.5356,0.5356,0.4732,2029783.9
18,2021-12-02,0.5201,0.5803,0.5696,0.5358,1568784.3
19,2021-12-01,0.5356,0.586,0.5356,0.5697,1428676.7
20,2021-11-30,0.5339,0.5683,0.5683,0.5364,827808.0
21,2021-11-29,0.5557,0.5938,0.576,0.5706,1305010.7
22,2021-11-28,0.5302,0.65,0.6198,0.5767,5789185.8
23,2021-11-27,0.5398,0.6317,0.5796,0.6187,7703803.9
24,2021-11-26,0.4996,0.6357,0.5126,0.5793,15045660.7
25,2021-11-25,0.4883,0.5345,0.5013,0.5125,3548116.8
26,2021-11-24,0.4869,0.5212,0.5212,0.5021,1627608.0
27,2021-11-23,0.5064,0.5416,0.5416,0.5233,4221958.2
28,2021-11-22,0.5311,0.65,0.5511,0.5416,13079524.0
29,2021-11-21,0.5173,0.58,0.5615,0.5502,2577693.6
30,2021-11-20,0.4775,0.5789,0.4789,0.5607,7785848.2
31,2021-11-19,0.4384,0.4899,0.4569,0.4785,3696126.2
32,2021-11-18,0.44,0.519,0.504,0.4561,2927844.7
33,2021-11-17,0.4437,0.5398,0.4651,0.5031,6848452.1
34,2021-11-16,0.4208,0.4924,0.4921,0.4648,2542935.5
35,2021-11-15,0.479,0.52,0.4908,0.4924,3784852.1
36,2021-11-14,0.4654,0.5003,0.4671,0.4875,2066987.7
37,2021-11-13,0.4572,0.472,0.4572,0.4686,1172915.8
38,2021-11-12,0.4429,0.4687,0.4673,0.4562,1215177.9
39,2021-11-11,0.453,0.49,0.4604,0.468,3097101.0
40,2021-11-10,0.4288,0.505,0.4895,0.4615,4137744.9
41,2021-11-09,0.48,0.52,0.4913,0.4892,3930858.0
42,2021-11-08,0.4755,0.5023,0.4919,0.4913,2960330.0
43,2021-11-07,0.4872,0.5044,0.4981,0.4912,1691368.2
44,2021-11-06,0.4778,0.5135,0.5135,0.4993,1266002.4
45,2021-11-05,0.4897,0.531,0.49,0.5148,3487556.9
46,2021-11-04,0.4783,0.5486,0.4903,0.4917,8089361.7
47,2021-11-03,0.475,0.65,0.5079,0.4916,6966685.7
