,Date,Open,High,Low,Close,Volume
0,2021-11-06,1.000239,1.0025,1.000442,1.000354,2750619.86251
1,2021-11-05,1.0,1.002424,1.001147,1.000482,15461489.82194
2,2021-11-04,0.999604,1.001935,1.000388,1.001149,18539127.32997
3,2021-11-03,0.99954,1.007576,1.000518,1.000332,22752753.0001
4,2021-11-02,0.9995,1.0055,1.000806,1.000575,17512660.44394
5,2021-11-01,0.999895,1.002784,1.000098,1.000806,12626143.19455
6,2021-10-31,0.9996,1.012022,1.000194,1.000098,26486672.06835
7,2021-10-30,0.9996,1.001584,0.999703,1.000162,16495333.49402
8,2021-10-29,0.998633,1.004748,1.000487,0.999705,14658227.91374
9,2021-10-28,0.998689,1.009,1.00009,1.000384,27155980.82515
10,2021-10-27,0.996002,1.0012,1.000106,0.999955,25364998.5071
11,2021-10-26,0.997811,1.000596,1.000075,1.000106,14085291.23612
12,2021-10-25,0.999604,1.000998,1.000016,1.000075,10340640.18945
13,2021-10-24,0.999539,1.000993,1.000505,1.000019,12373044.26556
14,2021-10-23,0.999751,1.001,1.000205,1.000498,7475349.13616
15,2021-10-22,0.998977,1.001,1.0,1.000205,10825266.23708
16,2021-10-21,0.991,1.001,1.000111,1.000015,16888483.28901
17,2021-10-20,0.9991,1.000858,0.999882,1.000111,11283894.87364
18,2021-10-19,0.998837,1.00033,0.999633,0.999864,6873007.81615
19,2021-10-18,0.999009,1.001758,1.00014,0.99964,8664959.44342
20,2021-10-17,0.998625,1.000229,0.999863,1.00014,6216775.51377
21,2021-10-16,0.9995,1.000596,1.000074,0.999864,7757022.58819
22,2021-10-15,0.99,1.001609,1.000374,1.000074,25719928.48959
23,2021-10-14,0.99913,1.001363,1.000611,1.000383,9693016.53623
24,2021-10-13,0.99859,1.000791,1.000088,1.000585,11356430.68229
25,2021-10-12,0.999218,1.00038,0.999997,1.000088,9541630.10715
26,2021-10-11,0.9996,1.00105,1.000686,0.999969,21642613.388
27,2021-10-10,0.999824,1.00094,1.000578,1.000653,5295558.06947
28,2021-10-09,1.0,1.000751,1.000358,1.000577,6273733.05844
29,2021-10-08,0.998407,1.000612,1.000205,1.00036,16578661.81003
30,2021-10-07,1.000004,1.00095,1.000367,1.000208,19270583.88166
31,2021-10-06,0.999604,1.000821,1.000746,1.000367,14054244.3855
32,2021-10-05,0.99901,1.001,1.000483,1.000769,14809925.07297
33,2021-10-04,1.000004,1.001568,1.000592,1.000484,10365377.17869
34,2021-10-03,1.000338,1.001724,1.000646,1.000595,7466098.38361
35,2021-10-02,1.000113,1.001231,1.000599,1.000605,7716088.26902
36,2021-10-01,0.999467,1.001415,1.000396,1.000598,13229533.6104
37,2021-09-30,0.999316,1.000598,1.000308,1.000396,11075087.58738
38,2021-09-29,0.999625,1.00047,1.00027,1.000308,6469486.47887
39,2021-09-28,0.9998,1.000337,1.000209,1.0003,6961611.63488
40,2021-09-27,1.00012,1.00076,1.000372,1.00021,5506531.14262
41,2021-09-26,1.0,1.001,1.000342,1.000373,5920676.08527
42,2021-09-25,1.00001,1.000698,1.000451,1.000342,5208775.96869
43,2021-09-24,0.999924,1.002794,1.000174,1.000454,17486335.52052
44,2021-09-23,0.999174,1.000986,1.000315,1.000175,14127980.44857
45,2021-09-22,0.999,1.00068,1.000172,1.000316,14495763.76975
46,2021-09-21,0.999245,1.0007,1.00019,1.000172,21393291.01681
47,2021-09-20,0.99998,1.001,1.000232,1.000225,23860239.16133
48,2021-09-19,1.0,1.00068,1.000038,1.00022,5404062.84535
49,2021-09-18,1.0,1.001,1.000271,1.000038,6093269.38162
50,2021-09-17,0.999724,1.001,0.999918,1.000272,9238019.79501
51,2021-09-16,0.999875,1.013316,1.000494,0.999921,16290531.03008
52,2021-09-15,0.999703,1.00098,0.999853,1.000491,7171394.69287
53,2021-09-14,0.99905,1.00089,1.000327,0.999823,9110846.66792
54,2021-09-13,0.999613,1.000878,1.000429,1.000307,11881109.80296
55,2021-09-12,0.999194,1.000574,0.999896,1.000429,8370867.75186
56,2021-09-11,0.999,1.00019,0.999893,0.999884,7682129.81708
57,2021-09-10,0.999143,1.000514,1.000257,0.999757,15019171.8732
58,2021-09-09,0.999477,1.00049,1.000055,1.000257,13800867.43642
59,2021-09-08,0.9988,1.000499,0.999818,1.000055,17089238.55732
60,2021-09-07,0.997,1.020176,1.000229,0.999818,41314781.6685
61,2021-09-06,0.9989,1.000775,0.999925,1.000237,9354640.69418
62,2021-09-05,0.99966,1.00034,0.999976,0.999925,7002498.49574
63,2021-09-04,0.999295,1.00035,1.000001,0.999974,9105616.48195
64,2021-09-03,0.999775,1.000726,1.000335,1.000005,10496719.78662
65,2021-09-02,1.0003,1.00109,1.000698,1.00033,16701308.90697
66,2021-09-01,1.00031,1.000708,1.000658,1.000698,8681712.19134
67,2021-08-31,1.00035,1.001,1.000819,1.000669,11124001.60013
68,2021-08-30,1.000428,1.00206,1.00084,1.000869,13165696.45871
69,2021-08-29,1.00058,1.001158,1.00096,1.000814,4939211.88068
70,2021-08-28,1.0006,1.001651,1.000917,1.000962,6524904.18833
71,2021-08-27,1.0003,1.001458,1.000834,1.000943,8670454.25005
72,2021-08-26,1.000657,1.001612,1.000754,1.000834,9375885.92983
73,2021-08-25,1.000261,1.001513,1.00107,1.000754,8768445.50991
74,2021-08-24,1.000543,1.001814,1.000671,1.001061,13812098.22841
75,2021-08-23,1.000052,1.001154,1.000745,1.000671,11009897.59215
76,2021-08-22,1.000201,1.001685,1.000314,1.000737,7603744.57603
77,2021-08-21,1.000061,1.000904,1.000718,1.000315,9473632.99286
78,2021-08-20,1.000105,1.000887,1.000853,1.000718,8757524.11636
79,2021-08-19,1.000136,1.001275,1.000302,1.000833,9955610.37924
80,2021-08-18,1.000008,1.000823,1.000612,1.000266,10745781.95836
81,2021-08-17,0.9996,1.000924,1.000275,1.000612,11408758.78576
82,2021-08-16,1.000085,1.0012,1.000966,1.00031,9696488.75464
83,2021-08-15,1.000838,1.00178,1.001089,1.000942,5861774.60386
84,2021-08-14,1.000692,1.001918,1.001751,1.001088,7556790.92839
85,2021-08-13,1.0002,1.00344,1.000728,1.001841,12512935.54624
86,2021-08-12,1.00055,1.0022,1.000601,1.000749,11490095.90947
87,2021-08-11,0.999477,1.00108,1.000769,1.000616,16282156.2032
88,2021-08-10,0.999782,1.00107,1.00037,1.000779,9016165.5776
89,2021-08-09,1.00003,1.001633,1.001085,1.00037,12016804.64542
90,2021-08-08,1.000237,1.001868,1.001174,1.001085,12377900.92665
91,2021-08-07,1.00054,1.00143,1.000749,1.001379,11819589.26296
92,2021-08-06,1.000576,1.0022,1.000706,1.000683,17331200.32017
93,2021-08-05,0.999844,1.0014,1.00034,1.000781,9230991.28088
94,2021-08-04,1.000035,1.00168,1.000521,1.00034,10196901.1745
95,2021-08-03,1.000321,1.001069,1.001043,1.000479,4990706.58018
