,Date,Open,High,Low,Close,Volume
0,2021-11-06,192.928,197.776,194.397,195.578,2279.21019043
1,2021-11-05,191.775,200.131,199.039,194.443,10801.84115839
2,2021-11-04,193.69,204.717,201.843,199.129,24231.6636031
3,2021-11-03,193.209,205.412,200.414,201.843,22778.81991341
4,2021-11-02,187.668,203.099,189.131,200.284,23979.98843135
5,2021-11-01,183.915,194.655,192.829,189.299,13449.94990397
6,2021-10-31,183.486,199.803,183.727,192.75,19483.9152329
7,2021-10-30,179.544,189.429,187.61,183.888,15009.2410012
8,2021-10-29,181.906,189.094,183.549,187.698,11749.54283736
9,2021-10-28,172.808,186.619,175.339,183.525,20567.91001762
10,2021-10-27,172.036,201.994,198.846,175.19,27803.66083722
11,2021-10-26,195.269,208.488,208.316,198.646,14493.18551923
12,2021-10-25,201.209,209.6,202.85,208.315,9802.58316141
13,2021-10-24,196.785,214.0,197.686,202.584,23660.99154573
14,2021-10-23,191.5,198.786,195.128,197.588,7178.89643581
15,2021-10-22,192.389,203.261,196.65,195.285,14486.35811516
16,2021-10-21,193.35,207.99,201.785,196.812,21552.61564951
17,2021-10-20,189.348,205.804,194.187,201.799,17638.18797734
18,2021-10-19,186.248,194.864,186.776,194.247,9450.99464046
19,2021-10-18,180.5,190.323,186.142,186.833,7176.75152677
20,2021-10-17,179.272,192.631,190.312,186.194,6821.43938363
21,2021-10-16,189.76,198.25,193.91,190.016,9903.17891925
22,2021-10-15,181.834,194.722,186.713,193.853,14670.90389031
23,2021-10-14,182.6,189.699,183.69,186.692,9367.18200572
24,2021-10-13,173.166,183.804,180.585,183.386,24089.13154606
25,2021-10-12,170.571,182.798,182.798,180.709,13796.20290905
26,2021-10-11,178.286,190.988,182.022,182.596,8606.11230274
27,2021-10-10,181.383,195.69,193.753,182.022,8435.6224834
28,2021-10-09,186.587,194.525,189.636,193.612,6738.05679292
29,2021-10-08,186.453,198.25,189.147,189.66,10849.00020826
30,2021-10-07,179.655,198.09,185.252,189.191,22197.96157302
31,2021-10-06,170.8,190.48,183.215,185.252,18433.41550803
32,2021-10-05,171.843,184.9,174.574,182.862,13633.15786191
33,2021-10-04,168.089,180.201,178.06,174.178,10267.45301178
34,2021-10-03,173.853,182.119,177.787,178.303,7755.29658028
35,2021-10-02,171.802,183.184,176.865,177.75,11326.36171358
36,2021-10-01,163.444,177.945,166.329,176.859,14878.86052262
37,2021-09-30,151.965,169.831,152.525,166.319,11792.10582193
38,2021-09-29,146.559,160.92,147.351,152.692,8936.23060931
39,2021-09-28,146.425,158.469,153.815,147.139,10096.10783631
40,2021-09-27,153.551,167.592,161.823,153.806,10036.64120433
41,2021-09-26,150.837,165.304,164.36,162.16,8998.29811482
42,2021-09-25,159.437,171.941,165.719,164.396,6932.6776315
43,2021-09-24,156.804,185.123,184.843,165.641,18359.30899313
44,2021-09-23,171.995,184.982,175.282,184.804,15212.44512479
45,2021-09-22,154.129,176.391,157.341,175.54,14997.23335854
46,2021-09-21,155.068,176.808,170.07,157.01,24740.28708313
47,2021-09-20,167.481,193.295,192.962,170.16,22748.3453026
48,2021-09-19,190.6,201.186,199.524,193.022,6600.13628913
49,2021-09-18,195.255,206.265,199.48,199.662,8977.63279471
50,2021-09-17,194.727,209.474,208.157,199.387,8579.44412523
51,2021-09-16,202.264,220.163,209.065,208.188,18471.49472198
52,2021-09-15,202.708,209.79,205.84,208.964,11264.9182823
53,2021-09-14,194.751,208.0,196.605,205.836,12376.57932624
54,2021-09-13,186.679,214.715,203.6,196.834,15090.2554997
55,2021-09-12,189.152,206.57,193.964,203.581,8550.12924896
56,2021-09-11,191.746,203.83,193.087,193.996,10454.38362253
57,2021-09-10,187.183,214.83,202.767,193.093,17287.47198985
58,2021-09-09,195.342,208.032,201.676,202.64,23048.30801519
59,2021-09-08,184.682,212.086,207.842,202.012,23725.14607221
60,2021-09-07,185.77,256.651,255.832,207.118,61651.26822132
61,2021-09-06,250.752,265.542,264.754,255.598,15213.18816714
62,2021-09-05,248.594,269.217,252.008,264.493,14548.70392877
63,2021-09-04,245.308,256.4,247.456,251.606,13496.94705626
64,2021-09-03,232.912,251.617,239.421,247.326,17147.86537275
65,2021-09-02,235.561,246.004,238.864,239.271,15393.40436256
66,2021-09-01,216.226,240.345,223.746,238.905,20238.86489195
67,2021-08-31,212.646,228.945,216.467,223.597,16843.69214511
68,2021-08-30,215.248,230.846,225.423,216.376,20169.19022266
69,2021-08-29,224.278,247.278,236.868,225.572,16247.33314637
70,2021-08-28,234.557,243.291,242.224,236.529,9045.90476613
71,2021-08-27,222.341,243.65,232.235,242.428,17751.23102276
72,2021-08-26,230.5,264.901,264.673,232.166,15770.4814348
73,2021-08-25,239.487,264.85,248.348,264.584,15695.71637667
74,2021-08-24,245.189,274.117,269.92,248.393,16053.372822
75,2021-08-23,254.895,285.0,255.464,270.599,39333.31475832
76,2021-08-22,230.401,257.0,237.212,255.333,12578.80822475
77,2021-08-21,226.81,249.0,232.734,237.196,18681.64100959
78,2021-08-20,218.123,235.611,220.164,232.88,18266.94358315
79,2021-08-19,199.13,221.398,209.702,220.259,17242.8391633
80,2021-08-18,186.275,213.651,194.427,209.821,23160.22961488
81,2021-08-17,186.426,211.53,201.321,194.501,16454.27756666
82,2021-08-16,199.08,216.877,216.039,201.023,14157.87105316
83,2021-08-15,191.647,217.373,199.455,216.221,15628.68882306
84,2021-08-14,190.527,204.718,204.645,199.429,17379.21640728
85,2021-08-13,177.846,204.71,180.219,204.49,14084.72206178
86,2021-08-12,170.342,190.516,181.154,180.31,14802.58978926
87,2021-08-11,175.764,187.999,175.873,181.313,17478.10681899
88,2021-08-10,169.297,180.208,179.164,176.011,14428.2325405
89,2021-08-09,156.459,181.6,162.038,179.036,19912.55649595
90,2021-08-08,159.527,172.435,170.486,162.037,14036.55420371
91,2021-08-07,164.37,173.606,167.488,170.526,16480.74010447
92,2021-08-06,160.255,168.308,164.577,167.493,11089.64622539
