,Date,Open,High,Low,Close,Volume
0,2021-11-06,5.9,6.04,5.95,5.93,15432.19
1,2021-11-05,5.93,6.08,5.94,5.96,38710.56
2,2021-11-04,5.92,6.45,6.44,5.93,93028.71
3,2021-11-03,6.1,7.5,7.36,6.44,239337.15
4,2021-11-02,5.83,7.5,5.85,7.35,291537.9
5,2021-11-01,5.75,6.24,5.96,5.84,166628.72
6,2021-10-31,5.75,7.8,5.95,5.96,572532.64
7,2021-10-30,5.75,6.3,5.93,5.94,92477.73
8,2021-10-29,5.61,6.22,5.66,5.94,108524.65
9,2021-10-28,5.56,5.98,5.58,5.66,72274.68
10,2021-10-27,5.55,6.33,5.79,5.58,126456.89
11,2021-10-26,5.75,5.97,5.87,5.76,72416.23
12,2021-10-25,5.78,5.97,5.79,5.85,52537.34
13,2021-10-24,5.71,6.25,5.87,5.79,116864.78
14,2021-10-23,5.79,5.92,5.87,5.85,35740.68
15,2021-10-22,5.83,6.01,5.93,5.87,68535.07
16,2021-10-21,5.93,6.26,6.23,5.93,99498.26
17,2021-10-20,6.08,6.53,6.19,6.24,305650.3
18,2021-10-19,5.74,7.86,5.75,6.2,1126253.26
19,2021-10-18,5.61,5.91,5.84,5.76,91793.86
20,2021-10-17,5.8,6.25,5.87,5.85,174066.07
21,2021-10-16,5.7,6.2,5.83,5.89,110083.92
22,2021-10-15,5.57,6.05,5.84,5.83,182283.56
23,2021-10-14,5.74,6.16,6.06,5.81,96701.2
24,2021-10-13,5.56,6.24,5.99,6.06,85503.76
25,2021-10-12,5.79,6.36,5.91,6.04,201146.22
26,2021-10-11,5.65,6.11,5.89,5.91,113486.34
27,2021-10-10,5.75,6.65,6.22,5.9,172016.56
28,2021-10-09,5.55,6.74,5.84,6.2,226124.43
29,2021-10-08,5.82,6.1,5.95,5.82,88629.79
30,2021-10-07,5.62,6.42,6.03,5.96,274359.7
31,2021-10-06,5.94,6.5,6.19,6.03,141413.38
32,2021-10-05,6.01,6.71,6.2,6.16,196240.37
33,2021-10-04,6.1,6.77,6.64,6.21,144188.21
34,2021-10-03,6.45,6.83,6.77,6.63,105681.72
35,2021-10-02,6.55,7.05,7.04,6.77,173680.02
36,2021-10-01,5.96,7.24,6.25,6.99,454400.5
37,2021-09-30,5.89,6.78,6.23,6.25,339456.37
38,2021-09-29,6.1,7.43,6.85,6.23,591228.03
39,2021-09-28,6.52,8.8,6.98,6.82,1588216.29
40,2021-09-27,5.12,7.24,5.12,7.0,803672.34
41,2021-09-26,4.59,5.81,5.21,5.14,177313.69
42,2021-09-25,4.8,6.29,5.02,5.23,233669.72
43,2021-09-24,4.81,5.44,5.32,5.05,103627.47
44,2021-09-23,5.05,5.44,5.4,5.32,89542.8
45,2021-09-22,4.82,5.82,4.85,5.4,178818.46
46,2021-09-21,4.72,5.41,5.27,4.85,91088.93
47,2021-09-20,5.1,5.91,5.88,5.26,173797.13
48,2021-09-19,5.61,6.49,6.49,5.88,175818.66
49,2021-09-18,5.93,6.77,6.11,6.45,187736.37
50,2021-09-17,5.74,6.72,6.45,6.06,117699.47
51,2021-09-16,5.97,6.94,6.93,6.43,275297.11
52,2021-09-15,6.55,7.15,6.64,6.94,170070.03
53,2021-09-14,6.35,7.07,6.81,6.64,187063.61
54,2021-09-13,6.27,7.25,7.1,6.81,123622.77
55,2021-09-12,6.65,7.44,7.11,7.09,109985.04
56,2021-09-11,6.0,7.7,6.85,7.1,307518.46
57,2021-09-10,6.5,9.0,7.1,6.86,674541.99
58,2021-09-09,6.43,8.0,7.61,7.11,516101.02
59,2021-09-08,7.05,8.38,8.18,7.61,155242.49
60,2021-09-07,7.76,9.33,9.28,8.19,241361.77
61,2021-09-06,9.2,10.1,9.72,9.28,142016.37
62,2021-09-05,9.58,10.3,9.66,9.73,140483.98
63,2021-09-04,9.5,10.35,9.9,9.65,193674.28
64,2021-09-03,9.7,10.85,10.33,9.85,517372.82
65,2021-09-02,10.2,12.22,11.8,10.33,631193.73
66,2021-09-01,11.3,13.9,13.84,11.8,370088.98
