,Date,Open,High,Low,Close,Volume
0,2021-12-20,4.29,4.59,4.56,4.38,166149.02
1,2021-12-19,4.51,4.75,4.69,4.54,196202.05
2,2021-12-18,4.5,5.12,4.52,4.7,325246.34
3,2021-12-17,4.5,4.77,4.77,4.52,198436.67
4,2021-12-16,4.63,4.98,4.74,4.77,346605.34
5,2021-12-15,4.5,5.18,4.94,4.74,691670.79
6,2021-12-14,4.36,7.5,7.38,4.95,2449157.75
7,2021-12-13,4.72,7.84,5.22,7.39,3294484.25
8,2021-12-12,4.55,5.99,4.66,5.21,384529.82
9,2021-12-11,4.29,5.75,4.34,4.67,459527.99
10,2021-12-10,4.31,4.91,4.61,4.33,172354.71
11,2021-12-09,4.52,5.09,4.63,4.62,238265.09
12,2021-12-08,4.57,4.87,4.61,4.63,205116.89
13,2021-12-07,4.57,5.55,5.38,4.62,415647.13
14,2021-12-06,4.47,5.63,5.06,5.38,329237.76
15,2021-12-05,5.04,5.95,5.66,5.1,285071.93
16,2021-12-04,4.8,5.96,5.93,5.59,512012.88
17,2021-12-03,5.61,6.35,6.16,5.93,408685.75
18,2021-12-02,5.83,7.63,6.88,6.15,1001156.0
19,2021-12-01,6.13,8.71,6.63,6.89,1931531.46
20,2021-11-30,6.48,7.99,7.3,6.61,1604565.84
21,2021-11-29,6.8,10.31,10.08,7.27,3733380.04
22,2021-11-28,5.97,14.85,6.07,10.08,9321016.11
23,2021-11-27,5.05,7.5,5.06,6.04,617500.02
24,2021-11-26,5.06,6.0,5.25,5.06,120560.21
25,2021-11-25,5.07,5.28,5.09,5.25,37987.36
26,2021-11-24,5.05,5.32,5.31,5.11,22834.32
27,2021-11-23,5.0,5.44,5.2,5.29,75373.14
28,2021-11-22,4.97,5.98,5.36,5.2,151175.32
29,2021-11-21,5.02,5.39,5.19,5.37,27394.08
30,2021-11-20,4.98,5.54,5.37,5.18,50516.38
31,2021-11-19,4.85,5.44,4.9,5.34,28838.32
32,2021-11-18,4.89,5.3,5.16,4.9,43128.65
33,2021-11-17,5.04,5.68,5.5,5.16,70315.12
34,2021-11-16,5.44,5.75,5.68,5.5,58274.52
35,2021-11-15,5.6,5.98,5.84,5.68,62249.08
36,2021-11-14,5.81,5.99,5.82,5.84,27291.25
37,2021-11-13,5.77,5.99,5.81,5.82,21937.1
38,2021-11-12,5.62,5.96,5.94,5.8,60384.06
39,2021-11-11,5.83,6.1,5.89,5.95,71290.84
40,2021-11-10,5.87,6.35,6.09,5.89,99951.7
41,2021-11-09,5.81,6.4,5.92,6.08,116912.4
42,2021-11-08,5.79,6.09,6.03,5.92,66555.46
43,2021-11-07,5.75,6.43,5.98,6.04,124665.87
44,2021-11-06,5.8,6.07,5.95,5.97,58758.45
45,2021-11-05,5.93,6.08,5.94,5.96,38710.56
46,2021-11-04,5.92,6.45,6.44,5.93,93028.71
47,2021-11-03,6.1,7.5,7.36,6.44,239337.15
48,2021-11-02,5.83,7.5,5.85,7.35,291537.9
49,2021-11-01,5.75,6.24,5.96,5.84,166628.72
50,2021-10-31,5.75,7.8,5.95,5.96,572532.64
51,2021-10-30,5.75,6.3,5.93,5.94,92477.73
52,2021-10-29,5.61,6.22,5.66,5.94,108524.65
53,2021-10-28,5.56,5.98,5.58,5.66,72274.68
54,2021-10-27,5.55,6.33,5.79,5.58,126456.89
55,2021-10-26,5.75,5.97,5.87,5.76,72416.23
56,2021-10-25,5.78,5.97,5.79,5.85,52537.34
57,2021-10-24,5.71,6.25,5.87,5.79,116864.78
58,2021-10-23,5.79,5.92,5.87,5.85,35740.68
59,2021-10-22,5.83,6.01,5.93,5.87,68535.07
60,2021-10-21,5.93,6.26,6.23,5.93,99498.26
61,2021-10-20,6.08,6.53,6.19,6.24,305650.3
62,2021-10-19,5.74,7.86,5.75,6.2,1126253.26
63,2021-10-18,5.61,5.91,5.84,5.76,91793.86
64,2021-10-17,5.8,6.25,5.87,5.85,174066.07
65,2021-10-16,5.7,6.2,5.83,5.89,110083.92
66,2021-10-15,5.57,6.05,5.84,5.83,182283.56
67,2021-10-14,5.74,6.16,6.06,5.81,96701.2
68,2021-10-13,5.56,6.24,5.99,6.06,85503.76
69,2021-10-12,5.79,6.36,5.91,6.04,201146.22
70,2021-10-11,5.65,6.11,5.89,5.91,113486.34
71,2021-10-10,5.75,6.65,6.22,5.9,172016.56
72,2021-10-09,5.55,6.74,5.84,6.2,226124.43
73,2021-10-08,5.82,6.1,5.95,5.82,88629.79
74,2021-10-07,5.62,6.42,6.03,5.96,274359.7
75,2021-10-06,5.94,6.5,6.19,6.03,141413.38
76,2021-10-05,6.01,6.71,6.2,6.16,196240.37
77,2021-10-04,6.1,6.77,6.64,6.21,144188.21
78,2021-10-03,6.45,6.83,6.77,6.63,105681.72
79,2021-10-02,6.55,7.05,7.04,6.77,173680.02
80,2021-10-01,5.96,7.24,6.25,6.99,454400.5
81,2021-09-30,5.89,6.78,6.23,6.25,339456.37
82,2021-09-29,6.1,7.43,6.85,6.23,591228.03
83,2021-09-28,6.52,8.8,6.98,6.82,1588216.29
84,2021-09-27,5.12,7.24,5.12,7.0,803672.34
85,2021-09-26,4.59,5.81,5.21,5.14,177313.69
86,2021-09-25,4.8,6.29,5.02,5.23,233669.72
87,2021-09-24,4.81,5.44,5.32,5.05,103627.47
88,2021-09-23,5.05,5.44,5.4,5.32,89542.8
89,2021-09-22,4.82,5.82,4.85,5.4,178818.46
90,2021-09-21,4.72,5.41,5.27,4.85,91088.93
91,2021-09-20,5.1,5.91,5.88,5.26,173797.13
92,2021-09-19,5.61,6.49,6.49,5.88,175818.66
93,2021-09-18,5.93,6.77,6.11,6.45,187736.37
94,2021-09-17,5.74,6.72,6.45,6.06,117699.47
95,2021-09-16,5.97,6.94,6.93,6.43,275297.11
96,2021-09-15,6.55,7.15,6.64,6.94,170070.03
97,2021-09-14,6.35,7.07,6.81,6.64,187063.61
98,2021-09-13,6.27,7.25,7.1,6.81,123622.77
99,2021-09-12,6.65,7.44,7.11,7.09,109985.04
100,2021-09-11,6.0,7.7,6.85,7.1,307518.46
101,2021-09-10,6.5,9.0,7.1,6.86,674541.99
102,2021-09-09,6.43,8.0,7.61,7.11,516101.02
103,2021-09-08,7.05,8.38,8.18,7.61,155242.49
104,2021-09-07,7.76,9.33,9.28,8.19,241361.77
105,2021-09-06,9.2,10.1,9.72,9.28,142016.37
106,2021-09-05,9.58,10.3,9.66,9.73,140483.98
107,2021-09-04,9.5,10.35,9.9,9.65,193674.28
108,2021-09-03,9.7,10.85,10.33,9.85,517372.82
109,2021-09-02,10.2,12.22,11.8,10.33,631193.73
110,2021-09-01,11.3,13.9,13.84,11.8,370088.98
