,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.1243,0.1362,0.1362,0.1299,2300420.6
1,2021-12-19,0.1355,0.145,0.138,0.1363,2331300.3
2,2021-12-18,0.1303,0.1406,0.1319,0.138,1191952.2
3,2021-12-17,0.1285,0.14,0.1311,0.1324,2968913.8
4,2021-12-16,0.1299,0.1394,0.1306,0.1307,2519464.9
5,2021-12-15,0.1202,0.1324,0.1295,0.1307,3509168.6
6,2021-12-14,0.1244,0.1319,0.1281,0.13,1472238.9
7,2021-12-13,0.1254,0.1431,0.1429,0.1277,2796081.6
8,2021-12-12,0.138,0.1471,0.1419,0.143,1814723.1
9,2021-12-11,0.136,0.1462,0.1401,0.1419,1886498.6
10,2021-12-10,0.1401,0.152,0.1406,0.1403,2222342.4
11,2021-12-09,0.1406,0.1571,0.1533,0.1408,3062023.8
12,2021-12-08,0.1458,0.1592,0.1474,0.1536,3603167.6
13,2021-12-07,0.1456,0.161,0.1527,0.1474,6129685.9
14,2021-12-06,0.138,0.1544,0.1524,0.1527,4248976.9
15,2021-12-05,0.148,0.1671,0.1543,0.1525,4252000.9
16,2021-12-04,0.1499,0.192,0.1763,0.1557,15835274.4
17,2021-12-03,0.17,0.2105,0.1745,0.1765,41652098.0
18,2021-12-02,0.1608,0.187,0.1644,0.1737,13267824.2
19,2021-12-01,0.1615,0.172,0.165,0.1642,4338537.3
20,2021-11-30,0.1636,0.1751,0.1728,0.1651,5258213.6
21,2021-11-29,0.1695,0.1925,0.171,0.1729,13859865.8
22,2021-11-28,0.1605,0.1759,0.1735,0.1712,7295808.4
23,2021-11-27,0.163,0.1942,0.1666,0.1753,25410575.2
24,2021-11-26,0.1565,0.209,0.1885,0.1668,31782737.3
25,2021-11-25,0.1575,0.209,0.1585,0.1885,47480156.2
26,2021-11-24,0.154,0.1647,0.1645,0.1588,2210512.7
27,2021-11-23,0.1623,0.1696,0.167,0.1649,4096589.3
28,2021-11-22,0.1633,0.1794,0.1722,0.167,3352720.8
29,2021-11-21,0.1661,0.1809,0.1712,0.1727,4403514.4
30,2021-11-20,0.1566,0.175,0.1586,0.1717,6046126.8
31,2021-11-19,0.1473,0.1654,0.1484,0.1582,5827287.9
32,2021-11-18,0.1471,0.1705,0.1649,0.1484,9030957.0
33,2021-11-17,0.1588,0.1689,0.1657,0.1649,6370072.1
34,2021-11-16,0.1605,0.1848,0.18,0.1658,8077441.2
35,2021-11-15,0.1759,0.195,0.1878,0.18,5603888.5
36,2021-11-14,0.1833,0.1896,0.187,0.1878,3623193.0
37,2021-11-13,0.1839,0.1951,0.185,0.187,9459345.4
38,2021-11-12,0.1807,0.194,0.1875,0.185,8837842.7
39,2021-11-11,0.1765,0.2,0.1798,0.1879,17084383.4
40,2021-11-10,0.1724,0.23,0.1802,0.1793,65510643.1
41,2021-11-09,0.165,0.1876,0.184,0.1803,12225548.9
42,2021-11-08,0.1766,0.2008,0.1812,0.184,15044198.0
43,2021-11-07,0.1735,0.205,0.1915,0.1812,30060716.7
44,2021-11-06,0.1678,0.199,0.1713,0.1923,28927232.5
45,2021-11-05,0.1595,0.178,0.1756,0.1715,17921871.8
46,2021-11-04,0.1721,0.1946,0.1851,0.1758,26143227.7
47,2021-11-03,0.18,0.26,0.26,0.1851,20510023.8
