,Date,Open,High,Low,Close,Volume
0,2021-12-20,2.16,2.37,2.34,2.31,3305389.62
1,2021-12-19,2.33,2.49,2.4,2.34,2040390.7
2,2021-12-18,2.26,2.45,2.3,2.4,2298198.75
3,2021-12-17,2.21,2.43,2.38,2.29,2810725.31
4,2021-12-16,2.36,2.57,2.48,2.38,3156796.64
5,2021-12-15,2.19,2.53,2.36,2.49,5517293.25
6,2021-12-14,2.23,2.38,2.33,2.35,6470058.6
7,2021-12-13,2.25,2.76,2.7,2.33,7713872.59
8,2021-12-12,2.53,2.74,2.55,2.7,5095433.69
9,2021-12-11,2.35,2.57,2.43,2.55,5594833.2
10,2021-12-10,2.417,2.68,2.58,2.42,7810064.8
11,2021-12-09,2.546,2.924,2.906,2.57,9650131.94
12,2021-12-08,2.634,2.929,2.802,2.906,6012781.91
13,2021-12-07,2.741,3.011,2.89,2.803,8240296.16
14,2021-12-06,2.371,2.927,2.732,2.89,9966007.61
15,2021-12-05,2.629,3.161,3.019,2.731,10429901.53
16,2021-12-04,2.161,3.112,3.096,3.019,16222946.18
17,2021-12-03,2.911,3.444,3.404,3.098,9801976.71
18,2021-12-02,3.283,3.533,3.533,3.406,5945255.64
19,2021-12-01,3.47,3.694,3.508,3.533,6792726.11
20,2021-11-30,3.476,3.773,3.653,3.507,7625640.18
21,2021-11-29,3.638,3.94,3.849,3.65,9812881.21
22,2021-11-28,3.281,3.855,3.707,3.851,15353793.21
23,2021-11-27,3.6,3.969,3.853,3.705,9026856.48
24,2021-11-26,3.574,4.445,4.228,3.854,19356120.34
25,2021-11-25,4.0,4.85,4.491,4.227,22229601.81
26,2021-11-24,3.814,4.75,3.851,4.491,29922300.36
27,2021-11-23,3.47,4.156,3.605,3.849,19858745.54
28,2021-11-22,3.149,3.623,3.301,3.603,11947031.23
29,2021-11-21,3.293,3.653,3.65,3.299,8834059.44
30,2021-11-20,3.446,3.911,3.618,3.647,14815767.78
31,2021-11-19,2.984,3.764,3.037,3.617,25168185.3
32,2021-11-18,2.742,3.269,3.021,3.036,15351703.49
33,2021-11-17,2.809,3.091,2.849,3.019,9024573.34
34,2021-11-16,2.554,3.035,3.035,2.848,10968270.05
35,2021-11-15,3.001,3.244,3.085,3.034,6218381.42
36,2021-11-14,2.944,3.087,3.042,3.087,4099295.33
37,2021-11-13,3.02,3.274,3.085,3.043,10643000.44
38,2021-11-12,2.912,3.151,2.965,3.086,10935789.71
39,2021-11-11,2.783,3.078,2.831,2.971,6935065.73
40,2021-11-10,2.584,3.195,2.977,2.832,12694706.06
41,2021-11-09,2.945,3.278,3.172,2.977,12678394.8
42,2021-11-08,3.114,3.319,3.315,3.173,10393170.76
43,2021-11-07,3.275,3.636,3.526,3.313,12992921.76
44,2021-11-06,2.945,3.558,2.964,3.526,31644935.99
45,2021-11-05,2.863,3.271,3.001,2.965,15404337.06
46,2021-11-04,2.737,3.395,2.863,3.001,23489703.85
47,2021-11-03,2.721,3.218,3.123,2.862,18295604.18
48,2021-11-02,2.575,3.272,2.602,3.126,33288731.46
49,2021-11-01,2.365,2.78,2.583,2.603,16168789.45
50,2021-10-31,2.42,3.5,3.05,2.581,39632066.62
51,2021-10-30,2.278,3.44,2.464,3.048,43301860.41
52,2021-10-29,2.313,2.609,2.322,2.463,16904348.37
53,2021-10-28,2.048,2.401,2.093,2.322,23871490.86
54,2021-10-27,1.791,2.31,2.011,2.089,22432165.24
55,2021-10-26,1.893,2.173,1.907,2.01,14430570.05
56,2021-10-25,1.762,1.928,1.773,1.909,3869106.3
57,2021-10-24,1.732,1.896,1.841,1.773,3697845.95
58,2021-10-23,1.778,1.873,1.834,1.841,2116652.09
59,2021-10-22,1.775,1.906,1.801,1.836,3451894.1
60,2021-10-21,1.738,1.865,1.85,1.799,6403080.85
61,2021-10-20,1.578,2.0,1.606,1.85,9564750.22
62,2021-10-19,1.581,1.649,1.633,1.604,1711161.29
63,2021-10-18,1.569,1.652,1.636,1.636,2122862.23
64,2021-10-17,1.548,1.722,1.719,1.637,3299982.3
65,2021-10-16,1.603,1.766,1.612,1.722,6530290.29
66,2021-10-15,1.519,1.631,1.62,1.612,4472961.84
67,2021-10-14,1.563,1.65,1.586,1.619,2102086.27
68,2021-10-13,1.489,1.59,1.534,1.587,1903871.83
69,2021-10-12,1.447,1.562,1.562,1.535,2645917.07
70,2021-10-11,1.512,1.652,1.58,1.561,2100132.25
71,2021-10-10,1.574,1.723,1.72,1.584,2310351.26
72,2021-10-09,1.653,1.719,1.7,1.719,2720757.11
73,2021-10-08,1.634,1.732,1.68,1.701,5520227.05
74,2021-10-07,1.591,1.68,1.646,1.679,3425291.7
75,2021-10-06,1.544,1.754,1.697,1.645,6908417.15
76,2021-10-05,1.551,1.724,1.568,1.695,5320184.21
77,2021-10-04,1.523,1.7,1.551,1.568,8622151.3
78,2021-10-03,1.469,1.556,1.504,1.551,2290089.52
79,2021-10-02,1.491,1.575,1.525,1.505,3560840.09
80,2021-10-01,1.292,1.542,1.31,1.524,3795876.06
81,2021-09-30,1.218,1.335,1.223,1.31,1941160.23
82,2021-09-29,1.193,1.274,1.203,1.223,1147618.65
83,2021-09-28,1.197,1.286,1.262,1.205,1668462.35
84,2021-09-27,1.259,1.376,1.326,1.262,1414946.8
85,2021-09-26,1.255,1.411,1.334,1.327,3214549.25
86,2021-09-25,1.285,1.376,1.345,1.335,2047926.06
87,2021-09-24,1.254,1.489,1.484,1.345,3394741.67
88,2021-09-23,1.377,1.489,1.412,1.479,2459986.31
89,2021-09-22,1.197,1.423,1.228,1.413,2852959.34
90,2021-09-21,1.187,1.4,1.338,1.226,7180105.44
91,2021-09-20,1.296,1.576,1.572,1.34,5184662.88
92,2021-09-19,1.552,1.649,1.648,1.57,1449634.68
93,2021-09-18,1.606,1.694,1.635,1.646,1605163.43
94,2021-09-17,1.603,1.7,1.68,1.634,2069784.98
95,2021-09-16,1.64,1.775,1.769,1.68,2815315.83
96,2021-09-15,1.663,1.774,1.684,1.769,2963230.47
97,2021-09-14,1.602,1.685,1.629,1.683,1980197.77
98,2021-09-13,1.512,1.719,1.711,1.626,2850476.16
99,2021-09-12,1.636,1.757,1.678,1.711,1908316.28
100,2021-09-11,1.631,1.739,1.648,1.679,2210324.13
101,2021-09-10,1.607,1.866,1.789,1.647,3850770.81
102,2021-09-09,1.686,1.846,1.731,1.79,5096228.61
103,2021-09-08,1.527,1.799,1.761,1.73,6540890.84
104,2021-09-07,1.35,2.187,2.182,1.757,10685688.89
105,2021-09-06,2.106,2.264,2.193,2.182,4827488.15
106,2021-09-05,2.065,2.2,2.098,2.193,3259701.97
107,2021-09-04,2.034,2.135,2.072,2.098,3038898.43
108,2021-09-03,1.99,2.1,2.047,2.071,3555879.07
109,2021-09-02,2.032,2.124,2.078,2.047,4112597.75
110,2021-09-01,1.954,2.091,2.017,2.078,4579564.12
111,2021-08-31,1.983,2.147,2.082,2.019,5971630.75
112,2021-08-30,2.053,2.319,2.185,2.083,11769233.64
113,2021-08-29,1.944,2.225,2.06,2.185,6810782.18
114,2021-08-28,1.942,2.08,2.005,2.059,3165034.87
115,2021-08-27,1.8,2.041,1.852,2.004,5726950.08
116,2021-08-26,1.82,2.083,2.074,1.85,6283124.6
117,2021-08-25,1.783,2.084,1.892,2.07,7559225.64
118,2021-08-24,1.846,2.186,2.179,1.888,6441478.26
119,2021-08-23,1.812,2.198,1.845,2.181,9648848.07
120,2021-08-22,1.724,1.954,1.838,1.844,5970429.71
121,2021-08-21,1.66,1.96,1.671,1.84,9795185.98
122,2021-08-20,1.564,1.671,1.584,1.671,2293009.17
123,2021-08-19,1.465,1.583,1.524,1.581,2410681.15
124,2021-08-18,1.446,1.569,1.534,1.519,2218529.45
125,2021-08-17,1.522,1.708,1.62,1.531,4169079.06
126,2021-08-16,1.603,1.757,1.668,1.62,3735666.48
127,2021-08-15,1.582,1.688,1.685,1.668,2011794.56
128,2021-08-14,1.614,1.729,1.678,1.685,2561929.86
129,2021-08-13,1.547,1.678,1.567,1.677,2681569.38
130,2021-08-12,1.482,1.668,1.621,1.566,2721349.45
131,2021-08-11,1.591,1.701,1.624,1.621,3422728.33
132,2021-08-10,1.511,1.643,1.532,1.625,4639032.24
133,2021-08-09,1.358,1.612,1.417,1.531,3594316.76
134,2021-08-08,1.386,1.54,1.499,1.414,3019412.41
135,2021-08-07,1.424,1.547,1.446,1.497,4111084.93
136,2021-08-06,1.383,1.462,1.407,1.448,1517934.27
137,2021-08-05,1.34,1.415,1.41,1.407,1572860.96
138,2021-08-04,1.335,1.412,1.356,1.409,1095378.07
139,2021-08-03,1.323,1.417,1.388,1.356,1249559.39
140,2021-08-02,1.339,1.422,1.372,1.387,1500879.79
141,2021-08-01,1.358,1.484,1.443,1.373,2328888.04
142,2021-07-31,1.402,1.459,1.447,1.444,2044082.44
143,2021-07-30,1.33,1.446,1.398,1.444,2587468.96
144,2021-07-29,1.307,1.503,1.334,1.396,6239326.01
145,2021-07-28,1.293,1.381,1.35,1.334,2405048.59
146,2021-07-27,1.225,1.395,1.287,1.35,4854135.39
147,2021-07-26,1.267,1.445,1.367,1.29,6339554.7
148,2021-07-25,1.23,1.377,1.301,1.366,4684957.74
149,2021-07-24,1.222,1.381,1.245,1.3,5644647.66
150,2021-07-23,1.103,1.245,1.127,1.244,3320920.09
151,2021-07-22,1.066,1.145,1.094,1.125,2209233.21
152,2021-07-21,0.957,1.133,0.993,1.094,3889987.25
