,Date,Open,High,Low,Close,Volume
0,2021-12-20,37.34,41.65,40.86,40.37,132799.449
1,2021-12-19,40.61,43.74,42.63,40.86,66419.742
2,2021-12-18,40.59,43.99,42.15,42.62,74898.776
3,2021-12-17,40.14,46.67,44.35,42.15,175286.086
4,2021-12-16,42.29,47.99,42.5,44.39,223793.442
5,2021-12-15,37.13,44.47,39.94,42.5,205385.558
6,2021-12-14,37.77,41.75,40.02,39.93,156723.697
7,2021-12-13,38.9,47.12,47.05,40.03,169796.354
8,2021-12-12,44.15,47.66,47.56,47.06,114429.573
9,2021-12-11,41.5,49.24,42.6,47.54,179953.856
10,2021-12-10,42.0,46.78,45.11,42.55,141197.455
11,2021-12-09,44.68,50.73,49.38,44.98,152989.202
12,2021-12-08,47.45,52.43,50.93,49.4,172415.046
13,2021-12-07,48.85,54.02,51.47,50.86,224192.148
14,2021-12-06,42.37,51.65,49.41,51.47,314767.644
15,2021-12-05,45.54,54.78,50.84,49.41,298950.725
16,2021-12-04,39.62,55.1,54.3,50.77,367404.899
17,2021-12-03,50.2,63.3,61.7,54.39,370354.841
18,2021-12-02,58.52,64.89,64.81,61.74,337264.689
19,2021-12-01,63.19,74.68,70.1,64.89,267651.1
20,2021-11-30,66.11,78.16,70.29,70.07,299336.526
21,2021-11-29,69.58,82.91,76.16,70.32,428138.249
22,2021-11-28,64.21,76.58,73.63,76.15,455073.572
23,2021-11-27,59.17,84.02,59.5,73.64,848326.762
24,2021-11-26,56.26,76.34,68.4,59.5,746738.837
25,2021-11-25,48.31,72.9,49.25,68.3,1195703.323
26,2021-11-24,44.9,52.56,50.82,49.22,353037.523
27,2021-11-23,40.53,53.55,41.02,50.82,627539.165
28,2021-11-22,39.93,46.99,42.08,41.0,403474.97
29,2021-11-21,41.41,46.86,46.77,42.04,305941.516
30,2021-11-20,44.56,49.55,47.92,46.8,269289.22
31,2021-11-19,38.43,51.99,41.91,47.85,638816.384
32,2021-11-18,40.01,55.0,48.13,41.91,785338.502
33,2021-11-17,45.55,55.61,48.12,48.25,578684.404
34,2021-11-16,48.0,58.99,58.99,48.3,126421.473
