,Date,Open,High,Low,Close,Volume
0,2021-11-06,4.486,4.549,4.508,4.542,350103.6
1,2021-11-05,4.46,4.6,4.545,4.506,2341955.3
2,2021-11-04,4.44,4.759,4.709,4.545,3738288.5
3,2021-11-03,4.521,4.875,4.705,4.71,4825074.0
4,2021-11-02,4.581,4.796,4.641,4.701,2219835.0
5,2021-11-01,4.462,4.722,4.64,4.639,3548555.1
6,2021-10-31,4.447,4.776,4.484,4.642,5097841.8
7,2021-10-30,4.358,4.526,4.505,4.481,3425928.8
8,2021-10-29,4.375,4.544,4.403,4.496,1937364.8
9,2021-10-28,4.136,4.497,4.156,4.404,3781927.7
10,2021-10-27,3.867,4.773,4.716,4.149,7140847.5
11,2021-10-26,4.656,4.934,4.821,4.714,4779315.9
12,2021-10-25,4.715,4.853,4.745,4.82,1877500.5
13,2021-10-24,4.656,5.086,4.748,4.743,7496810.4
14,2021-10-23,4.582,4.771,4.615,4.747,1411249.3
15,2021-10-22,4.552,4.788,4.667,4.614,2158666.3
16,2021-10-21,4.596,4.95,4.83,4.666,3513826.5
17,2021-10-20,4.445,4.89,4.462,4.829,3133773.9
18,2021-10-19,4.366,4.517,4.421,4.461,1926366.2
19,2021-10-18,4.354,4.565,4.414,4.42,3858633.8
20,2021-10-17,4.225,4.602,4.57,4.412,2577578.6
21,2021-10-16,4.53,4.715,4.643,4.569,2382114.3
22,2021-10-15,4.445,4.735,4.626,4.644,4400051.5
23,2021-10-14,4.556,4.734,4.603,4.625,2728088.3
24,2021-10-13,4.374,4.613,4.491,4.601,3253255.4
25,2021-10-12,4.269,4.552,4.552,4.492,3961375.8
26,2021-10-11,4.431,4.758,4.576,4.554,3429307.3
27,2021-10-10,4.562,5.02,5.002,4.577,3620782.4
28,2021-10-09,4.613,5.068,4.652,5.002,3687976.2
29,2021-10-08,4.581,4.83,4.724,4.648,2980563.3
30,2021-10-07,4.551,4.842,4.747,4.723,4885034.0
31,2021-10-06,4.375,4.924,4.736,4.744,4715206.4
32,2021-10-05,4.547,4.79,4.602,4.731,4119158.2
33,2021-10-04,4.338,4.741,4.64,4.6,4425062.5
34,2021-10-03,4.226,4.874,4.324,4.642,5121314.2
