,Date,Open,High,Low,Close,Volume
0,2021-12-20,3.09,3.34,3.18,3.19,1845167.2
1,2021-12-19,3.17,3.31,3.24,3.18,1654493.4
2,2021-12-18,3.11,3.31,3.15,3.25,1386589.6
3,2021-12-17,3.06,3.27,3.21,3.16,2993968.5
4,2021-12-16,3.19,3.4,3.37,3.21,2930378.8
5,2021-12-15,3.13,3.49,3.36,3.36,3748543.1
6,2021-12-14,3.04,3.43,3.09,3.36,4880336.7
7,2021-12-13,3.01,3.4,3.33,3.1,3691773.8
8,2021-12-12,3.24,3.52,3.42,3.33,2275618.6
9,2021-12-11,2.98,3.57,3.05,3.41,4062583.1
10,2021-12-10,3.02,3.35,3.22,3.04,4146407.1
11,2021-12-09,3.22,3.717,3.653,3.23,4798853.0
12,2021-12-08,3.123,3.893,3.225,3.648,10680726.1
13,2021-12-07,3.173,3.334,3.276,3.226,4046954.3
14,2021-12-06,2.813,3.3,3.038,3.279,7011854.4
15,2021-12-05,2.865,3.197,3.153,3.037,3718521.0
16,2021-12-04,2.436,3.807,3.792,3.152,7758697.0
17,2021-12-03,3.674,4.17,3.967,3.797,3054889.5
18,2021-12-02,3.86,4.01,3.994,3.964,1019151.8
19,2021-12-01,3.937,4.122,4.008,3.994,1505798.1
20,2021-11-30,3.882,4.176,4.008,4.0,2015177.7
21,2021-11-29,3.907,4.048,3.971,4.008,1201114.8
22,2021-11-28,3.663,3.972,3.901,3.971,2126637.6
23,2021-11-27,3.832,3.979,3.855,3.901,1711073.4
24,2021-11-26,3.769,4.27,4.257,3.854,4050114.6
25,2021-11-25,4.097,4.317,4.124,4.253,1371509.6
26,2021-11-24,4.007,4.237,4.236,4.123,1867513.3
27,2021-11-23,4.056,4.253,4.138,4.239,1647431.9
28,2021-11-22,4.056,4.288,4.251,4.139,1935558.4
29,2021-11-21,4.236,4.385,4.346,4.247,781164.4
30,2021-11-20,4.177,4.353,4.3,4.344,1212406.5
31,2021-11-19,4.05,4.319,4.086,4.293,1556594.9
32,2021-11-18,3.94,4.448,4.372,4.089,4291426.7
33,2021-11-17,4.175,4.413,4.33,4.371,2917894.1
34,2021-11-16,4.07,4.809,4.807,4.334,5304502.1
35,2021-11-15,4.76,5.098,4.959,4.806,2237916.9
36,2021-11-14,4.831,5.088,5.009,4.959,2144115.0
