,Date,Open,High,Low,Close,Volume
0,2021-11-06,52.897,53.531,53.153,53.386,23041.39270292
1,2021-11-05,52.648,54.392,53.681,53.139,273793.31781562
2,2021-11-04,52.593,56.201,55.46,53.677,291124.40537514
3,2021-11-03,53.259,57.166,55.262,55.457,427968.78151717
4,2021-11-02,53.192,55.828,53.84,55.232,286546.51270472
5,2021-11-01,52.342,55.183,54.399,53.821,301586.89653291
6,2021-10-31,52.192,58.759,52.906,54.41,810839.70978694
7,2021-10-30,51.6,53.961,53.87,52.903,218874.2762473
8,2021-10-29,51.67,54.12,52.165,53.865,451922.08658406
9,2021-10-28,48.219,52.608,48.611,52.17,567020.10354148
10,2021-10-27,43.153,55.224,54.2,48.611,756062.54862323
11,2021-10-26,53.681,56.118,55.347,54.188,324311.63971583
12,2021-10-25,54.596,56.288,54.881,55.349,231544.89586997
13,2021-10-24,53.583,56.04,55.887,54.896,203218.75549755
14,2021-10-23,53.842,56.053,54.46,55.863,167094.32409256
15,2021-10-22,53.512,57.051,55.28,54.463,300555.04596005
16,2021-10-21,55.23,59.984,55.551,55.28,491387.09014972
17,2021-10-20,52.252,55.765,52.915,55.533,302494.20638602
18,2021-10-19,51.762,53.456,52.434,52.904,144999.47972418
19,2021-10-18,51.819,53.765,53.077,52.425,228767.83900037
20,2021-10-17,50.557,54.671,54.144,53.083,170529.88571569
21,2021-10-16,53.606,55.36,54.278,54.129,175305.13315217
22,2021-10-15,52.541,56.9,54.453,54.28,356989.08527048
23,2021-10-14,52.982,54.941,53.408,54.477,162046.28221478
24,2021-10-13,51.321,53.552,52.668,53.362,135190.61757425
25,2021-10-12,50.927,53.944,53.908,52.677,191921.27920815
26,2021-10-11,52.159,55.303,52.906,53.966,157374.31854856
27,2021-10-10,52.692,56.35,55.61,52.968,177843.25865507
28,2021-10-09,53.198,57.458,53.683,55.61,191992.12678231
29,2021-10-08,53.15,55.098,54.32,53.664,162836.9278959
30,2021-10-07,53.051,55.738,54.806,54.304,302910.52985395
31,2021-10-06,51.1,56.0,54.345,54.744,350846.17030025
32,2021-10-05,52.234,54.843,52.548,54.311,279259.21407918
33,2021-10-04,50.452,53.82,53.647,52.533,258526.76537539
34,2021-10-03,51.879,55.078,53.199,53.671,230959.71902492
35,2021-10-02,51.195,55.199,51.92,53.26,315938.67842524
36,2021-10-01,46.59,52.524,47.028,51.927,315766.80089328
37,2021-09-30,45.289,47.292,45.526,47.044,109420.52288331
38,2021-09-29,44.669,46.846,45.07,45.508,142173.95888847
39,2021-09-28,44.846,48.746,45.4,45.077,219628.09550176
40,2021-09-27,45.318,48.412,47.182,45.419,151740.57169814
41,2021-09-26,44.04,48.32,47.367,47.232,161804.23908873
42,2021-09-25,46.2,49.666,47.76,47.398,181338.19436771
43,2021-09-24,44.119,51.88,51.337,47.735,219516.60685933
44,2021-09-23,49.49,51.599,51.25,51.28,198297.65017848
45,2021-09-22,44.904,51.33,45.854,51.292,259761.61229942
46,2021-09-21,44.708,50.437,49.073,45.856,380070.02704387
47,2021-09-20,47.227,55.412,55.382,49.083,373383.9284674
48,2021-09-19,54.81,57.207,57.184,55.337,132945.92098996
49,2021-09-18,55.727,58.367,56.697,57.184,141966.69138408
50,2021-09-17,56.076,59.003,57.98,56.679,196987.23579031
51,2021-09-16,56.802,60.041,59.316,57.945,213628.64538445
52,2021-09-15,56.268,59.336,57.096,59.32,178723.93994132
53,2021-09-14,55.129,57.279,55.783,57.1,217527.3473088
54,2021-09-13,53.554,58.339,58.05,55.767,401501.05496142
55,2021-09-12,56.101,58.931,57.032,58.077,183527.20217616
56,2021-09-11,55.552,58.332,56.282,57.049,210894.76911614
57,2021-09-10,54.937,60.373,58.914,56.307,321155.08559965
58,2021-09-09,57.395,60.404,58.766,58.902,433897.76454966
59,2021-09-08,53.331,61.474,59.465,58.707,772571.1831509
60,2021-09-07,48.227,73.923,73.571,59.285,1181058.44960936
61,2021-09-06,71.207,77.37,73.565,73.516,626170.54921414
62,2021-09-05,68.172,73.985,68.865,73.565,476101.70628436
63,2021-09-04,67.999,71.319,70.064,68.86,401434.46098203
64,2021-09-03,66.037,72.427,67.6,70.04,580455.83589072
65,2021-09-02,66.474,70.198,68.732,67.586,556018.66375431
66,2021-09-01,62.149,69.012,63.759,68.726,597916.03679066
67,2021-08-31,60.591,65.0,61.823,63.769,422826.14644957
68,2021-08-30,61.009,64.9,63.234,61.847,263695.22698737
69,2021-08-29,62.831,65.709,64.241,63.216,184492.31093628
70,2021-08-28,62.868,66.595,64.173,64.225,276909.83697754
71,2021-08-27,58.681,64.23,59.77,64.11,229584.91953792
72,2021-08-26,58.698,64.377,63.72,59.761,323936.68092301
73,2021-08-25,60.899,64.833,62.723,63.72,256882.20628754
74,2021-08-24,61.0,68.596,68.196,62.812,362182.34160856
75,2021-08-23,66.683,69.539,67.401,68.219,292196.02135208
76,2021-08-22,64.765,68.63,67.542,67.4,204359.66748068
77,2021-08-21,66.87,70.344,70.229,67.563,251285.9112633
78,2021-08-20,66.001,70.685,66.99,70.2,428751.11669147
79,2021-08-19,60.666,67.031,63.922,67.015,355000.08700179
80,2021-08-18,59.698,66.213,62.922,63.85,617670.5215203
81,2021-08-17,61.23,71.751,69.016,62.913,571427.99222329
82,2021-08-16,65.0,75.916,75.105,69.052,581411.69084634
83,2021-08-15,67.0,77.376,67.279,75.072,1167767.97903447
84,2021-08-14,61.744,67.595,64.386,67.248,483463.01909808
85,2021-08-13,59.38,64.451,60.022,64.342,362662.98600255
86,2021-08-12,57.572,65.866,60.749,60.035,774844.1430627
87,2021-08-11,58.589,63.922,58.86,60.793,495348.15814746
88,2021-08-10,56.971,60.332,59.031,58.839,284485.39673909
89,2021-08-09,54.877,60.401,57.128,59.045,400230.46056278
90,2021-08-08,55.811,63.344,60.735,57.142,647138.5651629
91,2021-08-07,52.561,61.301,53.097,60.739,796992.50805408
92,2021-08-06,51.225,53.65,52.422,53.11,291719.6309946
93,2021-08-05,48.812,53.478,51.55,52.423,341980.48988122
94,2021-08-04,48.5,52.224,49.356,51.523,206015.25736629
95,2021-08-03,48.462,52.188,51.298,49.356,191336.49612798
96,2021-08-02,49.327,52.249,50.269,51.29,182375.77611765
97,2021-08-01,49.269,54.2,51.309,50.281,326281.71222076
98,2021-07-31,49.642,52.38,51.03,51.317,250303.85481288
99,2021-07-30,47.412,51.511,49.343,50.984,284740.03209718
100,2021-07-29,48.325,49.992,49.278,49.35,156905.18783279
101,2021-07-28,47.749,51.091,49.482,49.305,220358.72765424
102,2021-07-27,46.15,50.401,48.36,49.474,333384.04228814
103,2021-07-26,47.511,55.878,48.456,48.393,736118.40733032
104,2021-07-25,45.896,49.854,49.532,48.461,264667.29432641
105,2021-07-24,44.962,51.75,45.827,49.505,346121.25798039
106,2021-07-23,43.081,46.756,43.421,45.822,307654.96908217
107,2021-07-22,41.935,44.189,42.913,43.41,175134.3620694
108,2021-07-21,38.605,43.8,39.262,42.903,283803.69026528
109,2021-07-20,37.671,42.052,41.513,39.283,324843.0140972
110,2021-07-19,40.576,43.924,41.9,41.572,309857.74919307
111,2021-07-18,40.973,43.272,41.402,41.874,103473.98550645
112,2021-07-17,40.284,43.363,41.137,41.447,156481.35878596
113,2021-07-16,40.613,43.845,43.174,41.148,167427.73348197
114,2021-07-15,42.24,47.144,45.54,43.157,209500.95279597
115,2021-07-14,42.52,47.793,45.493,45.54,240450.46758136
116,2021-07-13,45.0,48.157,47.666,45.504,143831.8483586
117,2021-07-12,46.685,50.71,49.659,47.698,151973.30900044
118,2021-07-11,48.277,50.47,49.181,49.672,77397.81649286
119,2021-07-10,48.201,51.318,50.064,49.171,167698.41041952
120,2021-07-09,46.486,51.312,49.422,50.075,244876.0031878
121,2021-07-08,48.543,52.959,52.775,49.464,300219.22681631
122,2021-07-07,52.533,55.464,54.614,52.781,275882.15992204
123,2021-07-06,53.469,56.818,53.716,54.573,207018.42460014
124,2021-07-05,52.862,57.0,56.351,53.663,250986.60572913
125,2021-07-04,55.903,58.912,56.85,56.368,253229.627174
126,2021-07-03,52.426,58.639,53.711,56.827,395097.20997591
127,2021-07-02,50.701,55.219,53.027,53.724,321714.88515708
128,2021-07-01,52.274,58.37,57.568,53.039,550920.98703972
129,2021-06-30,51.668,62.843,56.714,57.505,1380210.40692354
130,2021-06-29,43.134,58.888,43.344,56.827,1141952.19428672
131,2021-06-28,41.063,44.606,42.327,43.36,211965.53984912
132,2021-06-27,39.412,42.473,40.503,42.327,175540.39514895
133,2021-06-26,37.532,40.958,39.354,40.503,204371.21182613
134,2021-06-25,38.953,45.497,43.233,39.392,353020.08270895
135,2021-06-24,38.788,43.585,40.756,43.171,310325.78991281
136,2021-06-23,34.66,43.042,36.581,40.79,463354.64384758
137,2021-06-22,32.179,42.8,39.477,36.625,1116029.96235213
138,2021-06-21,38.52,51.407,50.994,39.487,715885.64547384
139,2021-06-20,46.963,51.5,50.936,50.993,249810.33169076
140,2021-06-19,50.872,53.342,52.479,50.902,116135.75942791
141,2021-06-18,50.521,55.493,55.493,52.524,253697.93827059
142,2021-06-17,54.268,57.222,55.343,55.493,161049.5118742
143,2021-06-16,54.849,58.439,58.092,55.373,209990.68543296
144,2021-06-15,57.167,60.14,59.257,58.136,241302.9881624
145,2021-06-14,56.196,60.809,59.03,59.216,330434.49388041
146,2021-06-13,53.75,60.641,55.182,58.982,302817.81311848
147,2021-06-12,53.118,56.985,56.715,55.171,249666.38196177
148,2021-06-11,56.105,60.755,57.844,56.773,273969.48846192
149,2021-06-10,56.983,63.583,62.384,57.852,320820.26182972
150,2021-06-09,53.625,62.989,56.738,62.372,579493.57270353
151,2021-06-08,49.462,59.151,57.912,56.748,873425.06463384
152,2021-06-07,57.157,65.108,64.078,57.936,417460.63474129
153,2021-06-06,62.789,65.576,63.094,64.004,167839.71728198
154,2021-06-05,61.664,67.341,64.762,62.993,313092.68833475
155,2021-06-04,61.392,69.794,69.789,64.76,534605.56819888
156,2021-06-03,67.125,72.659,68.258,69.793,392052.23623031
157,2021-06-02,65.744,70.352,67.7,68.291,322159.1303649
158,2021-06-01,65.616,71.899,70.112,67.672,427618.71029942
159,2021-05-31,61.9,70.636,66.159,70.083,671142.85113055
160,2021-05-30,59.851,68.301,64.4,66.186,637414.22428743
161,2021-05-29,60.865,71.0,68.228,64.393,1152815.16764913
162,2021-05-28,63.201,79.099,74.588,68.219,1779057.03109328
163,2021-05-27,71.261,79.739,79.713,74.588,894389.68680632
164,2021-05-26,74.0,83.461,78.281,79.717,1445562.15696914
165,2021-05-25,69.926,83.182,73.73,78.269,3332713.5187214
166,2021-05-24,48.882,75.452,51.682,73.614,3018195.45261558
167,2021-05-23,40.0,62.649,58.646,51.527,2262426.96931921
168,2021-05-22,54.151,64.991,64.472,58.603,1232600.26668766
