,Date,Open,High,Low,Close,Volume
0,2021-12-20,33.51,35.47,34.88,34.54,84360.25341247
1,2021-12-19,34.77,36.4,35.03,34.89,58660.00007356
2,2021-12-18,33.84,35.55,34.33,35.03,58938.06806646
3,2021-12-17,33.31,35.5,35.13,34.32,84031.51249377
4,2021-12-16,35.05,36.82,36.15,35.09,80776.78266808
5,2021-12-15,33.28,36.67,35.39,36.15,164398.26817015
6,2021-12-14,33.77,36.52,34.28,35.46,148676.39842336
7,2021-12-13,33.57,38.11,37.9,34.26,181444.51185561
8,2021-12-12,36.83,38.43,38.07,37.9,77206.41515038
9,2021-12-11,35.64,38.34,36.37,38.0,97546.68481966
10,2021-12-10,36.24,38.95,37.56,36.42,136506.58240359
11,2021-12-09,37.346,41.413,41.02,37.56,165365.06123012
12,2021-12-08,38.847,41.901,39.654,41.027,375445.24524514
13,2021-12-07,38.839,40.616,39.642,39.627,202874.38061022
14,2021-12-06,35.359,40.048,38.937,39.655,349494.55482017
15,2021-12-05,37.26,40.83,39.379,38.888,319244.3977975
16,2021-12-04,28.08,45.039,44.878,39.449,702407.16678721
17,2021-12-03,43.501,47.796,46.995,44.915,179512.27795629
18,2021-12-02,46.358,47.867,47.839,47.017,145729.79470078
19,2021-12-01,47.06,49.645,48.324,47.855,182994.28135073
20,2021-11-30,46.856,50.094,48.233,48.283,178869.69879211
21,2021-11-29,47.077,48.996,47.519,48.215,122065.67584093
22,2021-11-28,44.65,47.578,46.799,47.513,172149.71538054
23,2021-11-27,46.424,47.734,46.727,46.845,132962.99338417
24,2021-11-26,45.0,50.683,50.573,46.746,295929.82944152
25,2021-11-25,47.909,53.482,48.284,50.547,326531.77886708
26,2021-11-24,47.209,49.53,49.53,48.284,205262.54287312
27,2021-11-23,47.933,49.826,48.574,49.553,142090.40392654
28,2021-11-22,47.771,50.547,50.471,48.581,211998.25623129
29,2021-11-21,49.898,51.822,51.133,50.471,114714.78571593
30,2021-11-20,49.157,51.449,50.707,51.101,141782.29252159
31,2021-11-19,47.82,50.899,48.454,50.707,216248.91256502
32,2021-11-18,46.872,51.787,51.191,48.43,270241.72709823
33,2021-11-17,49.131,51.506,50.874,51.222,265617.01873871
34,2021-11-16,47.561,54.8,54.798,50.787,360551.85461675
35,2021-11-15,54.208,56.705,56.15,54.828,162937.5235994
36,2021-11-14,54.8,56.878,56.315,56.136,131653.65062462
37,2021-11-13,54.841,56.627,55.531,56.315,176734.00525237
38,2021-11-12,53.745,57.8,56.707,55.536,455676.13181173
39,2021-11-11,55.519,58.139,56.746,56.728,401437.20038929
40,2021-11-10,52.337,64.399,60.869,56.831,861384.00561575
41,2021-11-09,55.805,65.33,56.586,60.863,1637676.71850408
42,2021-11-08,53.764,56.796,54.085,56.586,324376.07687526
43,2021-11-07,52.52,54.53,52.842,54.095,157741.47518517
44,2021-11-06,50.747,53.531,53.153,52.892,161898.025811
45,2021-11-05,52.648,54.392,53.681,53.139,273793.31781562
46,2021-11-04,52.593,56.201,55.46,53.677,291124.40537514
47,2021-11-03,53.259,57.166,55.262,55.457,427968.78151717
48,2021-11-02,53.192,55.828,53.84,55.232,286546.51270472
49,2021-11-01,52.342,55.183,54.399,53.821,301586.89653291
50,2021-10-31,52.192,58.759,52.906,54.41,810839.70978694
51,2021-10-30,51.6,53.961,53.87,52.903,218874.2762473
52,2021-10-29,51.67,54.12,52.165,53.865,451922.08658406
53,2021-10-28,48.219,52.608,48.611,52.17,567020.10354148
54,2021-10-27,43.153,55.224,54.2,48.611,756062.54862323
55,2021-10-26,53.681,56.118,55.347,54.188,324311.63971583
56,2021-10-25,54.596,56.288,54.881,55.349,231544.89586997
57,2021-10-24,53.583,56.04,55.887,54.896,203218.75549755
58,2021-10-23,53.842,56.053,54.46,55.863,167094.32409256
59,2021-10-22,53.512,57.051,55.28,54.463,300555.04596005
60,2021-10-21,55.23,59.984,55.551,55.28,491387.09014972
61,2021-10-20,52.252,55.765,52.915,55.533,302494.20638602
62,2021-10-19,51.762,53.456,52.434,52.904,144999.47972418
63,2021-10-18,51.819,53.765,53.077,52.425,228767.83900037
64,2021-10-17,50.557,54.671,54.144,53.083,170529.88571569
65,2021-10-16,53.606,55.36,54.278,54.129,175305.13315217
66,2021-10-15,52.541,56.9,54.453,54.28,356989.08527048
67,2021-10-14,52.982,54.941,53.408,54.477,162046.28221478
68,2021-10-13,51.321,53.552,52.668,53.362,135190.61757425
69,2021-10-12,50.927,53.944,53.908,52.677,191921.27920815
70,2021-10-11,52.159,55.303,52.906,53.966,157374.31854856
71,2021-10-10,52.692,56.35,55.61,52.968,177843.25865507
72,2021-10-09,53.198,57.458,53.683,55.61,191992.12678231
73,2021-10-08,53.15,55.098,54.32,53.664,162836.9278959
74,2021-10-07,53.051,55.738,54.806,54.304,302910.52985395
75,2021-10-06,51.1,56.0,54.345,54.744,350846.17030025
76,2021-10-05,52.234,54.843,52.548,54.311,279259.21407918
77,2021-10-04,50.452,53.82,53.647,52.533,258526.76537539
78,2021-10-03,51.879,55.078,53.199,53.671,230959.71902492
79,2021-10-02,51.195,55.199,51.92,53.26,315938.67842524
80,2021-10-01,46.59,52.524,47.028,51.927,315766.80089328
81,2021-09-30,45.289,47.292,45.526,47.044,109420.52288331
82,2021-09-29,44.669,46.846,45.07,45.508,142173.95888847
83,2021-09-28,44.846,48.746,45.4,45.077,219628.09550176
84,2021-09-27,45.318,48.412,47.182,45.419,151740.57169814
85,2021-09-26,44.04,48.32,47.367,47.232,161804.23908873
86,2021-09-25,46.2,49.666,47.76,47.398,181338.19436771
87,2021-09-24,44.119,51.88,51.337,47.735,219516.60685933
88,2021-09-23,49.49,51.599,51.25,51.28,198297.65017848
89,2021-09-22,44.904,51.33,45.854,51.292,259761.61229942
90,2021-09-21,44.708,50.437,49.073,45.856,380070.02704387
91,2021-09-20,47.227,55.412,55.382,49.083,373383.9284674
92,2021-09-19,54.81,57.207,57.184,55.337,132945.92098996
93,2021-09-18,55.727,58.367,56.697,57.184,141966.69138408
94,2021-09-17,56.076,59.003,57.98,56.679,196987.23579031
95,2021-09-16,56.802,60.041,59.316,57.945,213628.64538445
96,2021-09-15,56.268,59.336,57.096,59.32,178723.93994132
97,2021-09-14,55.129,57.279,55.783,57.1,217527.3473088
98,2021-09-13,53.554,58.339,58.05,55.767,401501.05496142
99,2021-09-12,56.101,58.931,57.032,58.077,183527.20217616
100,2021-09-11,55.552,58.332,56.282,57.049,210894.76911614
101,2021-09-10,54.937,60.373,58.914,56.307,321155.08559965
102,2021-09-09,57.395,60.404,58.766,58.902,433897.76454966
103,2021-09-08,53.331,61.474,59.465,58.707,772571.1831509
104,2021-09-07,48.227,73.923,73.571,59.285,1181058.44960936
105,2021-09-06,71.207,77.37,73.565,73.516,626170.54921414
106,2021-09-05,68.172,73.985,68.865,73.565,476101.70628436
107,2021-09-04,67.999,71.319,70.064,68.86,401434.46098203
108,2021-09-03,66.037,72.427,67.6,70.04,580455.83589072
109,2021-09-02,66.474,70.198,68.732,67.586,556018.66375431
110,2021-09-01,62.149,69.012,63.759,68.726,597916.03679066
111,2021-08-31,60.591,65.0,61.823,63.769,422826.14644957
112,2021-08-30,61.009,64.9,63.234,61.847,263695.22698737
113,2021-08-29,62.831,65.709,64.241,63.216,184492.31093628
114,2021-08-28,62.868,66.595,64.173,64.225,276909.83697754
115,2021-08-27,58.681,64.23,59.77,64.11,229584.91953792
116,2021-08-26,58.698,64.377,63.72,59.761,323936.68092301
117,2021-08-25,60.899,64.833,62.723,63.72,256882.20628754
118,2021-08-24,61.0,68.596,68.196,62.812,362182.34160856
119,2021-08-23,66.683,69.539,67.401,68.219,292196.02135208
120,2021-08-22,64.765,68.63,67.542,67.4,204359.66748068
121,2021-08-21,66.87,70.344,70.229,67.563,251285.9112633
122,2021-08-20,66.001,70.685,66.99,70.2,428751.11669147
123,2021-08-19,60.666,67.031,63.922,67.015,355000.08700179
124,2021-08-18,59.698,66.213,62.922,63.85,617670.5215203
125,2021-08-17,61.23,71.751,69.016,62.913,571427.99222329
126,2021-08-16,65.0,75.916,75.105,69.052,581411.69084634
127,2021-08-15,67.0,77.376,67.279,75.072,1167767.97903447
128,2021-08-14,61.744,67.595,64.386,67.248,483463.01909808
129,2021-08-13,59.38,64.451,60.022,64.342,362662.98600255
130,2021-08-12,57.572,65.866,60.749,60.035,774844.1430627
131,2021-08-11,58.589,63.922,58.86,60.793,495348.15814746
132,2021-08-10,56.971,60.332,59.031,58.839,284485.39673909
133,2021-08-09,54.877,60.401,57.128,59.045,400230.46056278
134,2021-08-08,55.811,63.344,60.735,57.142,647138.5651629
135,2021-08-07,52.561,61.301,53.097,60.739,796992.50805408
136,2021-08-06,51.225,53.65,52.422,53.11,291719.6309946
137,2021-08-05,48.812,53.478,51.55,52.423,341980.48988122
138,2021-08-04,48.5,52.224,49.356,51.523,206015.25736629
139,2021-08-03,48.462,52.188,51.298,49.356,191336.49612798
140,2021-08-02,49.327,52.249,50.269,51.29,182375.77611765
141,2021-08-01,49.269,54.2,51.309,50.281,326281.71222076
142,2021-07-31,49.642,52.38,51.03,51.317,250303.85481288
143,2021-07-30,47.412,51.511,49.343,50.984,284740.03209718
144,2021-07-29,48.325,49.992,49.278,49.35,156905.18783279
145,2021-07-28,47.749,51.091,49.482,49.305,220358.72765424
146,2021-07-27,46.15,50.401,48.36,49.474,333384.04228814
147,2021-07-26,47.511,55.878,48.456,48.393,736118.40733032
148,2021-07-25,45.896,49.854,49.532,48.461,264667.29432641
149,2021-07-24,44.962,51.75,45.827,49.505,346121.25798039
150,2021-07-23,43.081,46.756,43.421,45.822,307654.96908217
151,2021-07-22,41.935,44.189,42.913,43.41,175134.3620694
152,2021-07-21,38.605,43.8,39.262,42.903,283803.69026528
153,2021-07-20,37.671,42.052,41.513,39.283,324843.0140972
154,2021-07-19,40.576,43.924,41.9,41.572,309857.74919307
155,2021-07-18,40.973,43.272,41.402,41.874,103473.98550645
156,2021-07-17,40.284,43.363,41.137,41.447,156481.35878596
157,2021-07-16,40.613,43.845,43.174,41.148,167427.73348197
158,2021-07-15,42.24,47.144,45.54,43.157,209500.95279597
159,2021-07-14,42.52,47.793,45.493,45.54,240450.46758136
160,2021-07-13,45.0,48.157,47.666,45.504,143831.8483586
161,2021-07-12,46.685,50.71,49.659,47.698,151973.30900044
162,2021-07-11,48.277,50.47,49.181,49.672,77397.81649286
163,2021-07-10,48.201,51.318,50.064,49.171,167698.41041952
164,2021-07-09,46.486,51.312,49.422,50.075,244876.0031878
165,2021-07-08,48.543,52.959,52.775,49.464,300219.22681631
166,2021-07-07,52.533,55.464,54.614,52.781,275882.15992204
167,2021-07-06,53.469,56.818,53.716,54.573,207018.42460014
168,2021-07-05,52.862,57.0,56.351,53.663,250986.60572913
169,2021-07-04,55.903,58.912,56.85,56.368,253229.627174
170,2021-07-03,52.426,58.639,53.711,56.827,395097.20997591
171,2021-07-02,50.701,55.219,53.027,53.724,321714.88515708
172,2021-07-01,52.274,58.37,57.568,53.039,550920.98703972
173,2021-06-30,51.668,62.843,56.714,57.505,1380210.40692354
174,2021-06-29,43.134,58.888,43.344,56.827,1141952.19428672
175,2021-06-28,41.063,44.606,42.327,43.36,211965.53984912
176,2021-06-27,39.412,42.473,40.503,42.327,175540.39514895
177,2021-06-26,37.532,40.958,39.354,40.503,204371.21182613
178,2021-06-25,38.953,45.497,43.233,39.392,353020.08270895
179,2021-06-24,38.788,43.585,40.756,43.171,310325.78991281
180,2021-06-23,34.66,43.042,36.581,40.79,463354.64384758
181,2021-06-22,32.179,42.8,39.477,36.625,1116029.96235213
182,2021-06-21,38.52,51.407,50.994,39.487,715885.64547384
183,2021-06-20,46.963,51.5,50.936,50.993,249810.33169076
184,2021-06-19,50.872,53.342,52.479,50.902,116135.75942791
185,2021-06-18,50.521,55.493,55.493,52.524,253697.93827059
186,2021-06-17,54.268,57.222,55.343,55.493,161049.5118742
187,2021-06-16,54.849,58.439,58.092,55.373,209990.68543296
188,2021-06-15,57.167,60.14,59.257,58.136,241302.9881624
189,2021-06-14,56.196,60.809,59.03,59.216,330434.49388041
190,2021-06-13,53.75,60.641,55.182,58.982,302817.81311848
191,2021-06-12,53.118,56.985,56.715,55.171,249666.38196177
192,2021-06-11,56.105,60.755,57.844,56.773,273969.48846192
193,2021-06-10,56.983,63.583,62.384,57.852,320820.26182972
194,2021-06-09,53.625,62.989,56.738,62.372,579493.57270353
195,2021-06-08,49.462,59.151,57.912,56.748,873425.06463384
196,2021-06-07,57.157,65.108,64.078,57.936,417460.63474129
197,2021-06-06,62.789,65.576,63.094,64.004,167839.71728198
198,2021-06-05,61.664,67.341,64.762,62.993,313092.68833475
199,2021-06-04,61.392,69.794,69.789,64.76,534605.56819888
200,2021-06-03,67.125,72.659,68.258,69.793,392052.23623031
201,2021-06-02,65.744,70.352,67.7,68.291,322159.1303649
202,2021-06-01,65.616,71.899,70.112,67.672,427618.71029942
203,2021-05-31,61.9,70.636,66.159,70.083,671142.85113055
204,2021-05-30,59.851,68.301,64.4,66.186,637414.22428743
205,2021-05-29,60.865,71.0,68.228,64.393,1152815.16764913
206,2021-05-28,63.201,79.099,74.588,68.219,1779057.03109328
207,2021-05-27,71.261,79.739,79.713,74.588,894389.68680632
208,2021-05-26,74.0,83.461,78.281,79.717,1445562.15696914
209,2021-05-25,69.926,83.182,73.73,78.269,3332713.5187214
210,2021-05-24,48.882,75.452,51.682,73.614,3018195.45261558
211,2021-05-23,40.0,62.649,58.646,51.527,2262426.96931921
212,2021-05-22,54.151,64.991,64.472,58.603,1232600.26668766
213,2021-05-21,54.2,78.358,74.015,64.433,2402730.27875832
214,2021-05-20,54.245,80.255,59.501,74.019,2818205.32617794
215,2021-05-19,39.624,90.187,88.548,59.579,4606081.23482583
216,2021-05-18,86.109,95.5,89.438,88.499,1278343.9633956
217,2021-05-17,80.315,94.597,93.996,89.408,1825783.7146115
218,2021-05-16,86.711,103.291,95.071,93.938,1369337.28996692
219,2021-05-15,94.273,114.1,104.683,95.192,2264834.3136325
220,2021-05-14,86.716,115.0,88.645,104.683,2703675.62251154
221,2021-05-13,76.013,95.729,85.059,88.726,3054584.95695511
222,2021-05-12,81.265,114.298,111.49,84.862,2512296.23491894
223,2021-05-11,101.702,117.994,105.094,111.437,2192621.57898868
224,2021-05-10,90.5,129.7,118.016,105.06,3862276.372884
225,2021-05-09,115.0,129.899,127.762,117.959,2652724.28938107
226,2021-05-08,110.0,135.0,121.267,127.654,4388931.14324551
227,2021-05-07,109.022,153.0,141.059,121.267,8115403.82562079
228,2021-05-06,91.131,175.0,101.824,141.059,11602292.90972555
229,2021-05-05,68.075,149.75,69.596,101.854,14184399.04951975
230,2021-05-04,49.19,72.699,52.36,69.488,7424207.44545987
231,2021-05-03,44.246,52.709,44.906,52.402,2616943.28108873
232,2021-05-02,41.812,46.687,44.776,44.906,2218304.24384059
233,2021-05-01,36.28,46.846,36.388,44.754,2253227.28618092
234,2021-04-30,33.778,36.8,34.499,36.398,565286.08298438
235,2021-04-29,33.578,35.342,35.11,34.501,601914.30910233
236,2021-04-28,32.394,36.49,33.793,35.106,1121135.01391693
237,2021-04-27,31.945,34.39,32.838,33.805,738824.1379168
238,2021-04-26,28.986,32.991,29.357,32.861,950402.43039563
239,2021-04-25,27.675,31.953,29.725,29.377,684088.56549528
240,2021-04-24,29.367,32.846,32.635,29.723,716108.11752641
241,2021-04-23,25.011,34.5,33.61,32.591,2243622.33021855
242,2021-04-22,31.42,39.5,31.909,33.62,2034595.54849997
243,2021-04-21,31.506,35.5,33.808,31.916,1254366.60121576
244,2021-04-20,30.502,35.37,34.205,33.824,1696902.34491038
245,2021-04-19,33.474,40.956,37.65,34.234,1885013.82775359
246,2021-04-18,31.1,42.541,40.275,37.65,3918109.80193219
247,2021-04-17,37.66,49.826,38.463,40.188,5863205.32551948
248,2021-04-16,28.835,46.305,28.84,38.42,8447416.55492062
249,2021-04-15,21.421,30.098,21.897,28.84,2600207.1480369
250,2021-04-14,20.109,22.682,21.279,21.914,1080151.53341169
251,2021-04-13,19.461,22.069,19.577,21.279,871198.93312366
252,2021-04-12,18.996,20.568,20.354,19.575,499416.80972228
253,2021-04-11,19.802,21.53,20.473,20.356,652580.12456451
254,2021-04-10,18.391,21.176,18.79,20.457,829444.63547209
255,2021-04-09,18.537,20.05,19.6,18.787,542190.68261407
256,2021-04-08,17.98,19.828,19.113,19.604,1068326.50462867
257,2021-04-07,16.946,20.792,17.821,19.114,3717361.52393664
258,2021-04-06,15.897,18.649,16.023,17.832,2419761.00972636
259,2021-04-05,14.291,16.075,14.578,16.024,1055279.6481794
260,2021-04-04,13.371,14.593,13.599,14.559,483070.17148686
261,2021-04-03,13.549,15.347,15.274,13.599,654577.24105706
262,2021-04-02,14.069,15.625,14.294,15.275,1082800.54581257
263,2021-04-01,13.535,14.479,14.098,14.29,796659.39339418
264,2021-03-31,12.597,14.368,13.008,14.091,1186623.4955269
265,2021-03-30,12.337,13.06,12.677,13.012,490310.57913232
266,2021-03-29,11.754,12.746,11.895,12.684,348790.52163279
267,2021-03-28,11.713,12.047,11.785,11.895,276146.04146977
268,2021-03-27,11.44,12.001,11.79,11.781,310794.67998567
269,2021-03-26,11.07,11.79,11.081,11.789,376078.60815619
270,2021-03-25,10.753,11.467,11.283,11.084,650318.35948026
271,2021-03-24,11.023,12.6,12.223,11.288,568592.466848
272,2021-03-23,11.642,12.664,11.685,12.251,728939.66679742
273,2021-03-22,11.523,12.404,11.995,11.684,645821.88089764
274,2021-03-21,11.929,12.458,12.334,11.989,365349.29588856
275,2021-03-20,12.214,12.901,12.243,12.343,458534.46783222
276,2021-03-19,11.888,12.425,12.173,12.255,336280.47299548
277,2021-03-18,12.083,12.656,12.569,12.167,520436.38946765
