,Date,Open,High,Low,Close,Volume
0,2021-12-20,3754.8,3984.08,3925.78,3946.16,172027.91571974
1,2021-12-19,3886.03,4039.73,3961.93,3925.79,102078.81232557
2,2021-12-18,3768.14,3999.0,3876.37,3961.92,113485.77521903
3,2021-12-17,3699.0,3994.81,3957.12,3876.02,209823.26509135
4,2021-12-16,3952.81,4116.39,4021.41,3957.28,174285.93324831
5,2021-12-15,3643.43,4097.0,3860.72,4021.53,319094.24570016
6,2021-12-14,3686.49,3884.08,3784.0,3860.74,197099.24204846
7,2021-12-13,3660.0,4146.1,4132.91,3783.81,305712.33000025
8,2021-12-12,3989.41,4186.16,4091.17,4132.92,108368.85746466
9,2021-12-11,3835.0,4099.87,3899.97,4091.18,166327.13830459
10,2021-12-10,3889.42,4232.38,4105.99,3900.91,273780.7217072
11,2021-12-09,4076.15,4490.72,4440.94,4106.06,222048.28315781
12,2021-12-08,4226.88,4456.36,4310.21,4440.51,186740.13696568
13,2021-12-07,4260.0,4433.99,4354.09,4310.19,198306.85854675
14,2021-12-06,3913.0,4380.8,4203.22,4354.22,349333.84787974
15,2021-12-05,4038.13,4257.0,4123.13,4203.22,250275.13989584
16,2021-12-04,3575.0,4240.0,4216.3,4123.13,512946.90714235
17,2021-12-03,4035.0,4662.75,4514.54,4216.93,312836.25058642
18,2021-12-02,4435.0,4637.39,4586.87,4514.59,171913.60834148
19,2021-12-01,4526.94,4784.5,4636.43,4586.95,241301.695591
20,2021-11-30,4350.91,4759.0,4449.42,4634.95,312105.05293146
21,2021-11-29,4282.07,4466.0,4298.38,4449.42,170935.20731881
22,2021-11-28,3950.0,4303.35,4098.53,4298.38,124752.71262005
23,2021-11-27,4031.56,4186.97,4043.62,4098.31,93299.56271946
24,2021-11-26,3915.0,4555.53,4527.03,4043.67,324817.57682312
25,2021-11-25,4250.0,4555.11,4270.93,4525.87,132338.28173546
26,2021-11-24,4168.99,4359.88,4341.58,4270.74,120268.67729032
27,2021-11-23,4062.28,4389.95,4089.17,4341.62,159935.23797902
28,2021-11-22,4024.45,4322.86,4263.04,4089.16,174572.98932477
29,2021-11-21,4246.07,4427.72,4416.36,4262.99,83775.31676078
30,2021-11-20,4206.03,4438.96,4299.55,4416.69,96882.12097892
31,2021-11-19,3975.24,4314.82,3998.57,4299.55,191232.56135587
32,2021-11-18,3960.0,4346.42,4289.4,3997.93,291477.64786245
33,2021-11-17,4068.24,4300.01,4209.89,4289.4,197969.47328462
34,2021-11-16,4108.0,4564.98,4564.34,4209.5,309826.45957038
35,2021-11-15,4541.0,4770.0,4626.61,4565.06,121693.76091856
36,2021-11-14,4516.05,4695.07,4644.43,4627.03,96933.07064437
37,2021-11-13,4586.8,4708.6,4667.79,4644.44,76568.33646209
38,2021-11-12,4508.42,4809.27,4721.07,4667.34,160383.45748095
39,2021-11-11,4578.05,4783.05,4632.23,4721.87,112248.30258781
40,2021-11-10,4460.0,4867.81,4731.58,4632.22,249949.62441734
41,2021-11-09,4697.9,4842.54,4811.89,4731.59,154525.60456333
42,2021-11-08,4616.5,4825.0,4617.27,4811.9,163884.29350308
43,2021-11-07,4506.99,4639.8,4523.73,4617.02,85312.85613745
44,2021-11-06,4329.21,4534.43,4479.47,4523.16,107961.55343832
45,2021-11-05,4446.01,4574.0,4537.14,4479.47,142403.14739608
46,2021-11-04,4423.01,4610.24,4606.07,4537.15,182872.96131449
47,2021-11-03,4456.0,4671.0,4594.27,4606.07,213935.75674438
48,2021-11-02,4287.32,4604.99,4322.89,4595.01,217839.79309642
