,Date,Open,High,Low,Close,Volume
0,2021-11-06,164.12,167.46,165.23,165.3,2786.874
1,2021-11-05,163.42,190.0,177.51,165.67,29786.065
2,2021-11-04,157.2,178.82,160.98,177.51,34092.049
3,2021-11-03,154.67,169.97,159.4,160.96,28183.273
4,2021-11-02,156.5,163.86,159.4,159.3,18269.631
5,2021-11-01,152.0,166.0,160.11,159.58,25906.699
6,2021-10-31,151.77,195.0,152.55,160.4,65255.723
7,2021-10-30,151.3,160.67,159.39,152.55,17619.938
8,2021-10-29,154.26,161.0,157.77,159.41,14380.745
9,2021-10-28,145.96,164.22,149.87,158.15,20874.166
10,2021-10-27,149.86,168.74,165.63,149.91,17970.358
11,2021-10-26,165.52,173.65,168.68,165.88,17721.951
12,2021-10-25,165.08,170.27,165.84,168.68,11135.427
13,2021-10-24,162.53,171.7,170.03,165.73,10075.593
14,2021-10-23,167.52,172.24,170.68,170.24,8167.734
15,2021-10-22,168.1,178.02,174.89,170.44,20082.552
16,2021-10-21,172.93,185.25,178.92,174.53,13846.855
17,2021-10-20,173.26,183.27,178.01,178.95,9590.451
18,2021-10-19,176.0,190.0,181.91,178.19,9001.273
19,2021-10-18,174.31,191.71,174.88,182.42,15148.568
20,2021-10-17,166.25,186.67,181.5,175.0,15210.224
21,2021-10-16,174.35,186.79,182.96,182.02,12926.454
22,2021-10-15,167.66,195.87,170.78,183.28,42882.453
23,2021-10-14,165.82,177.64,166.62,170.79,12458.241
24,2021-10-13,161.5,170.95,166.08,166.85,6857.028
25,2021-10-12,161.34,180.63,166.72,166.09,20565.21
26,2021-10-11,165.51,175.46,170.75,166.79,19354.69
27,2021-10-10,167.53,178.6,175.07,170.87,14626.674
28,2021-10-09,171.22,179.96,172.08,174.87,13572.96
29,2021-10-08,170.57,180.85,176.0,172.13,11665.014
30,2021-10-07,170.37,188.71,187.46,176.35,26529.535
31,2021-10-06,162.18,210.77,171.95,187.93,53032.744
32,2021-10-05,167.0,178.33,169.35,171.97,11055.257
33,2021-10-04,167.96,179.13,178.98,169.36,12241.833
34,2021-10-03,157.85,180.72,178.65,179.09,17289.261
35,2021-10-02,176.0,191.83,181.63,178.89,20682.451
36,2021-10-01,162.23,193.41,162.86,181.64,31938.785
37,2021-09-30,156.4,175.0,156.94,162.86,13890.632
38,2021-09-29,154.98,167.12,158.54,156.9,11733.845
39,2021-09-28,155.01,163.74,160.8,158.28,16472.96
40,2021-09-27,160.08,177.03,166.0,160.53,14945.307
41,2021-09-26,155.69,179.99,167.67,166.05,21997.076
42,2021-09-25,164.34,175.24,169.61,168.07,17838.558
43,2021-09-24,153.89,186.54,181.57,169.37,29662.956
44,2021-09-23,175.06,199.91,179.23,181.44,25768.138
45,2021-09-22,158.96,184.96,165.98,179.23,24527.243
46,2021-09-21,152.53,191.44,178.9,166.0,27651.295
47,2021-09-20,170.0,199.65,194.64,179.21,40201.425
48,2021-09-19,193.41,208.5,206.8,194.82,20579.187
