,Date,Open,High,Low,Close,Volume
0,2021-11-06,0.8604,0.91,0.8752,0.8715,3082837.6
1,2021-11-05,0.8158,0.9355,0.8333,0.8752,25178805.0
2,2021-11-04,0.8172,0.9017,0.8745,0.8333,17844302.8
3,2021-11-03,0.8433,0.98,0.8599,0.8746,50392955.1
4,2021-11-02,0.7828,1.0,0.7897,0.8597,34808829.8
5,2021-11-01,0.74,0.7899,0.7808,0.7889,12052988.8
6,2021-10-31,0.7531,1.0069,0.7538,0.7808,42892081.0
7,2021-10-30,0.7233,0.7669,0.7425,0.7539,11728966.2
8,2021-10-29,0.7353,0.7706,0.7384,0.7429,12071975.1
9,2021-10-28,0.705,0.7648,0.7205,0.7387,17860285.1
10,2021-10-27,0.7185,0.8355,0.7949,0.7212,20611348.6
11,2021-10-26,0.7577,0.844,0.7673,0.7949,27684817.0
12,2021-10-25,0.7287,0.7835,0.7316,0.7673,11178373.8
13,2021-10-24,0.7262,0.785,0.7654,0.7314,14034207.2
14,2021-10-23,0.7447,0.8001,0.7568,0.7655,20127913.1
15,2021-10-22,0.7129,0.7739,0.7174,0.7568,14785662.0
16,2021-10-21,0.717,0.7608,0.7385,0.7174,14065383.1
17,2021-10-20,0.7029,0.7603,0.7129,0.7393,14081551.4
18,2021-10-19,0.6954,0.7386,0.7269,0.7131,14501257.2
19,2021-10-18,0.7152,0.7638,0.741,0.7272,11648974.4
20,2021-10-17,0.729,0.7901,0.7676,0.741,12368826.8
21,2021-10-16,0.7391,0.845,0.7525,0.767,26690007.0
22,2021-10-15,0.7076,0.7579,0.7322,0.7522,16659618.4
23,2021-10-14,0.7156,0.7599,0.7346,0.7322,10530404.6
24,2021-10-13,0.7001,0.7449,0.726,0.7342,12462510.9
25,2021-10-12,0.6877,0.7511,0.7436,0.726,19185616.9
26,2021-10-11,0.7241,0.8145,0.7745,0.7446,19721186.2
27,2021-10-10,0.7638,0.8732,0.7816,0.7749,19457675.8
28,2021-10-09,0.745,0.8876,0.7561,0.7816,38004089.1
29,2021-10-08,0.6885,0.7986,0.7135,0.7564,26342723.9
30,2021-10-07,0.6777,0.7366,0.6967,0.7124,17143202.5
31,2021-10-06,0.6728,0.7527,0.7402,0.6967,17900755.7
32,2021-10-05,0.7229,0.7828,0.7479,0.74,12929929.8
33,2021-10-04,0.7292,0.797,0.7963,0.7477,12006348.4
34,2021-10-03,0.7768,0.8232,0.8011,0.7955,9361787.5
35,2021-10-02,0.7732,0.85,0.7887,0.8028,10308881.0
36,2021-10-01,0.7142,0.82,0.7225,0.7897,15862359.7
37,2021-09-30,0.6909,0.7752,0.6976,0.7224,18970675.6
38,2021-09-29,0.6723,0.7531,0.6836,0.6975,16397743.2
39,2021-09-28,0.6802,0.755,0.7366,0.6841,17896563.2
40,2021-09-27,0.7343,0.8307,0.8115,0.7367,15560773.4
41,2021-09-26,0.77,0.873,0.8352,0.8115,17529160.7
42,2021-09-25,0.7733,0.8814,0.813,0.8352,32798945.0
43,2021-09-24,0.69,0.87,0.8439,0.813,40911739.9
44,2021-09-23,0.6974,0.87,0.744,0.8449,35999170.0
45,2021-09-22,0.5867,0.747,0.6021,0.7443,26545613.5
46,2021-09-21,0.5806,0.7215,0.6814,0.6021,26785361.9
47,2021-09-20,0.6239,0.7677,0.7656,0.6822,36522836.8
48,2021-09-19,0.7588,0.8749,0.8387,0.7656,18960713.0
49,2021-09-18,0.8018,0.8875,0.8256,0.8387,18743430.0
50,2021-09-17,0.8206,0.938,0.9106,0.8248,19798074.8
51,2021-09-16,0.89,1.0233,0.9491,0.91,24320623.8
52,2021-09-15,0.87,0.9824,0.9081,0.948,20689566.9
53,2021-09-14,0.8594,1.005,0.8987,0.9098,30296967.7
54,2021-09-13,0.7851,0.9306,0.8793,0.8983,26574387.2
55,2021-09-12,0.8358,0.9876,0.9479,0.8811,29055547.7
56,2021-09-11,0.7535,0.9752,0.7919,0.9479,44497763.0
57,2021-09-10,0.7638,0.9487,0.8976,0.7919,42694394.8
58,2021-09-09,0.8266,1.0366,0.8875,0.8983,67580044.1
59,2021-09-08,0.8502,1.1982,0.9094,0.8892,98499385.6
60,2021-09-07,0.79,1.2,0.8162,0.9079,181041761.0
61,2021-09-06,0.665,0.8566,0.671,0.8169,35359209.0
62,2021-09-05,0.6641,0.7048,0.7043,0.6702,8187629.4
63,2021-09-04,0.695,0.7339,0.7339,0.7033,9207361.7
64,2021-09-03,0.688,0.7613,0.7069,0.7328,15068381.9
65,2021-09-02,0.6768,0.7386,0.7115,0.7059,20269519.7
66,2021-09-01,0.6685,0.78,0.7258,0.7127,36574206.2
67,2021-08-31,0.621,0.7301,0.6256,0.7258,30446834.6
68,2021-08-30,0.5845,0.74,0.6056,0.6251,48124409.7
69,2021-08-29,0.546,0.63,0.5517,0.6067,19801875.4
70,2021-08-28,0.532,0.5695,0.5621,0.5505,7737115.4
71,2021-08-27,0.5025,0.5628,0.516,0.5621,8018463.6
72,2021-08-26,0.516,0.5899,0.5683,0.516,17911325.9
73,2021-08-25,0.5095,0.6,0.5201,0.5691,19912840.5
74,2021-08-24,0.5007,0.5693,0.5585,0.5201,11907795.9
75,2021-08-23,0.5524,0.592,0.5597,0.5588,12801659.3
76,2021-08-22,0.5229,0.5775,0.5649,0.56,10070483.2
77,2021-08-21,0.5506,0.5931,0.5633,0.5652,11819186.9
78,2021-08-20,0.533,0.585,0.5437,0.5631,12340727.5
79,2021-08-19,0.5013,0.58,0.5013,0.5436,32086239.8
80,2021-08-18,0.4412,0.5394,0.4642,0.5013,15343579.4
81,2021-08-17,0.4615,0.55,0.4909,0.4635,21813658.3
82,2021-08-16,0.4868,0.5539,0.4977,0.4909,14289966.4
83,2021-08-15,0.4762,0.5069,0.5013,0.4977,6210933.8
84,2021-08-14,0.4935,0.5284,0.5143,0.501,5900503.7
85,2021-08-13,0.5005,0.537,0.5088,0.5143,11313355.9
86,2021-08-12,0.4681,0.525,0.484,0.5077,22737715.9
87,2021-08-11,0.4752,0.7399,0.5067,0.484,123178977.4
88,2021-08-10,0.3912,0.782,0.3986,0.5067,68005934.9
