,Date,Open,High,Low,Close,Volume
0,2021-11-06,15.755,15.945,15.855,15.87,12605.404
1,2021-11-05,15.779,16.411,15.937,15.877,91088.599
2,2021-11-04,15.707,17.065,16.99,15.963,217557.64
3,2021-11-03,16.751,17.898,17.07,16.981,173444.552
4,2021-11-02,16.463,19.3,16.796,17.026,437049.621
5,2021-11-01,16.003,19.998,16.518,16.81,689161.507
6,2021-10-31,14.982,22.0,15.154,16.415,1139707.328
7,2021-10-30,14.667,16.349,15.166,15.142,170065.894
8,2021-10-29,14.576,15.771,15.047,15.166,166015.887
9,2021-10-28,14.013,15.415,14.71,15.048,193684.551
10,2021-10-27,14.311,16.057,15.789,14.709,157395.586
11,2021-10-26,15.5,17.309,15.593,15.807,201937.233
12,2021-10-25,15.019,15.917,15.019,15.594,116655.184
13,2021-10-24,14.808,15.911,15.54,15.043,113491.624
14,2021-10-23,15.311,16.25,15.442,15.542,107510.135
15,2021-10-22,15.35,16.588,15.854,15.447,105652.27
16,2021-10-21,15.608,17.434,15.683,15.854,231961.162
17,2021-10-20,15.446,16.325,16.17,15.683,140205.96
18,2021-10-19,15.68,18.125,17.137,16.141,419969.246
19,2021-10-18,13.886,19.78,13.988,17.143,1550783.213
20,2021-10-17,13.75,14.985,14.882,13.969,96873.121
21,2021-10-16,14.163,15.525,15.036,14.882,180548.755
22,2021-10-15,12.998,20.0,13.335,15.036,833432.944
23,2021-10-14,12.897,13.409,12.903,13.352,50285.455
24,2021-10-13,12.322,13.536,12.884,12.921,86205.765
25,2021-10-12,12.524,13.853,13.635,12.897,59046.43
26,2021-10-11,12.82,14.039,13.161,13.674,73181.643
27,2021-10-10,13.155,14.45,13.899,13.19,67448.19
28,2021-10-09,13.623,14.527,13.752,13.894,50699.289
29,2021-10-08,13.556,14.879,13.845,13.747,62840.704
30,2021-10-07,13.22,14.871,13.587,13.841,152660.272
31,2021-10-06,13.132,14.139,13.703,13.587,122039.345
32,2021-10-05,12.964,14.594,13.006,13.697,145746.771
33,2021-10-04,12.775,13.357,13.329,12.98,72852.906
34,2021-10-03,13.141,13.94,13.249,13.328,92666.687
35,2021-10-02,13.039,13.813,13.276,13.249,79125.207
36,2021-10-01,12.435,13.853,12.547,13.259,143448.448
37,2021-09-30,12.248,12.735,12.281,12.537,57112.077
38,2021-09-29,12.07,13.272,12.553,12.284,101720.313
39,2021-09-28,11.913,14.45,11.999,12.563,262503.092
40,2021-09-27,11.93,12.775,12.227,12.002,64740.551
41,2021-09-26,11.277,12.775,12.759,12.227,115380.202
42,2021-09-25,12.113,13.833,12.705,12.734,160954.975
43,2021-09-24,11.853,13.977,13.91,12.699,114429.345
44,2021-09-23,13.491,14.64,13.649,13.881,131426.267
45,2021-09-22,12.064,15.388,12.238,13.66,274248.07
46,2021-09-21,12.004,13.657,13.219,12.295,137054.404
47,2021-09-20,12.549,15.553,14.974,13.252,234049.395
48,2021-09-19,14.501,18.32,14.804,14.974,442557.855
49,2021-09-18,14.394,15.724,14.552,14.802,122887.732
50,2021-09-17,14.181,14.996,14.734,14.55,94229.615
51,2021-09-16,14.508,17.363,15.806,14.699,165057.505
52,2021-09-15,14.811,15.842,15.243,15.789,125534.877
53,2021-09-14,14.491,15.699,14.556,15.24,105291.326
54,2021-09-13,13.714,15.7,15.504,14.546,94095.212
55,2021-09-12,14.356,16.004,14.546,15.494,125799.345
56,2021-09-11,14.354,15.426,14.457,14.546,78600.72
57,2021-09-10,14.008,17.33,16.062,14.417,200259.334
58,2021-09-09,14.83,16.67,15.352,16.063,255209.237
59,2021-09-08,13.921,16.196,15.451,15.367,215920.565
60,2021-09-07,15.0,18.776,18.4,15.443,249762.639
61,2021-09-06,18.319,19.906,18.934,18.359,192599.497
62,2021-09-05,17.85,19.22,18.151,18.893,186597.026
63,2021-09-04,17.784,18.315,18.179,18.149,124983.621
64,2021-09-03,17.842,18.667,18.169,18.181,96801.908
65,2021-09-02,18.143,18.955,18.289,18.162,97966.322
66,2021-09-01,17.235,18.472,17.865,18.289,101254.018
67,2021-08-31,17.579,19.075,17.713,17.879,131598.068
68,2021-08-30,17.665,19.009,18.707,17.724,128734.983
69,2021-08-29,18.329,19.293,19.149,18.702,88161.307
70,2021-08-28,18.814,20.342,20.103,19.108,139194.327
71,2021-08-27,18.335,21.9,19.329,20.054,160698.602
72,2021-08-26,18.211,21.924,20.54,19.306,286177.154
73,2021-08-25,17.35,23.232,17.59,20.608,569006.566
74,2021-08-24,17.573,19.81,18.788,17.643,192182.628
75,2021-08-23,17.309,19.0,17.311,18.809,195619.981
76,2021-08-22,16.963,17.836,17.055,17.31,101149.303
77,2021-08-21,17.055,18.247,17.801,17.055,135423.376
78,2021-08-20,17.41,17.976,17.604,17.807,117710.253
79,2021-08-19,16.124,17.761,16.309,17.565,145743.283
80,2021-08-18,16.129,18.3,17.073,16.342,199261.621
81,2021-08-17,16.881,18.906,18.547,17.085,198334.739
82,2021-08-16,18.084,20.466,18.273,18.506,239418.248
83,2021-08-15,17.722,18.873,17.906,18.275,174619.603
84,2021-08-14,17.4,18.717,18.239,17.928,123866.274
85,2021-08-13,16.385,18.999,16.497,18.235,214460.24
