,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.585,0.654,0.6418,0.6189,1140246.5
1,2021-12-19,0.61,0.7439,0.6221,0.6419,1521987.7
2,2021-12-18,0.5831,0.6697,0.6324,0.62,878250.1
3,2021-12-17,0.5774,0.6972,0.6405,0.6334,927739.0
4,2021-12-16,0.6248,0.655,0.6412,0.6425,666820.6
5,2021-12-15,0.5801,0.7042,0.6262,0.6412,1858554.3
6,2021-12-14,0.6119,0.7995,0.6402,0.63,2685730.3
7,2021-12-13,0.6188,0.7428,0.7264,0.6401,1374351.2
8,2021-12-12,0.6811,0.7459,0.7186,0.7264,1136429.9
9,2021-12-11,0.6822,0.7459,0.6823,0.7123,1698940.8
10,2021-12-10,0.6587,0.767,0.7284,0.6823,4038440.3
11,2021-12-09,0.7,1.01,0.9,0.7243,9263263.4
12,2021-12-08,0.8151,1.075,0.9471,0.9,8304286.6
13,2021-12-07,0.8939,1.14,1.099,0.9471,2838133.8
