,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.84,0.9086,0.9056,0.871,992503.4
1,2021-12-19,0.905,0.9583,0.9301,0.9056,1128211.1
2,2021-12-18,0.91,1.02,0.9869,0.9295,2090388.0
3,2021-12-17,0.8635,1.15,0.8691,0.987,10567500.4
4,2021-12-16,0.8209,0.9899,0.8263,0.8691,2446155.8
5,2021-12-15,0.782,0.8355,0.8045,0.8268,720872.3
6,2021-12-14,0.7834,0.8218,0.8109,0.8019,761540.0
7,2021-12-13,0.7959,0.9277,0.9208,0.8109,1249946.3
8,2021-12-12,0.8697,0.9274,0.8811,0.9238,1045087.2
9,2021-12-11,0.8302,0.9277,0.8485,0.8819,1066802.3
10,2021-12-10,0.8406,0.9162,0.8802,0.8485,1823302.3
11,2021-12-09,0.8622,0.9725,0.9608,0.8821,1963970.0
12,2021-12-08,0.9391,1.05,0.9792,0.9608,2842502.9
13,2021-12-07,0.97,1.084,1.0436,0.9797,6705778.5
14,2021-12-06,0.9203,1.206,1.1872,1.0418,21793062.0
15,2021-12-05,0.8665,1.288,0.8731,1.1899,22040605.2
16,2021-12-04,0.7985,0.958,0.9511,0.8731,2448686.8
17,2021-12-03,0.95,1.0571,1.023,0.9501,2558964.4
18,2021-12-02,1.017,1.1256,1.1165,1.0232,4656222.5
19,2021-12-01,1.0556,1.2402,1.201,1.1165,8999502.1
20,2021-11-30,1.1628,1.5799,1.2811,1.1998,28144939.7
21,2021-11-29,0.9237,1.8129,0.9279,1.275,33659880.6
22,2021-11-28,0.9,0.9557,0.9547,0.9268,162447.1
23,2021-11-27,0.9069,0.9763,0.9107,0.9484,243883.5
24,2021-11-26,0.8989,1.031,1.0146,0.9136,403490.5
25,2021-11-25,0.9377,1.0214,0.9437,1.0201,285844.7
26,2021-11-24,0.9367,1.0147,1.0128,0.9414,223883.3
27,2021-11-23,0.9441,1.015,0.9507,1.0108,293897.4
28,2021-11-22,0.9499,1.0108,1.0065,0.9499,373303.6
29,2021-11-21,0.9982,1.0306,1.0276,1.0102,201432.0
30,2021-11-20,1.0017,1.0584,1.0358,1.0252,372375.1
31,2021-11-19,0.9453,1.0642,0.975,1.0329,411251.1
32,2021-11-18,0.9699,1.0881,1.0395,0.972,444094.3
33,2021-11-17,1.01,1.1754,1.056,1.041,851764.0
34,2021-11-16,1.0504,1.1534,1.1534,1.056,725771.2
35,2021-11-15,1.15,1.1731,1.1555,1.1589,323048.3
36,2021-11-14,1.1511,1.1867,1.1787,1.1555,248277.9
37,2021-11-13,1.1537,1.1885,1.1885,1.1786,331853.8
38,2021-11-12,1.1548,1.2275,1.2014,1.1885,560015.4
39,2021-11-11,1.1551,1.33,1.21,1.2,1722305.2
40,2021-11-10,1.1532,1.2812,1.1934,1.21,1789095.0
41,2021-11-09,1.1875,1.2719,1.2088,1.1943,1263625.3
42,2021-11-08,1.1861,1.2531,1.2123,1.2088,959294.7
43,2021-11-07,1.1844,1.2331,1.1922,1.2133,586564.5
44,2021-11-06,1.1615,1.2097,1.189,1.1934,664343.2
45,2021-11-05,1.1753,1.226,1.2177,1.1884,685096.5
46,2021-11-04,1.2008,1.3079,1.3009,1.2178,1310763.6
47,2021-11-03,1.1884,1.3176,1.2096,1.3009,2454133.1
48,2021-11-02,1.1818,1.27,1.1842,1.2126,1617203.3
49,2021-11-01,1.1636,1.2588,1.2331,1.1849,1326276.7
50,2021-10-31,1.1568,1.2519,1.1841,1.2334,1096709.4
51,2021-10-30,1.151,1.2369,1.2208,1.1835,1058291.9
52,2021-10-29,1.1994,1.241,1.2069,1.2241,701102.9
53,2021-10-28,1.1609,1.2404,1.18,1.2069,1311854.6
54,2021-10-27,1.1615,1.3097,1.2959,1.1803,1791320.8
55,2021-10-26,1.2783,1.3384,1.3363,1.296,1634629.3
56,2021-10-25,1.2554,1.3604,1.2655,1.3363,1448867.7
57,2021-10-24,1.248,1.3798,1.3383,1.2651,1711820.7
58,2021-10-23,1.2892,1.41,1.2978,1.3492,2213662.6
59,2021-10-22,1.283,1.428,1.3374,1.2921,2701248.8
60,2021-10-21,1.2506,1.55,1.2612,1.346,6596322.5
61,2021-10-20,1.1372,1.6306,1.1408,1.2612,21936867.9
62,2021-10-19,1.1255,1.1599,1.1261,1.1429,1188245.4
63,2021-10-18,1.1256,1.1857,1.1552,1.1299,1220287.4
64,2021-10-17,1.1423,1.2323,1.2064,1.1586,1903865.5
65,2021-10-16,1.1352,1.28,1.1605,1.2065,3768815.1
66,2021-10-15,1.1002,1.3,1.2557,1.1605,4659387.1
67,2021-10-14,1.24,1.3956,1.3565,1.25,4692333.0
68,2021-10-13,1.3002,1.55,1.3974,1.3502,6005715.7
69,2021-10-12,1.3675,1.731,1.4379,1.3851,14366492.2
70,2021-10-11,1.0443,1.92,1.0598,1.4379,25867776.4
71,2021-10-10,1.0506,1.1799,1.17,1.0604,2002277.9
72,2021-10-09,1.1252,1.2646,1.24,1.1701,4689439.9
73,2021-10-08,1.1471,1.5642,1.5631,1.2477,10248012.1
74,2021-10-07,1.3007,1.8799,1.8799,1.5631,2332895.0
