,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.40883,0.44934,0.44389,0.43028,64230959
1,2021-12-19,0.44105,0.47892,0.46535,0.44401,47953737
2,2021-12-18,0.43757,0.47448,0.45299,0.46516,60641995
3,2021-12-17,0.43454,0.48135,0.46708,0.45279,72282523
4,2021-12-16,0.46503,0.51854,0.50115,0.46672,64861917
5,2021-12-15,0.4587,0.51187,0.50445,0.50102,93423732
6,2021-12-14,0.4688,0.51747,0.50611,0.50409,104918912
7,2021-12-13,0.4925,0.59892,0.59228,0.50594,129765391
8,2021-12-12,0.56316,0.62999,0.5685,0.59244,182349896
9,2021-12-11,0.45989,0.57216,0.47995,0.56806,146221325
10,2021-12-10,0.46954,0.517,0.4956,0.4805,104157519
11,2021-12-09,0.48254,0.55758,0.5032,0.49614,242622471
12,2021-12-08,0.44319,0.50668,0.4773,0.5028,116948998
13,2021-12-07,0.4638,0.51861,0.50848,0.47748,160395456
14,2021-12-06,0.4253,0.53425,0.48679,0.50876,239831066
15,2021-12-05,0.45647,0.58541,0.56042,0.48688,238956935
16,2021-12-04,0.36949,0.58674,0.50719,0.56041,299132151
17,2021-12-03,0.47866,0.59833,0.59416,0.50764,206640629
18,2021-12-02,0.57357,0.67988,0.64488,0.59416,164549648
19,2021-12-01,0.61567,0.66399,0.62095,0.64535,173723393
20,2021-11-30,0.61246,0.66912,0.65057,0.62156,150219273
21,2021-11-29,0.64296,0.75292,0.71113,0.65034,228321706
22,2021-11-28,0.56892,0.72,0.66045,0.71123,335027678
23,2021-11-27,0.63096,0.72615,0.71169,0.66128,303287592
24,2021-11-26,0.61436,0.84415,0.74234,0.71185,740215646
25,2021-11-25,0.518,0.79499,0.58334,0.74374,1223133131
26,2021-11-24,0.37,0.59212,0.37739,0.58334,935393388
27,2021-11-23,0.35928,0.4091,0.39285,0.37735,310516978
28,2021-11-22,0.358,0.4374,0.3705,0.3928,542709690
29,2021-11-21,0.34499,0.48999,0.35493,0.37047,983816369
30,2021-11-20,0.23059,0.39249,0.23464,0.35493,926637258
31,2021-11-19,0.21781,0.25847,0.23,0.23468,545132566
32,2021-11-18,0.20385,0.289,0.22988,0.2303,908305751
33,2021-11-17,0.11262,0.28,0.11503,0.22988,2014783686
34,2021-11-16,0.11197,0.13,0.13,0.11503,135453365
