,Date,Open,High,Low,Close,Volume
0,2021-12-20,5.22,6.14,5.72,5.79,671308.47
1,2021-12-19,5.55,6.58,6.26,5.72,591774.8
2,2021-12-18,5.74,6.61,6.05,6.23,779215.77
3,2021-12-17,5.66,7.6,6.66,6.05,1903321.07
4,2021-12-16,5.95,7.53,6.15,6.67,2336237.59
5,2021-12-15,4.87,6.78,5.37,6.16,1957907.17
6,2021-12-14,4.39,5.58,5.47,5.39,1320790.38
7,2021-12-13,4.96,6.75,6.73,5.47,1188346.9
8,2021-12-12,5.91,7.14,6.9,6.73,1737535.67
9,2021-12-11,6.56,8.3,7.31,6.88,3300771.27
10,2021-12-10,4.85,9.0,4.88,7.31,7165761.88
11,2021-12-09,4.75,5.53,5.46,4.87,418517.05
