,Date,Open,High,Low,Close,Volume
0,2021-12-20,8.51,9.31,9.2,9.01,116217.52
1,2021-12-19,9.2,9.99,9.89,9.2,109374.75
2,2021-12-18,9.85,10.84,10.23,9.87,227036.53
3,2021-12-17,9.54,11.4,9.93,10.21,525541.12
4,2021-12-16,9.28,10.97,9.35,9.93,392352.16
5,2021-12-15,8.38,9.45,9.05,9.33,168121.49
6,2021-12-14,8.6,9.32,8.89,9.08,209916.22
7,2021-12-13,8.7,10.8,10.56,8.89,189984.93
8,2021-12-12,9.96,10.86,10.49,10.56,132203.74
9,2021-12-11,9.71,10.63,10.02,10.47,118030.48
10,2021-12-10,9.94,11.886,10.56,10.02,446615.87
11,2021-12-09,10.47,12.361,12.271,10.48,279517.37
12,2021-12-08,11.875,13.939,13.674,12.263,398207.87
13,2021-12-07,11.078,14.922,11.193,13.695,1098613.47
14,2021-12-06,10.136,12.724,11.43,11.202,755545.73
15,2021-12-05,10.347,12.282,12.123,11.416,313508.78
16,2021-12-04,10.765,13.695,13.633,12.093,306118.67
17,2021-12-03,13.149,17.257,15.439,13.639,768534.62
18,2021-12-02,14.845,16.563,16.457,15.46,351171.48
19,2021-12-01,15.485,18.393,17.31,16.512,680083.96
20,2021-11-30,15.836,18.74,17.881,17.293,425590.91
21,2021-11-29,17.42,21.637,18.62,17.856,619655.79
22,2021-11-28,17.404,22.425,20.348,18.627,1350475.54
23,2021-11-27,19.53,28.993,24.602,20.35,5092913.2
24,2021-11-26,9.35,27.929,9.565,24.4,4731043.32
25,2021-11-25,8.82,10.439,8.985,9.57,255860.26
26,2021-11-24,8.445,9.236,9.03,8.985,113077.65
27,2021-11-23,7.885,9.49,8.002,9.027,340823.07
28,2021-11-22,7.513,8.47,7.811,8.002,253277.15
29,2021-11-21,7.652,8.338,7.875,7.786,101854.73
30,2021-11-20,7.593,8.284,7.908,7.875,107063.53
31,2021-11-19,7.124,7.913,7.291,7.89,91470.22
32,2021-11-18,7.144,8.399,8.299,7.291,154887.93
33,2021-11-17,7.716,8.336,8.054,8.289,76208.35
34,2021-11-16,7.699,8.932,8.932,8.02,169364.43
35,2021-11-15,8.86,9.795,9.35,8.932,121623.68
36,2021-11-14,9.122,9.799,9.193,9.347,95402.8
37,2021-11-13,9.054,9.552,9.253,9.187,51724.29
38,2021-11-12,8.829,9.802,9.447,9.211,76302.99
39,2021-11-11,8.813,9.525,9.052,9.456,105361.67
40,2021-11-10,7.997,10.54,9.986,9.052,318430.5
41,2021-11-09,9.616,10.973,9.717,9.95,404905.68
42,2021-11-08,9.092,9.717,9.391,9.717,206270.01
43,2021-11-07,8.844,9.398,8.844,9.391,272656.47
44,2021-11-06,8.536,9.39,8.641,8.876,233171.38
45,2021-11-05,8.568,9.175,9.153,8.646,221551.48
46,2021-11-04,9.098,10.268,9.793,9.157,306835.46
47,2021-11-03,9.013,9.826,9.822,9.797,173322.0
48,2021-11-02,9.136,10.0,9.249,9.822,171679.32
49,2021-11-01,8.305,10.0,8.537,9.251,574532.56
50,2021-10-31,8.061,8.64,8.549,8.53,244627.24
51,2021-10-30,8.488,9.076,9.037,8.546,331330.48
52,2021-10-29,8.493,9.111,8.561,9.025,202049.79
53,2021-10-28,7.936,8.678,8.039,8.574,302316.79
54,2021-10-27,7.753,9.358,9.183,8.009,606486.57
55,2021-10-26,9.071,10.084,10.01,9.18,203670.72
56,2021-10-25,9.415,10.44,9.519,10.002,189524.48
57,2021-10-24,9.318,10.103,10.012,9.519,147344.19
58,2021-10-23,9.861,10.265,10.208,10.023,144909.12
59,2021-10-22,10.129,10.824,10.273,10.209,209204.82
60,2021-10-21,9.821,11.0,10.789,10.254,363891.6
61,2021-10-20,10.434,11.911,11.216,10.778,652208.46
62,2021-10-19,9.348,13.444,9.565,11.212,1675443.76
63,2021-10-18,9.285,11.89,10.079,9.566,1154482.35
64,2021-10-17,8.013,15.979,8.199,10.103,2447071.0
65,2021-10-16,7.917,8.636,7.992,8.198,219209.96
66,2021-10-15,7.326,8.833,7.534,7.988,377142.82
67,2021-10-14,7.36,7.974,7.385,7.519,154249.63
68,2021-10-13,6.913,7.5,7.099,7.384,158657.43
69,2021-10-12,6.814,7.454,7.451,7.094,118045.98
70,2021-10-11,7.222,7.773,7.43,7.451,98488.05
71,2021-10-10,7.414,8.153,8.041,7.452,148399.71
72,2021-10-09,7.787,8.393,7.873,8.055,92206.69
73,2021-10-08,7.755,8.467,7.953,7.865,177290.94
74,2021-10-07,7.78,8.17,7.989,7.971,149755.56
75,2021-10-06,7.619,8.388,8.353,7.987,180874.44
76,2021-10-05,7.884,8.41,8.006,8.348,109317.55
77,2021-10-04,7.845,8.437,8.437,8.012,224431.68
78,2021-10-03,7.838,9.025,8.015,8.428,270575.29
79,2021-10-02,7.677,8.509,8.01,7.992,216289.8
80,2021-10-01,6.835,8.337,6.941,8.019,326923.76
81,2021-09-30,6.481,7.44,6.515,6.939,142692.97
82,2021-09-29,6.223,6.864,6.283,6.522,113758.69
83,2021-09-28,6.216,6.801,6.616,6.275,119444.12
84,2021-09-27,6.578,7.28,6.938,6.584,127967.9
85,2021-09-26,6.196,7.202,6.899,6.969,139847.54
86,2021-09-25,6.639,7.65,7.101,6.878,154002.77
87,2021-09-24,6.824,8.282,8.262,7.107,227955.86
88,2021-09-23,7.713,8.452,7.929,8.263,121709.51
89,2021-09-22,6.736,7.954,6.867,7.93,138475.9
90,2021-09-21,6.625,7.902,7.312,6.863,205869.97
91,2021-09-20,6.914,8.726,8.702,7.312,258700.11
92,2021-09-19,8.53,9.068,9.059,8.699,83794.06
93,2021-09-18,8.844,9.655,8.988,9.042,147526.09
94,2021-09-17,8.876,9.624,9.541,9.013,115111.45
