,Date,Open,High,Low,Close,Volume
0,2021-12-20,0.2435,0.2659,0.265,0.2551,3752762.4
1,2021-12-19,0.2651,0.2773,0.2714,0.2656,2151583.2
2,2021-12-18,0.2647,0.2842,0.2709,0.2706,3702921.8
3,2021-12-17,0.2589,0.2816,0.2796,0.2699,4636317.2
4,2021-12-16,0.279,0.293,0.2834,0.2796,2966856.5
5,2021-12-15,0.2666,0.3099,0.2828,0.2832,10414731.9
6,2021-12-14,0.2626,0.45,0.2712,0.2823,14086512.8
7,2021-12-13,0.2631,0.3194,0.3105,0.2712,4885001.1
8,2021-12-12,0.3008,0.3198,0.3067,0.3105,3703382.4
9,2021-12-11,0.2993,0.3299,0.3031,0.3057,5903498.5
10,2021-12-10,0.2959,0.3298,0.3075,0.3035,9925402.9
11,2021-12-09,0.303,0.3643,0.3643,0.3073,11973618.8
12,2021-12-08,0.346,0.405,0.3741,0.3643,13982461.0
13,2021-12-07,0.3709,0.52,0.507,0.3741,15966128.5
