,Date,Open,High,Low,Close,Volume
0,2021-12-20,4.0,4.54,4.52,4.31,501301.32
1,2021-12-19,4.42,4.67,4.65,4.51,317173.77
2,2021-12-18,4.6,4.84,4.74,4.63,311761.6
3,2021-12-17,4.58,5.03,4.93,4.73,341841.84
4,2021-12-16,4.89,5.42,4.99,4.95,422273.88
5,2021-12-15,4.55,5.17,4.91,4.99,635225.38
6,2021-12-14,4.52,5.12,4.73,4.91,622008.27
7,2021-12-13,4.54,5.31,5.31,4.7,884367.63
8,2021-12-12,4.84,5.56,5.02,5.29,1255909.08
9,2021-12-11,4.7,5.14,4.78,5.02,878586.9
10,2021-12-10,4.65,5.64,5.24,4.79,1472186.51
11,2021-12-09,5.13,5.67,5.43,5.26,480883.43
